,JNJ,C,MS,GS,PG,PFE,INTC,CSCO,GOOGL,GOOG,EOG,CRM,MCD,MMM,BMY,KMI,WMT,COF,ATVI,SO,CVS,PM,NSC,ANTM,EMR,MET,UNP,CI,PRU,FIS,ALL,JCI,EA,TRV,BDX,TGT,AFL,DOW,TROW,MDLZ,PEG,OTIS,PH,GPN,AME,SBAC,CBRE,NUE,CNC,WY,PPL,MRO,DTE,BAX,EIX,GILD,KEY,TRGP,RF,LYB,IP,RSG,ALLY,TT,INVH,VTR,DOV,AES,OMC,ACN,DFS,CFG,RJF,TTWO,ORLY,AZO,LUMN,VICI,LEN,EVRG,LH,J,MCK,MO,IQV,IPG,EMN,TXT,REGN,COG,BIIB,NLY,URI,NOV,BRO,XEC,CL,FOXA,HPQ,WRK,KR,QRVO,CMA,VRSN,GPC,HFC,NWSA,UGI,ALXN,KHC,PNW,FHN,SNA,AMH,LII,BEN,VER,ABC,PSA,IVZ,PNR,HOLX,AGNC,GLPI,CF,CE,ZION,MOS,JLL,NDSN,AFG,VRSK,ATH,ANSS,OC,RGA,RE,RS,LKQ,VOYA,SWKS,TSN,AOS,KIM,JEF,WHR,OHI,XRAY,VRTX,SSNC,ORI,LSI,KEYS,ACM,Goldman Sachs FS Treasury Intms Instl,SEIC,AM,SLM,OSK,NYT,SNPS,MOH,AMG,JHG,ITT,AVY,BPOP,HLT,MDU,DELL,SNV,PENN,MHK,AMGN,UNM,TPR,BRX,AGCO,FR,KNX,EVR,W,PHM,WWD,NRG,NXST,MIDD,SON,MAN,DECK,NYCB,FOX,AYI,NLOK,SJM,SLG,CSL,MTZ,SCI,THG,IDA,OMF,EXPD,ORCL,Cash,HRC,CACC,LAZ,n/a,SPG,EXP,KSS,FTIXX,LPX,OGN,DKS,COST,SUM
07/09/2021,4.77,2.96,2.67,2.42,2.39,2.37,2.11,2.07,2.04,1.99,1.79,1.67,1.61,1.61,1.58,1.48,1.46,1.44,1.44,1.32,1.16,1.12,1.1,1.02,0.95,0.93,0.9,0.87,0.84,0.82,0.81,0.81,0.8,0.78,0.75,0.75,0.75,0.72,0.63,0.63,0.62,0.57,0.54,0.51,0.51,0.5,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.35,0.35,0.35,0.34,0.34,0.33,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.24
07/12/2021,4.86,2.86,2.59,2.37,2.46,2.38,2.1,2.1,2.07,2.04,1.7,1.69,1.63,1.63,1.6,1.47,1.48,1.43,1.43,1.35,1.15,1.12,1.06,1.03,0.95,0.88,0.89,0.86,0.8,0.82,0.81,0.82,0.8,0.78,0.77,0.77,0.73,0.71,0.63,0.65,0.63,0.59,0.55,0.51,0.51,0.52,0.47,0.46,0.47,0.47,0.45,0.42,0.45,0.44,0.44,0.42,0.39,0.4,0.38,0.38,0.39,0.39,0.38,0.39,0.4,0.38,0.36,0.35,0.34,0.36,0.33,0.32,0.31,0.31,0.32,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.24,0.23,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.27
07/13/2021,4.86,2.86,2.59,2.37,2.46,2.38,2.1,2.1,2.07,2.04,1.7,1.69,1.63,1.63,1.6,1.47,1.48,1.43,1.43,1.35,1.15,1.12,1.06,1.03,0.95,0.88,0.89,0.86,0.8,0.82,0.81,0.82,0.8,0.78,0.77,0.77,0.73,0.71,0.63,0.65,0.63,0.59,0.55,0.51,0.51,0.52,0.47,0.46,0.47,0.47,0.45,0.42,0.45,0.44,0.44,0.42,0.39,0.4,0.38,0.38,0.39,0.39,0.38,0.39,0.4,0.38,0.36,0.35,0.34,0.36,0.33,0.32,0.31,0.31,0.32,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.24,0.23,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.27
07/14/2021,4.8,2.89,2.63,2.41,2.42,2.37,2.09,2.08,2.05,2.01,1.72,1.65,1.63,1.62,1.59,1.49,1.46,1.48,1.41,1.32,1.15,1.11,1.08,1.02,0.95,0.9,0.89,0.86,0.82,0.81,0.81,0.82,0.79,0.79,0.76,0.76,0.74,0.71,0.64,0.64,0.62,0.58,0.54,0.51,0.51,0.52,0.47,0.47,0.46,0.47,0.45,0.42,0.45,0.43,0.44,0.42,0.4,0.41,0.39,0.39,0.39,0.39,0.39,0.39,0.4,0.39,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.3,0.32,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3
07/15/2021,4.77,2.92,2.69,2.45,2.41,2.36,2.1,2.05,2.06,2.02,1.73,1.63,1.62,1.6,1.59,1.47,1.45,1.51,1.42,1.32,1.15,1.1,1.07,1.04,0.95,0.91,0.88,0.86,0.82,0.81,0.82,0.83,0.79,0.79,0.75,0.76,0.74,0.71,0.65,0.63,0.62,0.58,0.55,0.5,0.51,0.51,0.47,0.47,0.47,0.47,0.44,0.42,0.45,0.43,0.44,0.41,0.41,0.41,0.39,0.38,0.39,0.38,0.39,0.39,0.4,0.39,0.36,0.35,0.34,0.35,0.35,0.33,0.32,0.3,0.32,0.31,0.29,0.3,0.28,0.29,0.29,0.29,0.28,0.28,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.18,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.29
07/16/2021,4.8,2.89,2.72,2.44,2.42,2.37,2.13,2.07,2.08,2.04,1.73,1.65,1.63,1.61,1.6,1.46,1.47,1.5,1.43,1.32,1.16,1.09,1.07,1.05,0.95,0.9,0.88,0.87,0.82,0.83,0.81,0.82,0.8,0.79,0.75,0.77,0.73,0.71,0.64,0.64,0.62,0.58,0.54,0.51,0.51,0.52,0.46,0.46,0.47,0.46,0.44,0.42,0.45,0.43,0.43,0.42,0.4,0.41,0.39,0.38,0.39,0.39,0.39,0.39,0.4,0.39,0.36,0.34,0.34,0.35,0.35,0.32,0.32,0.31,0.32,0.31,0.29,0.3,0.28,0.29,0.29,0.28,0.28,0.28,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.17,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.34
07/19/2021,4.78,2.9,2.71,2.43,2.47,2.41,2.09,2.09,2.08,2.05,1.6,1.61,1.64,1.64,1.6,1.43,1.49,1.48,1.4,1.36,1.17,1.12,1.08,1.05,0.96,0.9,0.88,0.87,0.82,0.84,0.8,0.83,0.8,0.81,0.75,0.77,0.74,0.7,0.64,0.65,0.63,0.6,0.54,0.52,0.52,0.52,0.46,0.47,0.46,0.46,0.45,0.39,0.45,0.43,0.44,0.42,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.39,0.37,0.33,0.34,0.36,0.35,0.32,0.32,0.3,0.32,0.32,0.29,0.3,0.28,0.3,0.29,0.28,0.28,0.28,0.26,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.25,0.22,0.24,0.22,0.24,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.2,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.32
07/20/2021,4.81,2.86,2.69,2.4,2.51,2.44,2.08,2.11,2.1,2.07,1.56,1.63,1.64,1.63,1.61,1.43,1.5,1.47,1.42,1.38,1.17,1.12,1.08,1.05,0.96,0.9,0.88,0.87,0.81,0.85,0.81,0.83,0.81,0.82,0.76,0.77,0.74,0.69,0.64,0.66,0.64,0.6,0.53,0.53,0.52,0.53,0.46,0.45,0.46,0.45,0.46,0.38,0.46,0.44,0.44,0.43,0.39,0.38,0.38,0.37,0.38,0.4,0.38,0.39,0.41,0.4,0.37,0.33,0.34,0.36,0.34,0.31,0.31,0.31,0.33,0.32,0.28,0.3,0.28,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.24,0.25,0.26,0.23,0.24,0.24,0.24,0.22,0.24,0.22,0.24,0.22,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.18,0.19,0.21,0.18,0.18,0.2,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.21,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.13,0.12,0.11,0.12,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.43
07/21/2021,4.81,2.86,2.69,2.4,2.51,2.44,2.08,2.11,2.1,2.07,1.56,1.63,1.64,1.63,1.61,1.43,1.5,1.47,1.42,1.38,1.17,1.12,1.08,1.05,0.96,0.9,0.88,0.87,0.81,0.85,0.81,0.83,0.81,0.82,0.76,0.77,0.74,0.69,0.64,0.66,0.64,0.6,0.53,0.53,0.52,0.53,0.46,0.45,0.46,0.45,0.46,0.38,0.46,0.44,0.44,0.43,0.39,0.38,0.38,0.37,0.38,0.4,0.38,0.39,0.41,0.4,0.37,0.33,0.34,0.36,0.34,0.31,0.31,0.31,0.33,0.32,0.28,0.3,0.28,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.24,0.25,0.26,0.23,0.24,0.24,0.24,0.22,0.24,0.22,0.24,0.22,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.18,0.19,0.21,0.18,0.18,0.2,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.21,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.13,0.12,0.11,0.12,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.43
07/22/2021,4.81,2.86,2.69,2.4,2.51,2.44,2.08,2.11,2.1,2.07,1.56,1.63,1.64,1.63,1.61,1.43,1.5,1.47,1.42,1.38,1.17,1.12,1.08,1.05,0.96,0.9,0.88,0.87,0.81,0.85,0.81,0.83,0.81,0.82,0.76,0.77,0.74,0.69,0.64,0.66,0.64,0.6,0.53,0.53,0.52,0.53,0.46,0.45,0.46,0.45,0.46,0.38,0.46,0.44,0.44,0.43,0.39,0.38,0.38,0.37,0.38,0.4,0.38,0.39,0.41,0.4,0.37,0.33,0.34,0.36,0.34,0.31,0.31,0.31,0.33,0.32,0.28,0.3,0.28,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.24,0.25,0.26,0.23,0.24,0.24,0.24,0.22,0.24,0.22,0.24,0.22,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.18,0.19,0.21,0.18,0.18,0.2,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.21,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.13,0.12,0.11,0.12,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.43
