,6116.TW,042670.KS,TFG.JO,GETI B.ST,3481.TW,BT.A.L,NHY.OL,867.HK,6361.T,TKG.JO,BS6.SI,CEMEXCPO.MX,KGF.L,3998.HK,MAERSK B.CO,570.HK,SGO.PA,TFII.TO,POW.TO,OGZD.L,1113.HK,MTN.JO,VALE3.SA,000720.KS,LOOMIS.ST,2357.TW,LSG.OL,UG,JBSS3.SA,GWO.TO,088350.KS,GFNORTEO.MX,DAI.DE,MG.TO,AKRBP.OL,1888.HK,2881.TW,BSL.AX,BBVA.MC,GLEN.L,AC.MX,INVE B.ST,HANA-R.BK,YAR.OL,BAW.JO,CTC.A.TO,JHG,TU-R.BK,DSCT.TA,2353.TW,RMG.L,CIMB.KL,C6L.SI,5483,161390.KS,STB.OL,DUFN.SW,STA-R.BK,SALM.OL,032640.KS,EQNR.OL,D05.SI,FRE.DE,3291.T,O39.SI,LIGHT.AS,NN.AS,PUB.PA,BOL.ST,ELUX B.ST,S68.SI,SBRY.L,U11.SI,APN.JO,288.HK,1.HK,CENCOSUD.SN,ALV.DE,JAZZ,SLF.TO,ADEN.SW,MISC.KL,VOW3.DE,83.HK,CMIG4.SA,16.HK,CB,SLHN.SW,012450.KS,UBSG.SW,2324.TW,AMXL.MX,MFC.TO,SECU B.ST,ORK.OL,CON.DE,AD.AS,HOLN.SW,SKA B.ST,135.HK,EDF.PA,MAYBANK.KL,032830.KS,2301.TW,HUSQ B.ST,AGN.AS,SREN.SW,IAG.TO,006360.KS,TEL.OL,VS.KL,FME.DE,1088.HK,000270.KS,PTTEP-R.BK,KGH.WA,RIO.AX,C52.SI,011780.KS,7459.T,EMP.A.TO,3107.T,CPLE6.SA,GRUMAB.MX,FLEX,G13.SI,ENELAM.SN,2303.TW,MUV2.DE,V03.SI,L.TO,066570.KS,JBH.AX,MCG.JO,086280.KS,2317.TW,PBBANK.KL,WOR.AX,992.HK,FMG.AX,KPCUF,8227.T,000810.KS,819.HK,G.MI,139480.KS,EXX.JO,KLIC,RIO.L,ANN.AX,KIO.JO,BALN.SW,KTB-R.BK,012330.KS,C07.SI,UNTR.JK,VOD.L,MBT,F34.SI,2689.HK,TLKM.JK,TW.L,ROG.SW,HVN.AX,GMEXICOB.MX,966.HK,ASII.JK,MTS.AX,2385.TW,BBNI.JK,4521.T,2588.HK,QAN.AX,CSIQ,KOSSAN.KL,MRC.WA,TIMS3.SA,VIVT3.SA,4958.TW,PRGO,UN01.DE,AGL.AX,TISCO-R.BK,BPT.AX,TEVA.TA,FTI,TCAP-R.BK,1070.HK,TOPGLOV.KL,PGAS.JK,C09.SI,1313.HK,ML.PA,TGS.OL,BEEF3.SA,TENAGA.KL,SIME.KL,6176.TW,RHM.DE,U.S. Bank Money Market Deposit Account,4338.SR,PROX.BR,PXT.TO,GJF.OL,034020.KS,836.HK,ZIM,316.HK,8150.TW,005830.KS,ANDINA-B.SN,PKN.WA,8016.TW,2409.TW,NOKIA.HE,IMP.JO,7912.T,QBE.AX,SCMN.SW,FALABELLA.SN,047040.KS,028050.KS,005850.KS,2328.HK,SHL.AX,MOWI.OL,7202.T,7911.T,375500.KS,2377.TW,DBK.DE,857.HK,2882.TW,IFP.TO,5101.T,241560.KS,DPW.DE,1898.HK,4.HK,5110.T,148.HK,2376.TW,1378.HK,UHR.SW,STGT-R.BK,347.HK,1099.HK,BMW.DE,1929.HK,7259.T,MRFG3.SA,SUPERMX.KL,CHG-R.BK,S63.SI,FINV,PCAR3.SA,7516.T,3116.T,QFIN,T39.SI,MNG.L,FNTN.DE,001450.KS,PZU.WA,ONEX.TO,IFL.AX,SLR.AX,ATD.B.TO,ERIC B.ST,004370.KS,NYVT.,n/a,CFP.TO,OJS1.,ELUXB.ST,SUM
07/09/2021,0.8,0.77,0.72,0.72,0.71,0.67,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.61
07/12/2021,0.8,0.78,0.73,0.75,0.7,0.66,0.66,0.59,0.64,0.62,0.64,0.62,0.64,0.63,0.63,0.59,0.62,0.6,0.6,0.62,0.62,0.6,0.59,0.61,0.58,0.61,0.6,0.58,0.56,0.58,0.57,0.57,0.55,0.57,0.55,0.58,0.58,0.55,0.55,0.58,0.57,0.58,0.56,0.56,0.51,0.54,0.54,0.57,0.54,0.55,0.54,0.54,0.56,0.57,0.53,0.52,0.53,0.53,0.54,0.52,0.51,0.53,0.52,0.51,0.52,0.49,0.51,0.5,0.51,0.52,0.51,0.53,0.51,0.51,0.49,0.49,0.44,0.49,0.5,0.49,0.49,0.49,0.48,0.5,0.47,0.48,0.48,0.48,0.55,0.47,0.49,0.47,0.47,0.49,0.48,0.45,0.48,0.46,0.48,0.46,0.45,0.47,0.46,0.48,0.47,0.46,0.46,0.46,0.47,0.46,0.47,0.45,0.46,0.44,0.46,0.45,0.45,0.46,0.45,0.45,0.45,0.46,0.44,0.44,0.43,0.45,0.44,0.45,0.44,0.44,0.44,0.44,0.42,0.44,0.43,0.44,0.42,0.42,0.41,0.42,0.4,0.4,0.4,0.44,0.4,0.4,0.41,0.35,0.41,0.39,0.41,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.38,0.43,0.36,0.37,0.37,0.36,0.36,0.35,0.35,0.36,0.36,0.35,0.35,0.33,0.36,0.33,0.31,0.34,0.32,0.32,0.33,0.33,0.31,0.31,0.3,0.31,0.29,0.28,0.29,0.29,0.28,0.3,0.29,0.29,0.29,0.27,0.28,0.28,0.27,0.28,0.0,0.0,0.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8
07/13/2021,0.8,0.78,0.73,0.75,0.7,0.66,0.66,0.59,0.64,0.62,0.64,0.62,0.64,0.63,0.63,0.59,0.62,0.6,0.6,0.62,0.62,0.6,0.59,0.61,0.58,0.61,0.6,0.58,0.56,0.58,0.57,0.57,0.55,0.57,0.55,0.58,0.58,0.55,0.55,0.58,0.57,0.58,0.56,0.56,0.51,0.54,0.54,0.57,0.54,0.55,0.54,0.54,0.56,0.57,0.53,0.52,0.53,0.53,0.54,0.52,0.51,0.53,0.52,0.51,0.52,0.49,0.51,0.5,0.51,0.52,0.51,0.53,0.51,0.51,0.49,0.49,0.44,0.49,0.5,0.49,0.49,0.49,0.48,0.5,0.47,0.48,0.48,0.48,0.55,0.47,0.49,0.47,0.47,0.49,0.48,0.45,0.48,0.46,0.48,0.46,0.45,0.47,0.46,0.48,0.47,0.46,0.46,0.46,0.47,0.46,0.47,0.45,0.46,0.44,0.46,0.45,0.45,0.46,0.45,0.45,0.45,0.46,0.44,0.44,0.43,0.45,0.44,0.45,0.44,0.44,0.44,0.44,0.42,0.44,0.43,0.44,0.42,0.42,0.41,0.42,0.4,0.4,0.4,0.44,0.4,0.4,0.41,0.35,0.41,0.39,0.41,0.4,0.37,0.38,0.38,0.38,0.37,0.36,0.38,0.43,0.36,0.37,0.37,0.36,0.36,0.35,0.35,0.36,0.36,0.35,0.35,0.33,0.36,0.33,0.31,0.34,0.32,0.32,0.33,0.33,0.31,0.31,0.3,0.31,0.29,0.28,0.29,0.29,0.28,0.3,0.29,0.29,0.29,0.27,0.28,0.28,0.27,0.28,0.0,0.0,0.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8
07/14/2021,0.82,0.77,0.76,0.75,0.71,0.66,0.67,0.58,0.65,0.65,0.62,0.63,0.63,0.6,0.62,0.57,0.63,0.62,0.6,0.62,0.6,0.63,0.59,0.59,0.59,0.6,0.59,0.58,0.56,0.58,0.55,0.57,0.56,0.57,0.55,0.54,0.58,0.55,0.55,0.59,0.58,0.58,0.55,0.57,0.54,0.55,0.56,0.61,0.53,0.54,0.55,0.52,0.56,0.57,0.51,0.53,0.52,0.52,0.53,0.52,0.51,0.53,0.53,0.49,0.53,0.5,0.52,0.5,0.52,0.51,0.51,0.53,0.5,0.53,0.48,0.48,0.47,0.5,0.51,0.49,0.49,0.49,0.5,0.5,0.46,0.48,0.49,0.49,0.52,0.47,0.48,0.48,0.47,0.49,0.48,0.45,0.48,0.47,0.48,0.45,0.46,0.47,0.44,0.48,0.47,0.47,0.47,0.46,0.46,0.47,0.46,0.45,0.45,0.43,0.43,0.44,0.46,0.45,0.44,0.46,0.46,0.47,0.43,0.44,0.44,0.45,0.44,0.44,0.44,0.43,0.45,0.42,0.41,0.42,0.41,0.44,0.42,0.43,0.42,0.43,0.39,0.39,0.39,0.44,0.4,0.38,0.43,0.36,0.42,0.39,0.42,0.4,0.37,0.37,0.37,0.37,0.38,0.35,0.38,0.41,0.38,0.38,0.38,0.36,0.36,0.33,0.35,0.36,0.36,0.35,0.35,0.33,0.35,0.32,0.32,0.35,0.31,0.31,0.33,0.33,0.31,0.32,0.29,0.31,0.28,0.28,0.29,0.28,0.28,0.3,0.29,0.28,0.3,0.26,0.27,0.28,0.27,0.28,0.0,0.0,0.33,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.67
07/15/2021,0.81,0.77,0.74,0.76,0.7,0.66,0.67,0.6,0.65,0.65,0.62,0.62,0.63,0.58,0.62,0.58,0.63,0.61,0.6,0.62,0.61,0.62,0.6,0.59,0.6,0.61,0.59,0.58,0.57,0.59,0.55,0.57,0.56,0.57,0.54,0.56,0.59,0.56,0.56,0.58,0.58,0.59,0.57,0.57,0.53,0.55,0.58,0.6,0.54,0.54,0.55,0.52,0.56,0.58,0.52,0.54,0.51,0.48,0.53,0.52,0.51,0.53,0.53,0.5,0.53,0.51,0.52,0.49,0.52,0.52,0.51,0.53,0.51,0.53,0.47,0.48,0.47,0.5,0.51,0.5,0.5,0.49,0.51,0.5,0.48,0.48,0.49,0.49,0.52,0.47,0.48,0.48,0.47,0.49,0.48,0.45,0.48,0.46,0.49,0.45,0.46,0.46,0.45,0.47,0.48,0.47,0.48,0.46,0.47,0.47,0.44,0.46,0.45,0.44,0.43,0.44,0.46,0.45,0.45,0.46,0.46,0.49,0.44,0.45,0.44,0.45,0.44,0.45,0.44,0.44,0.45,0.42,0.41,0.43,0.41,0.44,0.42,0.42,0.42,0.44,0.38,0.39,0.4,0.42,0.4,0.39,0.43,0.36,0.42,0.39,0.42,0.4,0.36,0.37,0.37,0.37,0.38,0.35,0.38,0.41,0.37,0.37,0.38,0.36,0.36,0.33,0.35,0.36,0.36,0.35,0.35,0.34,0.35,0.33,0.31,0.33,0.32,0.32,0.33,0.33,0.31,0.31,0.3,0.31,0.29,0.27,0.28,0.29,0.27,0.3,0.29,0.28,0.3,0.26,0.28,0.27,0.27,0.27,0.0,0.0,0.34,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.86
07/16/2021,0.81,0.77,0.74,0.76,0.7,0.66,0.67,0.6,0.65,0.65,0.62,0.62,0.63,0.58,0.62,0.58,0.63,0.61,0.6,0.62,0.61,0.62,0.6,0.59,0.6,0.61,0.59,0.58,0.57,0.59,0.55,0.57,0.56,0.57,0.54,0.56,0.59,0.56,0.56,0.58,0.58,0.59,0.57,0.57,0.53,0.55,0.58,0.6,0.54,0.54,0.55,0.52,0.56,0.58,0.52,0.54,0.51,0.48,0.53,0.52,0.51,0.53,0.53,0.5,0.53,0.51,0.52,0.49,0.52,0.52,0.51,0.53,0.51,0.53,0.47,0.48,0.47,0.5,0.51,0.5,0.5,0.49,0.51,0.5,0.48,0.48,0.49,0.49,0.52,0.47,0.48,0.48,0.47,0.49,0.48,0.45,0.48,0.46,0.49,0.45,0.46,0.46,0.45,0.47,0.48,0.47,0.48,0.46,0.47,0.47,0.44,0.46,0.45,0.44,0.43,0.44,0.46,0.45,0.45,0.46,0.46,0.49,0.44,0.45,0.44,0.45,0.44,0.45,0.44,0.44,0.45,0.42,0.41,0.43,0.41,0.44,0.42,0.42,0.42,0.44,0.38,0.39,0.4,0.42,0.4,0.39,0.43,0.36,0.42,0.39,0.42,0.4,0.36,0.37,0.37,0.37,0.38,0.35,0.38,0.41,0.37,0.37,0.38,0.36,0.36,0.33,0.35,0.36,0.36,0.35,0.35,0.34,0.35,0.33,0.31,0.33,0.32,0.32,0.33,0.33,0.31,0.31,0.3,0.31,0.29,0.27,0.28,0.29,0.27,0.3,0.29,0.28,0.3,0.26,0.28,0.27,0.27,0.27,0.0,0.0,0.34,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.86
07/19/2021,0.79,0.77,0.73,0.76,0.69,0.65,0.67,0.62,0.65,0.63,0.6,0.59,0.62,0.59,0.61,0.6,0.63,0.66,0.6,0.6,0.61,0.6,0.61,0.59,0.58,0.63,0.58,0.57,0.6,0.58,0.54,0.56,0.56,0.55,0.54,0.59,0.63,0.58,0.54,0.59,0.58,0.59,0.57,0.59,0.53,0.53,0.57,0.6,0.55,0.54,0.53,0.52,0.55,0.61,0.52,0.54,0.5,0.49,0.53,0.52,0.51,0.53,0.54,0.51,0.53,0.51,0.52,0.5,0.52,0.52,0.51,0.53,0.51,0.52,0.46,0.48,0.45,0.49,0.51,0.49,0.5,0.49,0.5,0.49,0.49,0.48,0.49,0.49,0.51,0.47,0.48,0.51,0.47,0.49,0.48,0.47,0.48,0.46,0.49,0.46,0.43,0.46,0.45,0.48,0.47,0.47,0.48,0.46,0.48,0.46,0.45,0.46,0.46,0.44,0.42,0.44,0.46,0.44,0.45,0.47,0.46,0.53,0.45,0.44,0.43,0.44,0.43,0.46,0.43,0.43,0.44,0.42,0.41,0.42,0.41,0.44,0.41,0.42,0.39,0.45,0.38,0.39,0.41,0.41,0.4,0.39,0.43,0.36,0.41,0.38,0.43,0.4,0.37,0.38,0.37,0.35,0.37,0.36,0.38,0.41,0.37,0.37,0.37,0.36,0.34,0.33,0.34,0.36,0.36,0.34,0.36,0.33,0.34,0.3,0.32,0.32,0.34,0.33,0.33,0.33,0.31,0.32,0.3,0.31,0.28,0.26,0.29,0.29,0.27,0.29,0.28,0.28,0.3,0.26,0.29,0.27,0.27,0.27,0.0,0.0,0.42,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.77
07/20/2021,0.8,0.78,0.72,0.75,0.72,0.65,0.68,0.62,0.64,0.63,0.61,0.6,0.63,0.59,0.59,0.6,0.63,0.67,0.6,0.59,0.63,0.61,0.61,0.59,0.58,0.63,0.59,0.56,0.59,0.58,0.54,0.56,0.56,0.55,0.51,0.59,0.64,0.59,0.55,0.59,0.59,0.58,0.58,0.58,0.53,0.53,0.56,0.62,0.55,0.55,0.52,0.53,0.54,0.62,0.53,0.52,0.47,0.48,0.54,0.53,0.49,0.53,0.53,0.51,0.53,0.5,0.52,0.49,0.52,0.52,0.51,0.53,0.5,0.53,0.47,0.48,0.46,0.49,0.51,0.49,0.48,0.49,0.49,0.5,0.48,0.49,0.5,0.48,0.51,0.47,0.48,0.51,0.47,0.48,0.45,0.46,0.48,0.46,0.48,0.47,0.43,0.46,0.45,0.48,0.46,0.47,0.47,0.45,0.48,0.46,0.45,0.45,0.46,0.44,0.42,0.44,0.47,0.44,0.45,0.47,0.45,0.53,0.45,0.44,0.42,0.44,0.43,0.47,0.43,0.43,0.45,0.43,0.41,0.42,0.43,0.46,0.41,0.42,0.4,0.45,0.39,0.39,0.41,0.41,0.4,0.4,0.43,0.36,0.42,0.37,0.43,0.4,0.37,0.38,0.37,0.36,0.36,0.35,0.38,0.42,0.37,0.36,0.37,0.35,0.37,0.34,0.34,0.36,0.36,0.35,0.36,0.33,0.34,0.3,0.34,0.33,0.33,0.32,0.34,0.32,0.31,0.31,0.3,0.31,0.27,0.0,0.29,0.29,0.29,0.29,0.28,0.28,0.3,0.26,0.28,0.27,0.27,0.27,0.0,0.0,0.33,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7
07/21/2021,0.79,0.78,0.73,0.79,0.71,0.65,0.65,0.62,0.66,0.64,0.61,0.6,0.63,0.6,0.59,0.59,0.62,0.65,0.59,0.59,0.63,0.62,0.61,0.6,0.58,0.63,0.6,0.55,0.59,0.58,0.55,0.57,0.55,0.54,0.5,0.58,0.67,0.6,0.54,0.57,0.6,0.59,0.59,0.56,0.53,0.52,0.56,0.62,0.55,0.55,0.52,0.53,0.54,0.63,0.53,0.51,0.47,0.51,0.54,0.53,0.49,0.53,0.53,0.51,0.53,0.48,0.52,0.49,0.52,0.51,0.52,0.53,0.51,0.53,0.47,0.48,0.46,0.49,0.5,0.49,0.48,0.49,0.48,0.5,0.49,0.49,0.5,0.48,0.52,0.47,0.48,0.52,0.46,0.48,0.43,0.45,0.48,0.45,0.49,0.45,0.44,0.46,0.46,0.48,0.46,0.46,0.47,0.45,0.48,0.47,0.46,0.46,0.46,0.44,0.43,0.44,0.47,0.44,0.45,0.47,0.46,0.54,0.46,0.45,0.41,0.43,0.43,0.46,0.43,0.43,0.45,0.43,0.41,0.43,0.42,0.46,0.41,0.42,0.38,0.45,0.38,0.4,0.42,0.42,0.4,0.41,0.42,0.34,0.4,0.37,0.42,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.38,0.42,0.38,0.36,0.38,0.36,0.36,0.34,0.35,0.36,0.36,0.36,0.35,0.34,0.34,0.29,0.34,0.31,0.34,0.32,0.35,0.32,0.31,0.31,0.3,0.31,0.27,0.0,0.29,0.29,0.29,0.3,0.28,0.29,0.29,0.25,0.29,0.27,0.27,0.28,0.25,0.0,0.3,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.72
07/22/2021,0.79,0.78,0.73,0.79,0.71,0.65,0.65,0.62,0.66,0.64,0.61,0.6,0.63,0.6,0.59,0.59,0.62,0.65,0.59,0.59,0.63,0.62,0.61,0.6,0.58,0.63,0.6,0.55,0.59,0.58,0.55,0.57,0.55,0.54,0.5,0.58,0.67,0.6,0.54,0.57,0.6,0.59,0.59,0.56,0.53,0.52,0.56,0.62,0.55,0.55,0.52,0.53,0.54,0.63,0.53,0.51,0.47,0.51,0.54,0.53,0.49,0.53,0.53,0.51,0.53,0.48,0.52,0.49,0.52,0.51,0.52,0.53,0.51,0.53,0.47,0.48,0.46,0.49,0.5,0.49,0.48,0.49,0.48,0.5,0.49,0.49,0.5,0.48,0.52,0.47,0.48,0.52,0.46,0.48,0.43,0.45,0.48,0.45,0.49,0.45,0.44,0.46,0.46,0.48,0.46,0.46,0.47,0.45,0.48,0.47,0.46,0.46,0.46,0.44,0.43,0.44,0.47,0.44,0.45,0.47,0.46,0.54,0.46,0.45,0.41,0.43,0.43,0.46,0.43,0.43,0.45,0.43,0.41,0.43,0.42,0.46,0.41,0.42,0.38,0.45,0.38,0.4,0.42,0.42,0.4,0.41,0.42,0.34,0.4,0.37,0.42,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.38,0.42,0.38,0.36,0.38,0.36,0.36,0.34,0.35,0.36,0.36,0.36,0.35,0.34,0.34,0.29,0.34,0.31,0.34,0.32,0.35,0.32,0.31,0.31,0.3,0.31,0.27,0.0,0.29,0.29,0.29,0.3,0.28,0.29,0.29,0.25,0.29,0.27,0.27,0.28,0.25,0.0,0.3,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.72
