,TREASURY BOND,TREASURY BOND (OTR),TREASURY BOND (OLD),TREASURY BOND.1,TREASURY BOND.2,TREASURY BOND.3,TREASURY BOND.4,TREASURY BOND.5,TREASURY BOND.6,TREASURY BOND.7,TREASURY BOND.8,TREASURY BOND.9,TREASURY BOND.10,TREASURY BOND.11,TREASURY BOND.12,TREASURY BOND.13,TREASURY BOND.14,TREASURY BOND.15,TREASURY BOND.16,TREASURY BOND.17,TREASURY BOND (2OLD),TREASURY BOND.18,TREASURY BOND.19,TREASURY BOND.20,TREASURY BOND.21,TREASURY BOND.22,BLK CSH FND TREASURY SL AGENCY,TREASURY BOND.23,TREASURY BOND.24,TREASURY BOND (OTR).1,TREASURY BOND.25,T 1.875 02.15.51,T 3 02.15.49,T 1.625 11.15.50,T 3 08.15.48,T 2.875 05.15.43,T 2 08.15.51,T 3 02.15.48,T 3.125 05.15.48,T 2 02.15.50,T 3.125 08.15.44,T 2.5 02.15.46,T 2.5 05.15.46,T 1.875 11.15.51,T 2.25 08.15.49,T 3.125 02.15.43,T 3.625 08.15.43,T 2.875 08.15.45,T 1.375 08.15.50,T 2.75 11.15.47,T 2.875 11.15.46,T 3 02.15.47,T 2.375 11.15.49,T 2.75 11.15.42,T 2.75 08.15.42,T 3.75 11.15.43,T 1.25 05.15.50,T 2.25 02.15.52,T 2.875 05.15.49,T 2.5 02.15.45,XTSLA,WIT 2.875 05.15.52,T 2.75 08.15.47,T 3 11.15.44,T 3.25 05.15.42,n/a,SUM
07/09/2021,8.76,7.46,7.15,6.19,5.86,5.51,5.43,4.67,4.63,4.5,4.47,4.47,4.16,3.44,2.79,2.78,2.38,2.38,2.17,1.96,1.74,1.62,1.54,1.45,1.28,1.05,0.14,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11
06/07/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,7.4,6.93,6.17,5.87,5.64,5.4,4.67,4.62,4.46,4.42,4.01,3.78,3.42,2.46,2.4,2.15,1.93,1.76,1.6,1.49,1.12,1.05,1.05,0.99,0.78,0.52,0.51,0.27,0.23,0.06,0.06,0.03,0.0,-0.18,100.00999999999999
