,NEE,DUK,SO,D,EXC,AEP,SRE,XEL,PEG,AWK,WEC,ES,ED,EIX,DTE,PPL,AEE,ETR,FE,AES,CMS,CNP,EVRG,LNT,ATO,NRG,NI,PNW,STATE STREET INSTITUTIONAL LIQ STATE STR,DT Midstream Inc.,U.S. Dollar,Pinnacle West Capital Corporation,SSIXX,State Street Instl Liquid Reserves Prem,GVMXX,n/a,SUM
07/09/2021,16.3,8.49,7.22,6.73,4.85,4.71,4.65,3.99,3.37,3.21,3.16,3.08,2.77,2.41,2.41,2.4,2.3,2.27,2.27,1.92,1.92,1.6,1.57,1.56,1.4,1.11,1.08,1.04,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,16.25,8.53,7.18,6.75,4.84,4.7,4.58,4.01,3.37,3.23,3.21,3.13,2.77,2.41,2.44,2.39,2.31,2.26,2.24,1.87,1.92,1.62,1.56,1.57,1.41,1.11,1.08,0.0,0.21,0.0,0.01,1.03,0.0,0.0,0.0,0.0,99.99
07/13/2021,16.25,8.53,7.18,6.75,4.84,4.7,4.58,4.01,3.37,3.23,3.21,3.13,2.77,2.41,2.44,2.39,2.31,2.26,2.24,1.87,1.92,1.62,1.56,1.57,1.41,1.11,1.08,0.0,0.21,0.0,0.01,1.03,0.0,0.0,0.0,0.0,99.99
07/14/2021,16.22,8.54,7.18,6.72,4.84,4.71,4.62,4.02,3.37,3.25,3.19,3.13,2.77,2.44,2.47,2.41,2.31,2.28,2.25,1.89,1.92,1.63,1.56,1.57,1.42,1.13,1.09,0.0,0.23,0.0,-0.17,1.04,0.0,0.0,0.0,0.0,100.03
07/15/2021,16.19,8.59,7.19,6.7,4.86,4.69,4.62,4.01,3.37,3.25,3.2,3.12,2.77,2.43,2.47,2.4,2.33,2.27,2.24,1.9,1.92,1.61,1.56,1.57,1.43,1.11,1.09,0.0,0.23,0.0,-0.17,1.04,0.0,0.0,0.0,0.0,99.99000000000002
07/16/2021,16.27,8.65,7.19,6.66,4.85,4.72,4.61,4.03,3.35,3.26,3.21,3.16,2.76,2.41,2.47,2.38,2.34,2.26,2.23,1.84,1.92,1.59,1.56,1.57,1.43,1.1,1.09,0.0,0.06,0.0,0.0,1.04,0.0,0.0,0.0,0.0,100.01
07/19/2021,16.35,8.68,7.2,6.66,4.85,4.73,4.53,4.01,3.35,3.27,3.24,3.21,2.77,2.37,2.43,2.36,2.33,2.26,2.21,1.78,1.93,1.6,1.57,1.57,1.43,1.07,1.09,0.0,0.11,0.0,0.0,1.03,0.0,0.0,0.0,0.0,99.99
07/20/2021,16.42,8.66,7.18,6.69,4.83,4.7,4.54,4.0,3.35,3.28,3.24,3.22,2.76,2.36,2.44,2.36,2.34,2.26,2.21,1.74,1.93,1.6,1.59,1.57,1.42,1.07,1.09,1.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0
07/21/2021,16.42,8.66,7.18,6.69,4.83,4.7,4.54,4.0,3.35,3.28,3.24,3.22,2.76,2.36,2.44,2.36,2.34,2.26,2.21,1.74,1.93,1.6,1.59,1.57,1.42,1.07,1.09,0.0,0.1,0.0,0.0,1.05,0.0,0.0,0.0,0.0,100.0
07/22/2021,16.42,8.66,7.18,6.69,4.83,4.7,4.54,4.0,3.35,3.28,3.24,3.22,2.76,2.36,2.44,2.36,2.34,2.26,2.21,1.74,1.93,1.6,1.59,1.57,1.42,1.07,1.09,1.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,100.0
07/23/2021,16.46,8.68,7.25,6.64,4.89,4.66,4.52,3.99,3.33,3.29,3.22,3.21,2.74,2.35,2.45,2.36,2.33,2.23,2.23,1.75,1.95,1.59,1.6,1.59,1.41,1.05,1.07,0.0,0.13,0.0,0.0,1.04,0.0,0.0,0.0,0.0,100.00999999999998
07/26/2021,16.39,8.69,7.32,6.59,4.94,4.66,4.47,3.97,3.34,3.28,3.2,3.2,2.75,2.33,2.44,2.37,2.31,2.22,2.34,1.76,1.95,1.59,1.61,1.58,1.4,1.09,1.07,0.0,0.13,0.0,0.0,1.03,0.0,0.0,0.0,0.0,100.02
07/27/2021,16.41,8.71,7.33,6.58,4.93,4.66,4.46,3.98,3.35,3.29,3.21,3.21,2.76,2.31,2.44,2.36,2.31,2.23,2.27,1.73,1.95,1.58,1.62,1.59,1.41,1.09,1.07,1.03,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.0
