,SM,LNG,KMI,WMB,CVX,CDEV,MRO,COP,PDCE,OKE,PXD,XOM,EOG,COG,ETRN,AM,AR,EQT,MTDR,HES,VLO,CRK,TRGP,RIG,PSX,CPE,OXY,MGY,FANG,NBR,OVV,RRC,HP,XEC,DVN,MUR,SWN,TELL,KOS,SLB,APA,HFC,HAL,CNX,BKR,MPC,US Dollar,CHX,DK,NOV,PBF,Us Dollars,n/a,CTRA,CHV.,SUM
07/09/2021,8.57,7.37,7.15,7.14,7.13,4.26,3.88,3.85,3.82,3.81,3.76,3.74,3.71,3.69,3.68,3.29,3.03,2.94,2.36,2.24,1.38,1.11,0.94,0.43,0.39,0.34,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.0,0.0,0.0,0.0,100.00999999999998
07/12/2021,8.37,7.32,7.18,7.15,7.08,4.32,3.86,3.81,3.75,3.85,3.66,3.7,3.63,3.79,3.78,3.36,3.24,3.06,2.43,2.19,1.33,1.1,0.95,0.41,0.38,0.33,0.27,0.28,0.26,0.27,0.27,0.29,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.17,0.22,0.2,0.22,0.19,0.0,0.0,0.0,0.0,99.98000000000002
07/13/2021,8.37,7.32,7.18,7.15,7.08,4.32,3.86,3.81,3.75,3.85,3.66,3.7,3.63,3.79,3.78,3.36,3.24,3.06,2.43,2.19,1.33,1.1,0.95,0.41,0.38,0.33,0.27,0.28,0.26,0.27,0.27,0.29,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.17,0.22,0.2,0.22,0.19,0.0,0.0,0.0,0.0,99.98000000000002
07/14/2021,8.37,7.31,7.18,7.15,7.07,4.32,3.86,3.81,3.75,3.85,3.66,3.7,3.63,3.79,3.78,3.35,3.24,3.06,2.43,2.19,1.33,1.1,0.95,0.41,0.38,0.33,0.27,0.28,0.26,0.27,0.27,0.29,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.0,0.22,0.2,0.22,0.19,0.2,0.0,0.0,0.0,99.98000000000002
07/15/2021,8.23,7.25,7.17,7.15,7.14,4.39,3.91,3.81,3.74,3.83,3.67,3.72,3.68,3.83,3.86,3.31,3.12,3.04,2.44,2.22,1.32,1.1,0.95,0.41,0.38,0.33,0.27,0.29,0.26,0.27,0.27,0.29,0.27,0.26,0.25,0.25,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.0,0.22,0.2,0.22,0.19,0.2,0.0,0.0,0.0,100.0
07/16/2021,8.17,7.11,7.17,7.16,7.2,4.35,3.9,3.84,3.75,3.81,3.72,3.75,3.7,3.88,3.78,3.27,3.17,3.07,2.48,2.23,1.32,1.13,0.96,0.39,0.38,0.33,0.28,0.29,0.27,0.27,0.27,0.29,0.26,0.26,0.26,0.25,0.25,0.22,0.21,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.0,0.22,0.19,0.22,0.18,0.21,0.0,0.0,0.0,100.02
07/19/2021,7.79,7.43,7.39,7.36,7.41,3.96,3.84,3.89,3.74,3.92,3.67,3.83,3.6,3.81,3.89,3.4,3.22,3.03,2.4,2.2,1.32,1.09,0.95,0.36,0.38,0.3,0.26,0.28,0.26,0.25,0.26,0.29,0.26,0.25,0.25,0.24,0.24,0.22,0.2,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.0,0.22,0.19,0.22,0.17,0.18,0.0,0.0,0.0,100.01
07/20/2021,7.51,7.71,7.53,7.52,7.44,3.87,3.8,3.9,3.62,3.96,3.63,3.85,3.6,3.86,3.87,3.41,3.13,2.97,2.42,2.21,1.32,1.09,0.97,0.35,0.38,0.28,0.26,0.28,0.25,0.25,0.25,0.28,0.26,0.25,0.25,0.24,0.24,0.22,0.19,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.0,0.22,0.19,0.22,0.16,0.19,0.0,0.0,0.0,99.99
07/21/2021,7.51,7.71,7.53,7.52,7.44,3.87,3.8,3.9,3.62,3.96,3.63,3.85,3.6,3.86,3.87,3.41,3.13,2.97,2.42,2.21,1.32,1.09,0.97,0.35,0.38,0.28,0.26,0.28,0.25,0.25,0.25,0.28,0.26,0.25,0.25,0.24,0.24,0.22,0.19,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.0,0.22,0.19,0.22,0.16,0.19,0.0,0.0,0.0,99.99
07/22/2021,7.51,7.71,7.53,7.52,7.44,3.87,3.8,3.9,3.62,3.96,3.63,3.85,3.6,3.86,3.87,3.41,3.13,2.97,2.42,2.21,1.32,1.09,0.97,0.35,0.38,0.28,0.26,0.28,0.25,0.25,0.25,0.28,0.26,0.25,0.25,0.24,0.24,0.22,0.19,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.0,0.22,0.19,0.22,0.16,0.19,0.0,0.0,0.0,99.99
07/23/2021,7.42,7.76,7.63,7.65,7.54,3.84,3.74,3.93,3.48,3.88,3.66,3.86,3.57,3.89,3.88,3.45,3.08,3.06,2.28,2.22,1.31,1.12,0.98,0.35,0.37,0.27,0.26,0.27,0.25,0.25,0.25,0.29,0.27,0.25,0.25,0.24,0.24,0.21,0.19,0.23,0.22,0.23,0.23,0.25,0.22,0.22,0.0,0.22,0.19,0.22,0.16,0.2,0.0,0.0,0.0,100.03
07/26/2021,7.46,7.75,7.42,7.47,7.42,3.88,3.76,3.96,3.57,3.92,3.68,3.81,3.57,3.73,3.86,3.54,3.21,3.18,2.4,2.16,1.29,1.12,1.0,0.38,0.37,0.28,0.27,0.28,0.25,0.25,0.27,0.29,0.27,0.25,0.25,0.25,0.24,0.22,0.18,0.23,0.23,0.22,0.24,0.23,0.21,0.22,0.0,0.21,0.19,0.22,0.15,0.19,0.0,0.0,0.0,100.0
07/27/2021,7.35,7.76,7.44,7.5,7.48,3.87,3.73,3.9,3.61,3.94,3.66,3.84,3.55,3.78,3.87,3.53,3.24,3.17,2.35,2.16,1.3,1.15,1.0,0.36,0.37,0.27,0.27,0.28,0.25,0.24,0.27,0.29,0.26,0.25,0.25,0.25,0.24,0.22,0.18,0.24,0.23,0.22,0.23,0.23,0.21,0.22,0.0,0.22,0.19,0.22,0.14,0.19,0.0,0.0,0.0,99.97
07/28/2021,7.35,7.76,7.44,7.5,7.48,3.87,3.73,3.9,3.61,3.94,3.66,3.84,3.55,3.78,3.87,3.53,3.24,3.17,2.35,2.16,1.3,1.15,1.0,0.36,0.37,0.27,0.27,0.28,0.25,0.24,0.27,0.29,0.26,0.25,0.25,0.25,0.24,0.22,0.18,0.24,0.23,0.22,0.23,0.23,0.21,0.22,0.0,0.22,0.19,0.22,0.14,0.19,0.0,0.0,0.0,99.97
07/29/2021,7.4,7.67,7.42,7.42,7.43,3.89,3.73,3.89,3.68,3.9,3.63,3.82,3.52,3.77,3.9,3.54,3.36,3.18,2.36,2.14,1.3,1.19,0.99,0.37,0.37,0.27,0.26,0.28,0.25,0.25,0.27,0.3,0.27,0.25,0.25,0.26,0.25,0.21,0.18,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.0,0.22,0.2,0.22,0.15,0.19,0.0,0.0,0.0,100.0
07/30/2021,7.17,7.81,7.58,7.51,7.59,3.69,3.68,3.96,3.66,3.93,3.67,3.88,3.54,3.79,3.92,3.39,3.28,3.18,2.32,2.14,1.33,1.18,0.99,0.36,0.38,0.26,0.26,0.28,0.25,0.24,0.26,0.28,0.27,0.25,0.25,0.25,0.25,0.2,0.18,0.24,0.23,0.23,0.24,0.24,0.22,0.23,0.0,0.22,0.2,0.23,0.14,0.19,0.0,0.0,0.0,100.02
