,2SPY  211231C00002990,2SPY  211231P00373880,Cash&Other,2SPY  211231P00317800,2SPY  211231C00410330,SUM
07/09/2021,107.12,1.73,0.39,-0.69,-8.55,100.0
07/12/2021,107.66,1.79,0.39,-0.73,-9.11,100.0
07/13/2021,107.66,1.79,0.39,-0.73,-9.11,100.0
07/14/2021,107.66,1.79,0.39,-0.73,-9.11,100.0
07/15/2021,108.04,1.72,0.38,-0.69,-9.45,100.0
07/16/2021,107.78,1.85,0.38,-0.75,-9.27,99.99
07/19/2021,107.5,1.88,0.37,-0.74,-9.01,100.0
07/20/2021,106.87,2.08,0.37,-0.83,-8.49,100.0
07/21/2021,106.87,2.08,0.37,-0.83,-8.49,100.0
07/22/2021,105.73,2.44,0.36,-0.99,-7.54,100.0
07/23/2021,107.04,2.1,0.36,-0.85,-8.65,100.0
07/26/2021,107.82,1.81,0.35,-0.72,-9.26,100.0
07/27/2021,108.61,1.67,0.35,-0.68,-9.95,100.0
07/28/2021,108.61,1.67,0.35,-0.68,-9.95,100.0
07/29/2021,108.76,1.6,0.35,-0.63,-10.08,100.0
07/30/2021,108.4,1.71,0.35,-0.71,-9.74,100.01
08/02/2021,108.66,1.62,0.34,-0.65,-9.97,100.0
08/03/2021,108.47,1.66,0.34,-0.67,-9.81,99.99
08/04/2021,108.47,1.66,0.34,-0.67,-9.81,99.99
08/05/2021,108.29,1.71,0.34,-0.7,-9.65,99.99
08/06/2021,108.74,1.59,0.33,-0.64,-10.02,100.0
08/10/2021,109.09,1.38,0.31,-0.54,-10.24,100.0
08/11/2021,109.09,1.38,0.31,-0.54,-10.24,100.0
08/13/2021,108.95,1.37,0.32,-0.54,-10.1,100.0
08/16/2021,109.47,1.23,0.31,-0.47,-10.55,99.99
08/17/2021,109.65,1.21,0.31,-0.47,-10.7,100.0
08/18/2021,109.65,1.21,0.31,-0.47,-10.7,100.0
08/19/2021,109.96,1.17,0.31,-0.45,-10.98,100.01
08/20/2021,109.23,1.31,0.3,-0.52,-10.32,100.0
08/23/2021,108.63,1.63,0.3,-0.66,-9.9,100.0
08/24/2021,109.21,1.42,0.3,-0.57,-10.36,100.0
08/25/2021,109.21,1.42,0.3,-0.57,-10.36,100.0
08/26/2021,110.07,1.19,0.29,-0.48,-11.08,99.99
08/27/2021,110.14,1.2,0.29,-0.48,-11.15,100.0
08/30/2021,109.87,1.25,0.28,-0.5,-10.91,99.99
08/31/2021,110.53,1.07,0.28,-0.43,-11.46,99.98999999999998
09/01/2021,110.53,1.07,0.28,-0.43,-11.46,99.98999999999998
09/02/2021,111.03,0.98,0.28,-0.39,-11.9,100.0
09/03/2021,111.03,1.0,0.28,-0.4,-11.91,100.0
09/06/2021,110.99,0.91,0.26,-0.38,-11.8,99.98
09/07/2021,111.09,0.94,0.26,-0.38,-11.92,99.99000000000001
