,Cash,Ishares Msci Japan (Ewj) Swap Bank Of America Na - Cash Offset,Ishares Msci Japan (Ewj) Swap Ubs Ag - Cash Offset,Ishares Msci Japan (Ewj) Swap Societe Generale - Cash Offset,Ishares Msci Japan (Ewj) Swap Morgan Stanley & Co. International Plc - Cash,Ishares Msci Japan (Ewj) Swap Morgan Stanley & Co. International Plc,Ishares Msci Japan (Ewj) Swap Societe Generale,Ishares Msci Japan (Ewj) Swap Ubs Ag,Ishares Msci Japan (Ewj) Swap Bank Of America Na,SUM
07/09/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/12/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/13/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/14/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/15/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/16/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/19/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/20/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/21/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/22/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/23/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/26/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/27/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/28/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/29/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
07/30/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
08/02/2021,100.0,76.21,55.79,38.92,29.24,-29.24,-38.92,-55.79,-76.21,99.99999999999996
