,2SPY  220531C00003350,2SPY  220531P00399040,Cash&Other,2SPY  220531P00273030,2SPY  220531C00446670,SUM
07/09/2021,99.9,4.64,0.74,-0.85,-4.45,99.98
07/12/2021,100.42,4.49,0.73,-0.84,-4.8,100.0
07/13/2021,100.42,4.49,0.73,-0.84,-4.8,100.0
07/14/2021,100.42,4.49,0.73,-0.84,-4.8,100.0
07/15/2021,100.69,4.39,0.73,-0.81,-5.01,99.99
07/16/2021,100.48,4.59,0.73,-0.87,-4.93,100.0
07/19/2021,100.23,4.69,0.72,-0.87,-4.77,100.0
07/20/2021,99.7,4.97,0.72,-0.94,-4.46,99.99
07/21/2021,99.7,4.97,0.72,-0.94,-4.46,99.99
07/22/2021,98.7,5.53,0.72,-1.05,-3.9,100.0
07/23/2021,99.73,4.92,0.81,-0.97,-4.49,100.00000000000001
