,EAGG,ESGU,ESGD,ESGE,ESML,XTSLA,127.HK,USD,n/a,SUM
07/09/2021,39.67,34.11,14.69,7.15,4.23,0.51,0.0,0.0,0.0,100.36
07/12/2021,39.95,34.07,14.61,7.03,4.17,0.52,0.0,0.0,0.0,100.35
07/13/2021,39.95,34.07,14.61,7.03,4.17,0.52,0.0,0.0,0.0,100.35
07/14/2021,39.56,34.19,14.77,7.11,4.23,0.13,0.02,0.0,0.0,100.01
07/15/2021,39.56,34.19,14.77,7.11,4.23,0.13,0.02,0.0,0.0,100.01
07/16/2021,32.56,35.39,15.59,7.53,4.18,0.0,0.0,4.62,0.0,99.87
07/19/2021,32.75,35.34,15.49,7.58,4.1,4.75,0.0,0.0,0.0,100.01
07/20/2021,32.89,35.25,15.45,7.56,4.07,4.77,0.0,0.0,0.0,99.99
07/21/2021,32.89,35.25,15.45,7.56,4.07,4.77,0.0,0.0,0.0,99.99
07/22/2021,33.34,35.02,15.3,7.49,4.03,4.81,0.0,0.0,0.0,99.99
07/23/2021,33.05,35.28,15.3,7.47,4.12,4.78,0.0,0.0,0.0,100.0
07/26/2021,32.8,35.41,15.44,7.49,4.11,4.75,0.0,0.0,0.0,100.0
07/27/2021,32.67,35.67,15.48,7.34,4.12,4.73,0.0,0.0,0.0,100.01000000000002
07/28/2021,32.67,35.67,15.48,7.34,4.12,4.73,0.0,0.0,0.0,100.01000000000002
07/29/2021,32.65,35.77,15.52,7.19,4.13,4.73,0.0,0.0,0.0,99.99
07/30/2021,32.86,35.71,15.5,7.07,4.11,4.75,0.0,0.0,0.0,100.0
08/02/2021,32.64,35.62,15.58,7.27,4.17,4.72,0.0,0.0,0.0,100.0
08/03/2021,32.81,35.53,15.54,7.22,4.17,4.74,0.0,0.0,0.0,100.01
08/04/2021,32.81,35.53,15.54,7.22,4.17,4.74,0.0,0.0,0.0,100.01
08/05/2021,32.81,35.53,15.54,7.22,4.17,4.74,0.0,0.0,0.0,100.01
08/06/2021,32.67,35.55,15.63,7.28,4.15,4.71,0.0,0.0,0.0,99.99
08/09/2021,32.55,35.6,15.68,7.29,4.15,4.7,0.0,0.0,0.0,99.97000000000004
08/10/2021,32.48,35.71,15.65,7.24,4.18,4.72,0.0,0.0,0.0,99.98
08/11/2021,32.48,35.71,15.65,7.24,4.18,4.72,0.0,0.0,0.0,99.98
08/12/2021,32.45,35.72,15.66,7.27,4.16,4.72,0.0,0.0,0.0,99.98
08/13/2021,32.4,35.71,15.69,7.28,4.17,4.72,0.0,0.0,0.0,99.97
08/16/2021,39.26,34.63,14.92,6.83,4.18,4.71,0.0,0.0,0.0,104.53
08/17/2021,39.29,34.6,14.98,6.8,4.14,4.69,0.0,0.0,0.0,104.5
08/18/2021,39.29,34.6,14.98,6.8,4.14,4.69,0.0,0.0,0.0,104.5
08/19/2021,39.35,34.7,14.92,6.74,4.11,4.7,0.0,0.0,0.0,104.52
08/20/2021,39.54,34.65,14.85,6.67,4.09,0.13,0.0,0.0,0.0,99.93
08/23/2021,39.85,34.54,14.76,6.62,4.03,0.13,0.0,0.0,0.0,99.93
08/24/2021,39.68,34.7,14.76,6.59,4.07,0.13,0.0,0.0,0.0,99.93
08/25/2021,39.68,34.7,14.76,6.59,4.07,0.13,0.0,0.0,0.0,99.93
08/26/2021,39.45,34.8,14.8,6.65,4.1,0.13,0.0,0.0,0.0,99.93
08/27/2021,39.29,34.78,14.81,6.79,4.14,0.13,0.0,0.0,0.0,99.94
08/30/2021,39.37,34.8,14.76,6.74,4.14,0.13,0.0,0.0,0.0,99.93999999999998
08/31/2021,39.18,34.84,14.8,6.78,4.2,0.13,0.0,0.0,0.0,99.93
09/01/2021,39.18,34.84,14.8,6.78,4.2,0.13,0.0,0.0,0.0,99.93
09/02/2021,39.14,34.93,14.77,6.79,4.18,0.13,0.0,0.0,0.0,99.94
09/03/2021,39.12,34.88,14.75,6.88,4.18,0.13,0.0,0.0,0.0,99.94
09/06/2021,38.93,34.85,14.89,6.89,4.21,0.13,0.0,0.0,0.0,99.9
09/07/2021,38.86,34.85,14.95,6.93,4.19,0.13,0.0,0.0,0.0,99.91
09/08/2021,38.86,34.85,14.95,6.93,4.19,0.13,0.0,0.0,0.0,99.91
09/09/2021,38.9,34.88,14.97,6.93,4.2,0.13,0.0,0.0,0.0,100.01
09/10/2021,38.84,34.79,14.99,6.99,4.16,0.13,0.0,0.0,0.0,99.89999999999998
09/13/2021,39.13,34.71,14.91,6.89,4.14,0.13,0.0,0.0,0.0,99.91
09/14/2021,39.24,34.58,14.93,6.92,4.12,0.13,0.0,0.0,0.0,99.92
09/15/2021,39.24,34.58,14.93,6.92,4.12,0.13,0.0,0.0,0.0,99.92
09/16/2021,39.18,34.54,15.0,6.92,4.14,0.13,0.0,0.0,0.0,99.91
09/17/2021,39.37,34.45,14.98,6.88,4.1,0.13,0.0,0.0,0.0,99.90999999999998
09/20/2021,39.22,34.65,14.98,6.79,4.13,0.13,0.0,0.0,0.0,99.9
09/21/2021,39.41,34.54,14.88,6.8,4.15,0.13,0.0,0.0,0.0,99.90999999999998
09/22/2021,39.41,34.54,14.88,6.8,4.15,0.13,0.0,0.0,0.0,99.90999999999998
09/23/2021,39.91,34.3,14.75,6.69,4.12,0.13,0.0,0.0,0.0,99.9
09/24/2021,39.84,34.22,14.89,6.73,4.11,0.13,0.0,0.0,0.0,99.92
09/27/2021,39.24,34.6,14.96,6.78,4.19,0.13,0.0,0.0,0.0,99.9
09/28/2021,39.26,34.62,14.85,6.72,4.18,0.0,0.0,0.24,0.0,99.87
09/29/2021,39.26,34.62,14.85,6.72,4.18,0.0,0.0,0.24,0.0,99.87
09/30/2021,39.32,34.67,14.87,6.73,4.18,0.13,0.0,0.0,0.1,100.0
10/01/2021,39.65,34.29,14.72,6.79,4.21,0.0,0.0,0.22,0.0,99.88
10/04/2021,39.7,34.33,14.74,6.79,4.21,0.13,0.0,0.0,0.1,100.0
10/05/2021,39.72,34.3,14.67,6.75,4.22,0.26,0.0,0.0,0.09,100.01
10/06/2021,39.72,34.3,14.67,6.75,4.22,0.26,0.0,0.0,0.09,100.01
10/07/2021,40.0,34.11,14.63,6.7,4.21,0.26,0.0,0.0,0.09,100.0
10/08/2021,40.0,34.11,14.63,6.7,4.21,0.26,0.0,0.0,0.09,100.0
10/11/2021,39.42,34.56,14.61,6.78,4.23,0.26,0.0,0.0,0.13,99.99
10/12/2021,39.5,34.63,14.65,6.83,4.23,0.13,0.0,0.0,0.04,100.01
10/13/2021,39.5,34.63,14.65,6.83,4.23,0.13,0.0,0.0,0.04,100.01
10/14/2021,39.5,34.63,14.65,6.83,4.23,0.13,0.0,0.0,0.04,100.01
10/15/2021,39.58,34.54,14.66,6.84,4.22,0.13,0.0,0.0,0.04,100.01
10/18/2021,39.58,34.54,14.66,6.84,4.22,0.13,0.0,0.0,0.04,100.01
