,2269.HK,BGNE,ZLAB,1801.HK,1093.HK,1177.HK,241.HK,2359 HK,853.HK,1066.HK,1833.HK,1548.HK,3692.HK,300760 C2,1099.HK,2196 HK,600276 C1,867.HK,300015 C2,603259 C1,HCM,6185 HK,600436 C1,3759 HK,1951.HK,300122 C2,570.HK,3347 HK,2005.HK,2607 HK,1530.HK,000538 C2,600196 C1,000661 C2,3320.HK,IMAB,600763 C1,000963 C2,300347 C2,9926.HK,300601 C2,2500.HK,300142 C2,600332 C1,002001 C2,002821 C2,300595 C2,002007 C2,300529 C2,002044 C2,300003 C2,603882 C1,600998 C1,BNR,002422 C2,002294 C2,600161 C1,603858 C1,600867 C1,300676 C2,000423 C2,601607 C1,300558 C2,002603 C2,600079 C1,002223 C2,300253 C2,300759 C2,002252 C2,300677 C2,300357 C2,603707 C1,600521 C1,603658 C1,000739 C2,000999 C2,000513 C2,002030 C2,300482 C2,002019 C2,600380 C1,600511 C1,CASH,300463 C2,688185 C1,002399 C2,000623 C2,600529 C1,603456 C1,603127 C1,n/a,603392 C1,300896 C2,603658,SUM
07/09/2021,10.66,6.41,5.64,5.21,5.16,4.33,3.62,3.29,2.7,2.6,2.54,2.54,2.42,2.13,1.91,1.87,1.85,1.77,1.71,1.66,1.64,1.54,1.5,1.3,1.3,1.26,1.13,1.12,1.04,0.97,0.93,0.84,0.71,0.69,0.66,0.66,0.6,0.59,0.57,0.54,0.51,0.46,0.46,0.43,0.4,0.39,0.37,0.37,0.32,0.31,0.3,0.28,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.21,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.0,0.0,0.0,0.0,99.97
07/12/2021,10.88,6.39,5.71,5.05,5.31,4.3,3.51,3.39,2.65,2.59,2.42,2.76,2.31,2.21,1.92,1.82,1.84,1.73,1.76,1.74,1.75,1.44,1.5,1.29,1.22,1.34,1.13,1.07,1.0,0.98,0.87,0.82,0.68,0.73,0.66,0.67,0.6,0.58,0.53,0.52,0.49,0.44,0.51,0.41,0.38,0.41,0.38,0.35,0.33,0.3,0.28,0.28,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.2,0.19,0.17,0.17,0.17,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.0,0.0,0.0,0.0,99.96
07/13/2021,10.88,6.39,5.71,5.05,5.31,4.3,3.51,3.39,2.65,2.59,2.42,2.76,2.31,2.21,1.92,1.82,1.84,1.73,1.76,1.74,1.75,1.44,1.5,1.29,1.22,1.34,1.13,1.07,1.0,0.98,0.87,0.82,0.68,0.73,0.66,0.67,0.6,0.58,0.53,0.52,0.49,0.44,0.51,0.41,0.38,0.41,0.38,0.35,0.33,0.3,0.28,0.28,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.2,0.19,0.17,0.17,0.17,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.0,0.0,0.0,0.0,99.96
07/14/2021,11.3,6.5,5.76,5.0,5.28,4.21,3.57,3.36,2.59,2.59,2.43,2.69,2.32,2.17,1.9,1.81,1.85,1.74,1.72,1.71,1.72,1.4,1.45,1.3,1.23,1.28,1.12,1.08,0.96,0.95,0.87,0.8,0.69,0.73,0.66,0.71,0.6,0.58,0.55,0.54,0.48,0.44,0.52,0.4,0.39,0.41,0.37,0.36,0.32,0.3,0.28,0.28,0.26,0.25,0.25,0.25,0.25,0.24,0.22,0.21,0.2,0.19,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.15,0.14,0.15,0.12,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.0,0.0,0.0,0.0,100.0
07/15/2021,11.13,6.39,5.74,5.17,5.31,4.14,3.61,3.48,2.54,2.5,2.44,2.84,2.29,2.19,1.86,1.84,1.83,1.76,1.73,1.79,1.68,1.37,1.39,1.4,1.19,1.27,1.12,1.16,0.98,0.93,0.85,0.78,0.69,0.72,0.64,0.67,0.59,0.58,0.57,0.56,0.5,0.45,0.52,0.4,0.38,0.42,0.37,0.37,0.33,0.3,0.28,0.27,0.26,0.25,0.24,0.25,0.27,0.23,0.22,0.21,0.2,0.19,0.17,0.17,0.16,0.18,0.17,0.18,0.16,0.16,0.15,0.14,0.14,0.12,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,100.02
07/16/2021,10.86,6.42,5.73,5.17,5.38,4.18,3.64,3.43,2.53,2.5,2.43,2.86,2.29,2.16,1.87,1.82,1.81,1.77,1.76,1.77,1.72,1.34,1.39,1.37,1.18,1.3,1.13,1.2,0.98,0.94,0.85,0.81,0.69,0.71,0.65,0.66,0.59,0.58,0.62,0.57,0.52,0.43,0.54,0.4,0.39,0.41,0.38,0.37,0.32,0.3,0.29,0.27,0.26,0.25,0.24,0.25,0.26,0.24,0.22,0.21,0.2,0.19,0.17,0.17,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.0,0.0,0.0,0.0,100.03
07/19/2021,11.1,6.28,5.56,5.13,5.56,4.22,3.56,3.48,2.78,2.51,2.42,2.99,2.29,2.15,1.88,1.92,1.72,1.74,1.73,1.8,1.67,1.31,1.42,1.36,1.19,1.32,1.13,1.18,0.84,0.92,0.86,0.78,0.72,0.72,0.65,0.63,0.6,0.57,0.61,0.54,0.49,0.43,0.52,0.39,0.37,0.4,0.37,0.36,0.32,0.28,0.28,0.26,0.25,0.24,0.23,0.24,0.27,0.23,0.22,0.19,0.2,0.18,0.17,0.16,0.19,0.18,0.17,0.19,0.16,0.17,0.16,0.14,0.15,0.12,0.13,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.11,0.08,0.08,0.07,0.07,0.08,0.06,0.07,0.0,0.0,0.0,0.0,99.96999999999998
07/20/2021,11.1,6.28,5.56,5.13,5.56,4.22,3.56,3.48,2.78,2.51,2.42,2.99,2.29,2.15,1.88,1.92,1.72,1.74,1.73,1.8,1.67,1.31,1.42,1.36,1.19,1.32,1.13,1.18,0.84,0.92,0.86,0.78,0.72,0.72,0.65,0.63,0.6,0.57,0.61,0.54,0.49,0.43,0.52,0.39,0.37,0.4,0.37,0.36,0.32,0.28,0.28,0.26,0.25,0.24,0.23,0.24,0.27,0.23,0.22,0.19,0.2,0.18,0.17,0.16,0.19,0.18,0.17,0.19,0.16,0.17,0.16,0.14,0.15,0.12,0.13,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.11,0.08,0.08,0.07,0.07,0.08,0.06,0.07,0.0,0.0,0.0,0.0,99.96999999999998
07/21/2021,11.43,6.26,5.19,5.18,5.5,4.17,3.49,3.64,2.7,2.48,2.35,3.03,2.33,2.06,1.9,2.08,1.74,1.75,1.7,1.82,1.76,1.31,1.41,1.25,1.18,1.32,1.13,1.17,0.85,0.94,0.87,0.78,0.77,0.71,0.68,0.66,0.58,0.57,0.6,0.53,0.49,0.43,0.58,0.39,0.38,0.39,0.36,0.36,0.31,0.29,0.28,0.25,0.25,0.25,0.23,0.24,0.26,0.23,0.22,0.18,0.2,0.18,0.17,0.17,0.19,0.17,0.16,0.16,0.16,0.17,0.17,0.13,0.15,0.11,0.13,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.12,0.08,0.07,0.07,0.08,0.08,0.06,0.07,0.0,0.0,0.0,0.0,100.0
07/22/2021,11.35,6.13,5.08,5.32,5.43,4.19,3.51,3.57,2.64,2.43,2.34,3.14,2.32,2.17,1.89,2.14,1.75,1.69,1.72,1.84,1.76,1.31,1.52,1.21,1.17,1.36,1.11,1.16,0.86,0.95,0.88,0.81,0.78,0.76,0.65,0.65,0.6,0.57,0.58,0.52,0.49,0.42,0.58,0.41,0.37,0.39,0.38,0.36,0.31,0.28,0.28,0.25,0.25,0.24,0.23,0.24,0.27,0.23,0.22,0.18,0.2,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.17,0.13,0.15,0.12,0.13,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.11,0.08,0.07,0.07,0.08,0.08,0.06,0.07,0.0,0.0,0.0,0.0,99.96
