,NOW,VEEV,MSFT,FB,GOOGL,ROP,CRM,AMZN,PM,MDT,EKTA B.ST,EMR,BMY,RY.TO,BRK.B,MCD,YUMC,ZBH,TD.TO,MAS,2330.TW,TBLD.L,G1A.DE,BAER.SW,WBC.AX,CTVA,700.HK,WU,CMP,6268.T,EFX,ADBE,MELI,TMO,LNG,AZN.L,BLK,AMAT,PII,LRCX,ICE,ROG.SW,CMCSA,PFE,BLKB,AZPN,BK,TYL,NOVO B.CO,DB1.DE,NOVN.SW,AIR.PA,MMM,GD,WFC,STZ,KO,ULVR.L,BA.L,Aust And Nz Banking Group Common Stock,NAB.AX,IMB.L,RKT.L,SAF.PA,MCHP,MGGT.L,MO,6465.T,9988.HK,INTC,Us Dollar,Australian Dollar,ABI.BR,ANZ.AX,SUM
07/09/2021,2.26,2.2,2.2,2.19,2.18,2.14,2.12,2.1,2.06,2.02,2.02,2.0,2.0,1.99,1.98,1.97,1.97,1.97,1.95,1.94,1.93,1.93,1.92,1.88,1.86,1.84,1.81,1.79,1.71,1.59,1.28,1.24,1.17,1.14,1.13,1.13,1.13,1.11,1.09,1.07,1.06,1.05,1.03,1.03,1.03,1.03,1.02,1.02,1.01,0.99,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.95,0.95,0.95,0.94,0.93,0.92,0.91,0.91,0.87,0.84,0.83,0.82,0.09,0.05,0.0,0.0,100.04
08/31/2021,2.26,2.18,2.16,2.16,2.14,2.15,2.1,2.08,2.05,1.99,2.03,1.99,2.01,1.99,1.99,1.96,1.98,1.95,1.96,1.96,1.98,0.0,1.94,1.9,1.89,1.85,1.85,1.78,1.73,1.58,1.27,1.23,1.18,1.13,1.13,1.13,1.11,1.15,1.11,1.11,1.07,1.06,1.01,1.02,1.03,0.99,1.02,1.0,1.01,0.99,0.99,0.96,0.98,0.98,0.99,0.99,0.97,0.97,0.96,0.0,0.96,0.94,0.93,0.91,0.93,0.9,0.87,0.83,0.87,0.82,0.0,0.0,1.96,0.95,100.0
09/01/2021,2.26,2.18,2.16,2.16,2.14,2.15,2.1,2.08,2.05,1.99,2.03,1.99,2.01,1.99,1.99,1.96,1.98,1.95,1.96,1.96,1.98,0.0,1.94,1.9,1.89,1.85,1.85,1.78,1.73,1.58,1.27,1.23,1.18,1.13,1.13,1.13,1.11,1.15,1.11,1.11,1.07,1.06,1.01,1.02,1.03,0.99,1.02,1.0,1.01,0.99,0.99,0.96,0.98,0.98,0.99,0.99,0.97,0.97,0.96,0.0,0.96,0.94,0.93,0.91,0.93,0.9,0.87,0.83,0.87,0.82,0.0,0.0,1.96,0.95,100.0
