,DJAN,FDEC,DFEB,DMAR,FJAN,n/a,MISXX,DJUN,DMAY,DAPR,FMAR,DOCT,DAUG,DSEP,DNOV,DDEC,SUM
11/08/2021,24.93,22.49,18.39,17.32,16.85,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/09/2021,24.93,22.49,18.39,17.32,16.85,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/10/2021,24.93,22.49,18.39,17.32,16.85,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/11/2021,24.93,22.51,18.39,17.31,16.84,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/12/2021,24.93,22.52,18.39,17.32,16.84,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/15/2021,24.94,22.53,18.39,17.31,16.84,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
11/16/2021,24.92,22.52,18.4,17.31,16.85,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/17/2021,24.92,22.52,18.4,17.31,16.85,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/18/2021,24.92,22.49,18.43,17.31,16.85,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/19/2021,24.92,22.51,18.39,17.31,16.85,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
11/22/2021,24.92,22.51,18.39,17.31,16.85,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
11/23/2021,24.92,22.51,18.39,17.31,16.85,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
11/24/2021,24.93,22.49,18.4,17.31,16.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/25/2021,24.93,22.52,18.38,17.31,16.85,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/26/2021,24.94,22.53,18.39,17.29,16.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/29/2021,0.0,0.0,22.89,20.98,22.95,0.0,0.0,16.9,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/30/2021,0.0,0.0,22.9,21.02,22.96,0.0,0.0,16.85,16.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/01/2021,0.0,0.0,22.9,21.02,22.96,0.0,0.0,16.85,16.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/02/2021,0.0,0.0,22.06,20.21,22.1,3.69,0.0,16.26,15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/06/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/07/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/08/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/09/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/10/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/13/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/14/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/15/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/16/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/17/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/20/2021,0.0,0.0,21.97,20.17,22.06,0.0,4.0,16.19,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/21/2021,0.0,0.0,21.97,20.15,22.1,3.97,0.0,16.19,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/22/2021,0.0,0.0,22.05,20.22,22.18,0.0,3.63,16.24,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/23/2021,0.0,0.0,22.06,20.22,22.19,0.0,3.64,16.22,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/24/2021,0.0,0.0,22.03,20.2,22.14,0.0,3.75,16.21,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/27/2021,0.0,0.0,25.37,22.72,0.0,3.75,0.0,16.74,15.98,15.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/28/2021,0.0,0.0,25.32,22.67,0.0,0.0,3.95,16.71,15.94,15.41,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/29/2021,0.0,0.0,25.32,22.67,0.0,0.0,3.95,16.71,15.94,15.41,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/30/2021,0.0,0.0,25.45,22.8,0.0,0.0,3.38,16.82,16.06,15.5,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/31/2021,0.0,0.0,25.47,22.82,0.0,0.0,3.3,16.83,16.07,15.5,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/03/2022,0.0,0.0,25.41,22.77,0.0,0.0,3.5,16.8,16.04,15.49,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/03/2022,0.0,0.0,25.35,22.71,0.0,3.74,0.0,16.76,16.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,25.35,22.71,0.0,3.74,0.0,16.76,16.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/04/2022,0.0,0.0,25.35,22.71,0.0,3.74,0.0,16.76,16.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/05/2022,0.0,0.0,25.35,22.71,0.0,3.74,0.0,16.76,16.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/06/2022,0.0,0.0,25.35,22.71,0.0,3.74,0.0,16.76,16.0,15.45,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/07/2022,0.0,0.0,25.35,22.71,0.0,0.0,3.74,16.75,16.01,15.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/10/2022,0.0,0.0,25.47,22.74,0.0,0.0,3.59,16.78,15.99,15.43,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/11/2022,0.0,0.0,25.51,22.8,0.0,0.14,3.28,16.79,16.03,15.46,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/12/2022,0.0,0.0,25.51,22.8,0.0,0.14,3.28,16.79,16.03,15.46,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/13/2022,0.0,0.0,25.52,22.75,0.0,0.0,3.43,16.8,16.04,15.46,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/14/2022,0.0,0.0,26.23,23.46,0.0,0.0,0.53,17.31,16.53,15.93,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/17/2022,0.0,0.0,26.25,23.48,0.0,0.0,0.53,17.31,16.51,15.92,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/18/2022,0.0,0.0,26.25,23.47,0.0,0.53,0.0,17.3,16.51,15.93,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/19/2022,0.0,0.0,26.25,23.47,0.0,0.53,0.0,17.3,16.51,15.93,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/20/2022,0.0,0.0,26.25,23.47,0.0,0.53,0.0,17.3,16.51,15.93,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/21/2022,0.0,0.0,26.31,23.5,0.0,0.54,0.0,17.28,16.49,15.9,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/24/2022,0.0,0.0,26.36,23.53,0.0,0.0,0.49,17.28,16.47,15.87,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/25/2022,0.0,0.0,26.36,23.51,0.0,0.54,0.0,17.27,16.46,15.86,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/26/2022,0.0,0.0,26.36,23.51,0.0,0.54,0.0,17.27,16.46,15.86,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/27/2022,0.0,0.0,26.37,23.49,0.0,0.0,0.54,17.27,16.48,15.86,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/28/2022,0.0,0.0,26.38,23.52,0.0,0.0,0.54,17.29,16.47,15.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/31/2022,0.0,0.0,0.0,24.58,0.0,0.0,0.54,20.41,19.48,0.0,17.79,17.2,0.0,0.0,0.0,0.0,100.0
02/01/2022,0.0,0.0,0.0,24.58,0.0,0.0,0.54,20.41,19.48,0.0,17.79,17.2,0.0,0.0,0.0,0.0,100.0
02/02/2022,0.0,0.0,0.0,24.66,0.0,0.02,0.0,20.48,19.6,0.0,17.95,17.28,0.0,0.0,0.0,0.0,99.99
02/03/2022,0.0,0.0,0.0,24.66,0.0,0.02,0.0,20.48,19.6,0.0,17.95,17.28,0.0,0.0,0.0,0.0,99.99
02/04/2022,0.0,0.0,0.0,24.64,0.0,0.02,0.0,20.47,19.58,0.0,17.97,17.32,0.0,0.0,0.0,0.0,100.0
02/07/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.02,20.45,19.56,0.0,17.98,17.29,0.0,0.0,0.0,0.0,99.99
02/08/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.02,20.45,19.56,0.0,17.98,17.29,0.0,0.0,0.0,0.0,99.99
02/09/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.02,20.45,19.56,0.0,17.98,17.29,0.0,0.0,0.0,0.0,99.99
02/10/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.01,20.46,19.59,0.0,17.97,17.29,0.0,0.0,0.0,0.0,100.01
02/11/2022,0.0,0.0,0.0,24.67,0.0,0.0,0.01,20.45,19.57,0.0,18.0,17.29,0.0,0.0,0.0,0.0,99.99
02/14/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.01,20.46,19.56,0.0,17.99,17.3,0.0,0.0,0.0,0.0,100.01
02/15/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.01,20.46,19.56,0.0,17.99,17.3,0.0,0.0,0.0,0.0,100.01
02/16/2022,0.0,0.0,0.0,24.69,0.0,0.0,0.01,20.46,19.56,0.0,17.99,17.3,0.0,0.0,0.0,0.0,100.01
