,UNH,HD,GS,MSFT,MCD,CRM,AMGN,CAT,V,BA,HON,MMM,AXP,AAPL,JNJ,JPM,PG,TRV,NKE,DIS,WMT,IBM,CVX,MRK,CSCO,KO,DOW,INTC,VZ,WBA,AGPXX,n/a,SUM
01/11/2022,8.48,7.32,7.16,5.66,4.87,4.14,4.06,4.01,3.97,3.81,3.8,3.21,3.12,3.1,3.1,2.99,2.94,2.93,2.91,2.83,2.59,2.44,2.22,1.42,1.1,1.09,1.05,0.97,0.97,0.95,0.69,0.09,99.99
01/12/2022,8.28,7.11,7.18,5.67,4.82,4.12,4.1,4.05,3.92,3.89,3.9,3.25,3.15,3.11,3.14,3.02,2.94,3.0,2.83,2.85,2.62,2.43,2.26,1.45,1.1,1.09,1.07,0.96,0.98,0.97,0.69,0.07,100.02
01/13/2022,8.43,7.03,7.24,5.7,4.8,4.17,4.18,4.02,3.84,3.8,3.87,3.22,3.15,3.12,3.14,3.03,2.91,2.98,2.73,2.84,2.62,2.45,2.27,1.49,1.12,1.1,1.06,1.0,0.98,0.97,0.67,0.06,99.99
01/14/2022,8.47,6.98,7.28,5.69,4.73,4.24,4.19,3.97,3.87,3.9,3.9,3.23,3.17,3.16,3.09,3.02,2.86,2.95,2.71,2.85,2.6,2.4,2.31,1.47,1.13,1.09,1.07,1.01,0.97,0.98,0.67,0.04,100.0
01/17/2022,8.54,7.02,7.04,5.74,4.71,4.29,4.18,4.01,3.89,3.92,3.94,3.24,3.15,3.17,3.06,3.04,2.87,2.94,2.75,2.85,2.59,2.41,2.3,1.46,1.12,1.09,1.07,1.01,0.96,0.97,0.67,0.02,100.02
01/18/2022,8.47,7.01,7.08,5.52,4.74,4.14,4.18,4.11,3.9,4.06,3.98,3.28,3.14,3.12,3.06,3.05,2.87,2.95,2.71,2.82,2.64,2.44,2.3,1.47,1.11,1.1,1.09,1.0,0.97,0.98,0.67,0.04,100.0
