,NOVO B.CO,DSV.CO,VWS.CO,ORSTED.CO,GMAB.CO,CARL B.CO,COLO B.CO,NZYM B.CO,MAERSK B.CO,PNDORA.CO,DANSKE.CO,GN.CO,CHR.CO,TRYG.CO,DEMANT.CO,MAERSKA.CO,RBREW.CO,AMBU B.CO,NETC.CO,SIM.CO,ROCK B.CO,ISS.CO,ALK B.CO,RILBA.CO,JYSK.CO,BAVA.CO,TOP.CO,CHEMM.CO,DKK,NKT.CO,DFDS.CO,SYDB.CO,LUN.CO,FLS.CO,STG.CO,SCHO.CO,DNORD.CO,NLFSK.CO,SPNO.CO,DRLCO.CO,MATAS.CO,PAAL B.CO,ZEAL.CO,ALMB.CO,NNIT.CO,TRMD A.CO,HART.CO,HBCFT,CBRAIN.CO,NTG.CO,XTSLA,OMWN1,DKK.1,USD,OMWQ1,OMWU1,OMWV1,OMWX1,ALMBT.CO,SUM
07/09/2021,22.25,9.52,7.61,5.18,4.59,4.03,3.96,3.34,3.32,2.99,2.59,2.52,2.12,2.08,1.57,1.54,1.52,1.34,1.24,1.22,1.12,1.09,0.91,0.82,0.77,0.73,0.7,0.7,0.68,0.65,0.64,0.63,0.62,0.59,0.51,0.49,0.47,0.46,0.45,0.42,0.41,0.37,0.33,0.23,0.2,0.16,0.14,0.08,0.06,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
07/16/2021,22.52,9.57,7.42,5.2,4.75,4.0,4.1,3.33,3.18,3.0,2.62,2.51,1.96,2.03,1.5,1.49,1.51,1.38,1.29,1.29,1.14,1.04,0.87,0.87,0.8,0.69,0.69,0.7,0.61,0.62,0.63,0.66,0.62,0.58,0.5,0.48,0.44,0.46,0.48,0.41,0.4,0.35,0.32,0.23,0.21,0.16,0.14,0.08,0.06,0.06,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,22.95,9.77,6.93,5.06,4.76,3.98,4.11,3.36,3.12,3.01,2.62,2.49,1.96,2.05,1.49,1.47,1.53,1.38,1.29,1.29,1.15,1.02,0.88,0.88,0.79,0.68,0.71,0.7,0.61,0.63,0.63,0.66,0.62,0.57,0.51,0.48,0.44,0.51,0.48,0.4,0.4,0.35,0.31,0.23,0.21,0.15,0.14,0.08,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,22.95,9.77,6.93,5.06,4.76,3.98,4.11,3.36,3.12,3.01,2.62,2.49,1.96,2.05,1.49,1.47,1.53,1.38,1.29,1.29,1.15,1.02,0.88,0.88,0.79,0.68,0.71,0.7,0.61,0.63,0.63,0.66,0.62,0.57,0.51,0.48,0.44,0.51,0.48,0.4,0.4,0.35,0.31,0.23,0.21,0.15,0.14,0.08,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/22/2021,23.45,9.46,6.99,5.1,4.8,3.93,4.25,3.31,3.13,2.88,2.54,2.52,2.01,2.02,1.54,1.47,1.52,1.44,1.26,1.29,1.11,1.02,0.89,0.84,0.76,0.69,0.69,0.72,0.61,0.66,0.61,0.63,0.61,0.55,0.5,0.47,0.42,0.47,0.45,0.38,0.4,0.34,0.33,0.23,0.2,0.15,0.13,0.08,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/23/2021,23.37,9.57,6.95,5.14,4.83,3.96,4.27,3.33,3.13,2.92,2.56,2.49,2.0,2.03,1.51,1.47,1.52,1.33,1.24,1.28,1.12,0.99,0.9,0.85,0.76,0.67,0.68,0.71,0.61,0.65,0.62,0.63,0.61,0.56,0.51,0.48,0.42,0.47,0.45,0.37,0.4,0.35,0.33,0.23,0.2,0.15,0.13,0.08,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/27/2021,23.07,9.42,7.36,5.27,4.83,3.91,4.22,3.28,3.07,2.91,2.6,2.52,1.96,2.0,1.55,1.44,1.5,1.38,1.27,1.3,1.13,0.96,0.9,0.88,0.75,0.69,0.67,0.75,0.61,0.64,0.61,0.63,0.61,0.56,0.5,0.47,0.42,0.47,0.45,0.38,0.39,0.34,0.33,0.22,0.2,0.15,0.13,0.07,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,23.18,9.45,7.01,5.18,4.85,3.95,4.25,3.32,3.13,2.92,2.6,2.52,1.94,2.02,1.54,1.47,1.51,1.36,1.27,1.29,1.15,0.99,0.9,0.9,0.77,0.7,0.68,0.72,0.61,0.64,0.62,0.65,0.59,0.57,0.51,0.48,0.43,0.47,0.46,0.39,0.4,0.34,0.32,0.22,0.2,0.15,0.14,0.08,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/30/2021,23.35,9.46,6.87,5.15,4.79,3.98,4.24,3.34,3.16,2.84,2.57,2.52,1.96,2.03,1.57,1.48,1.52,1.36,1.28,1.3,1.14,0.99,0.9,0.91,0.77,0.7,0.68,0.73,0.61,0.63,0.62,0.64,0.59,0.56,0.51,0.48,0.42,0.46,0.46,0.39,0.41,0.34,0.32,0.23,0.2,0.15,0.14,0.08,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/02/2021,23.55,9.29,6.88,5.17,4.84,3.98,4.33,3.4,3.06,2.82,2.56,2.41,1.96,2.01,1.61,1.43,1.53,1.38,1.27,1.3,1.15,1.01,0.9,0.89,0.77,0.71,0.66,0.74,0.61,0.66,0.61,0.63,0.6,0.53,0.5,0.48,0.43,0.46,0.47,0.39,0.4,0.34,0.33,0.22,0.21,0.15,0.13,0.08,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
