,ZTS,DE,IDXX,BAYN.DE,NTR.TO,ADM,CTVA,TSN,6326.T,TSCO,CNHI.MI,2319.HK,FMC,ELAN,F34.SI,TTC,MOS,MOWI.OL,BG,YAR.OL,CF,SQM,AGCO,DAR,TWE.AX,RAIL3.SA,CPF-R.BK,BAKKA.OL,ICL.TA,GNS.L,BUCN.SW,CPIN.JK,NEOG,BCPC,SALM.OL,2282.T,SDF.DE,SAFM,PHOR.L,PPB.KL,LSG.OL,IPL.AX,IOICORP.KL,OCI.AS,SIMEPLT.KL,KLK.KL,1722.TW,SCHO.CO,PPC,1332.T,1333.T,Us Dollar,E5H.SI,Australian Dollar,Japanese Yen,New Taiwan Dollar,GVMXX,SUM
07/09/2021,8.89,8.22,7.58,6.76,5.72,4.99,4.99,3.77,3.39,3.21,2.77,2.71,2.25,2.03,2.01,1.92,1.9,1.89,1.77,1.74,1.62,1.46,1.46,1.38,1.03,1.0,0.84,0.83,0.82,0.8,0.75,0.68,0.67,0.66,0.66,0.61,0.59,0.55,0.51,0.5,0.47,0.46,0.45,0.4,0.36,0.33,0.33,0.3,0.23,0.19,0.19,0.16,0.16,0.04,0.0,0.0,0.0,100.0
08/31/2021,8.67,8.3,7.45,6.77,5.75,5.03,5.01,3.81,3.4,3.21,2.81,2.8,2.26,2.03,2.03,1.91,1.94,1.86,1.75,1.72,1.63,1.44,1.45,1.41,1.05,0.98,0.85,0.82,0.83,0.79,0.75,0.66,0.68,0.66,0.66,0.62,0.56,0.56,0.52,0.51,0.47,0.46,0.45,0.39,0.37,0.34,0.34,0.31,0.23,0.19,0.19,0.0,0.16,0.0,0.0,0.0,0.74,100.58
09/01/2021,8.67,8.3,7.45,6.77,5.75,5.03,5.01,3.81,3.4,3.21,2.81,2.8,2.26,2.03,2.03,1.91,1.94,1.86,1.75,1.72,1.63,1.44,1.45,1.41,1.05,0.98,0.85,0.82,0.83,0.79,0.75,0.66,0.68,0.66,0.66,0.62,0.56,0.56,0.52,0.51,0.47,0.46,0.45,0.39,0.37,0.34,0.34,0.31,0.23,0.19,0.19,0.0,0.16,0.0,0.0,0.0,0.74,100.58
09/02/2021,8.67,8.3,7.45,6.77,5.75,5.03,5.01,3.81,3.4,3.21,2.81,2.8,2.26,2.03,2.03,1.91,1.94,1.86,1.75,1.72,1.63,1.44,1.45,1.41,1.05,0.98,0.85,0.82,0.83,0.79,0.75,0.66,0.68,0.66,0.66,0.62,0.56,0.56,0.52,0.51,0.47,0.46,0.45,0.39,0.37,0.34,0.34,0.31,0.23,0.19,0.19,0.0,0.16,0.0,0.0,0.0,0.74,100.58
