,KWEB,KURE,KGRN,KFVG,KSTR,n/a,SUM
10/20/2021,31.27,23.56,20.35,14.89,9.7,0.23,100.0
10/21/2021,31.42,23.41,20.67,14.59,9.69,0.23,100.01
10/22/2021,31.81,23.25,20.36,14.81,9.54,0.22,99.99
10/25/2021,32.18,23.08,20.24,14.68,9.6,0.22,100.0
10/26/2021,32.23,23.06,20.43,14.5,9.56,0.23,100.01
10/27/2021,32.23,23.06,20.43,14.5,9.56,0.23,100.01
10/28/2021,32.23,23.06,20.43,14.5,9.56,0.23,100.01
10/29/2021,31.55,22.97,21.02,14.69,9.55,0.22,100.0
11/01/2021,30.74,23.0,21.2,15.08,9.75,0.23,100.0
11/02/2021,30.59,22.99,21.26,15.17,9.75,0.23,99.99
11/03/2021,29.71,23.31,21.35,15.32,10.08,0.23,100.0
11/04/2021,29.71,23.31,21.35,15.32,10.08,0.23,100.0
11/05/2021,30.71,22.36,21.3,15.43,9.97,0.23,100.00000000000001
