,SI,8473.T,NET,PLBY,NB2.DE,COIN,EBAY,MARA,BITF.V,VOYG.TO,HUT.TO,HIVE.V,DEFI.NE,CLSK,RIOT,FNKO,ARB.L,SQ,CAN,DKNG,HOOD,MOGO.TO,BIGG.CN,SOS,ADE.DE,BBIG,DMGI.V,ATA.PA,ARCANE.ST,BNXA.V,EQOS,DGHI.V,DLPN,WIHN.SW,FGXXX,IREN,MIGI,BTCM,ETHC.NE,UCD.,n/a,GME,CORZ,BITF.TO,WULF,N4G.DE,RAM,SGLY,GREE,SDIG,SUM
12/22/2021,6.22,5.78,5.28,5.2,4.96,4.56,4.35,4.26,3.98,3.97,3.9,3.81,3.74,3.65,3.62,3.56,3.39,3.23,2.97,2.32,2.18,1.85,1.79,1.71,1.68,1.56,1.07,0.96,0.88,0.88,0.77,0.71,0.49,0.48,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/03/2022,4.14,4.64,3.73,3.38,3.57,4.32,4.46,3.7,3.64,4.53,3.69,3.78,2.82,2.39,3.67,2.97,3.53,4.08,3.01,4.49,3.78,1.45,1.27,1.32,1.19,2.17,0.71,0.69,0.71,0.57,0.46,0.56,0.0,0.46,0.58,4.89,2.23,1.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/03/2022,4.14,4.64,3.73,3.38,3.57,4.32,4.46,3.7,3.64,4.53,3.69,3.78,2.82,2.39,3.67,2.97,3.53,4.08,3.01,4.49,3.78,1.45,1.27,1.32,1.19,2.17,0.71,0.69,0.71,0.57,0.46,0.56,0.0,0.46,0.58,4.89,2.23,1.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/03/2022,4.14,4.64,3.73,3.38,3.57,4.32,4.46,3.7,3.64,4.53,3.69,3.78,2.82,2.39,3.67,2.97,3.53,4.08,3.01,4.49,3.78,1.45,1.27,1.32,1.19,2.17,0.71,0.69,0.71,0.57,0.46,0.56,0.0,0.46,0.58,4.89,2.23,1.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/04/2022,4.14,4.64,3.73,3.38,3.57,4.32,4.46,3.7,3.64,4.53,3.69,3.78,2.82,2.39,3.67,2.97,3.53,4.08,3.01,4.49,3.78,1.45,1.27,1.32,1.19,2.17,0.71,0.69,0.71,0.57,0.46,0.56,0.0,0.46,0.58,4.89,2.23,1.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/05/2022,4.14,4.64,3.73,3.38,3.57,4.32,4.46,3.7,3.64,4.53,3.69,3.78,2.82,2.39,3.67,2.97,3.53,4.08,3.01,4.49,3.78,1.45,1.27,1.32,1.19,2.17,0.71,0.69,0.71,0.57,0.46,0.56,0.0,0.46,0.58,4.89,2.23,1.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/06/2022,4.14,4.64,3.73,3.38,3.57,4.32,4.46,3.7,3.64,4.53,3.69,3.78,2.82,2.39,3.67,2.97,3.53,4.08,3.01,4.49,3.78,1.45,1.27,1.32,1.19,2.17,0.71,0.69,0.71,0.57,0.46,0.56,0.0,0.46,0.58,4.89,2.23,1.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/07/2022,4.12,4.7,3.59,3.51,3.62,4.29,4.52,3.59,3.62,0.0,3.78,3.76,2.79,2.31,3.61,3.04,3.67,4.11,3.17,4.44,3.89,1.45,1.27,1.38,1.26,2.24,0.71,0.7,0.71,0.56,0.54,0.56,0.0,0.46,0.59,4.48,2.3,1.61,0.78,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
01/10/2022,4.11,5.16,3.29,3.29,3.8,4.36,4.77,3.53,3.72,0.0,3.78,3.87,2.66,2.25,3.71,3.11,3.73,3.92,3.12,4.31,3.68,1.51,1.35,1.43,1.34,2.21,0.73,0.76,0.78,0.62,0.5,0.54,0.0,0.53,0.72,4.17,2.32,1.53,0.81,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
01/11/2022,4.05,5.1,3.28,3.46,3.58,4.43,5.02,3.55,3.62,0.0,3.69,3.83,2.96,2.22,3.6,3.23,3.44,4.02,3.13,4.58,3.64,1.44,1.35,1.42,1.26,2.23,0.74,0.77,0.79,0.62,0.5,0.52,0.0,0.52,0.73,4.09,2.11,1.58,0.83,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
