,005930.KS,000660.KS,035420.KS,035720.KS,051910.KS,006400.KS,005380.KS,005935.KQ,068270.KS,000270.KS,005490.KS,105560.KS,055550.KS,066570.KS,012330.KS,051900.KS,096770.KS,036570.KS,011200.KS,086790.KS,028260.KS,207940.KS,009150.KS,033780.KS,034730.KS,003550.KS,091990.KQ,090430.KS,000810.KS,017670.KS,015760.KS,034020.KS,018260.KS,316140.KS,009540.KS,003490.KS,034220.KS,352820.KS,032830.KS,021240.KS,010950.KS,000720.KS,010130.KS,009830.KS,003670.KS,004020.KS,011170.KS,005387.KQ,028050.KS,086280.KS,011780.KS,161390.KS,071050.KS,267250.KS,097950.KS,006800.KS,011070.KS,032640.KS,326030.KS,028300.KQ,139480.KS,011790.KS,051915.KQ,008770.KS,010140.KS,000100.KS,068760.KQ,035250.KS,016360.KS,081660.KS,024110.KS,018880.KS,271560.KS,196170.KQ,005385.KQ,006360.KS,005830.KS,128940.KS,251270.KS,375500.KS,078930.KS,047810.KS,096530.KQ,019170.KS,138930.KS,285130.KS,204320.KS,010060.KS,042670.KS,035760.KQ,004170.KS,006280.KS,012450.KS,010620.KS,002790.KS,030000.KS,042660.KS,012750.KS,051905.KQ,005940.KS,001450.KS,000120.KS,011210.KS,007070.KS,294870.KS,047040.KS,002380.KS,180640.KS,139130.KS,066575.KQ,069960.KS,023530.KS,241560.KS,000210.KS,000880.KS,001040.KS,006260.KS,008930.KS,047050.KS,004000.KS,000080.KS,282330.KS,088350.KS,004990.KS,009240.KS,029780.KS,084990.KQ,051600.KS,090435.KQ,004370.KS,086900.KQ,036460.KS,026960.KS,034230.KQ,003410.KS,001740.KS,—,007310.KS,181710.KS,00680K.KQ,336370.KS,006405.KQ,005300.KS,000815.KQ,383800.KS,00088K.KQ,097955.KQ,215600,SUM
07/09/2021,16.94,6.05,5.16,4.02,3.75,3.68,3.07,2.7,2.59,2.13,2.08,1.95,1.86,1.71,1.69,1.45,1.4,1.32,1.24,1.21,1.06,1.06,0.97,0.86,0.8,0.77,0.76,0.72,0.67,0.67,0.6,0.56,0.56,0.55,0.53,0.53,0.51,0.47,0.47,0.42,0.42,0.41,0.41,0.4,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.33,0.33,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.02
07/12/2021,16.92,5.97,5.4,4.22,3.75,3.66,3.03,2.7,2.62,2.12,2.09,1.93,1.84,1.64,1.7,1.48,1.38,1.33,1.22,1.19,1.04,1.1,0.96,0.86,0.8,0.77,0.76,0.74,0.66,0.68,0.59,0.55,0.56,0.55,0.51,0.51,0.5,0.47,0.46,0.42,0.39,0.4,0.41,0.4,0.41,0.37,0.36,0.37,0.34,0.35,0.36,0.35,0.35,0.32,0.34,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.28,0.28,0.28,0.26,0.26,0.27,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.25,0.21,0.21,0.21,0.19,0.2,0.19,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.02
07/13/2021,16.92,5.97,5.4,4.22,3.75,3.66,3.03,2.7,2.62,2.12,2.09,1.93,1.84,1.64,1.7,1.48,1.38,1.33,1.22,1.19,1.04,1.1,0.96,0.86,0.8,0.77,0.76,0.74,0.66,0.68,0.59,0.55,0.56,0.55,0.51,0.51,0.5,0.47,0.46,0.42,0.39,0.4,0.41,0.4,0.41,0.37,0.36,0.37,0.34,0.35,0.36,0.35,0.35,0.32,0.34,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.27,0.28,0.28,0.28,0.26,0.26,0.27,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.25,0.21,0.21,0.21,0.19,0.2,0.19,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.02
07/14/2021,17.02,5.95,5.38,4.21,3.68,3.72,3.02,2.71,2.61,2.13,2.11,1.88,1.83,1.65,1.69,1.46,1.41,1.29,1.21,1.18,1.03,1.1,0.97,0.86,0.8,0.76,0.76,0.72,0.66,0.7,0.6,0.58,0.56,0.55,0.51,0.51,0.49,0.5,0.46,0.41,0.4,0.4,0.41,0.4,0.42,0.37,0.36,0.37,0.35,0.35,0.36,0.35,0.35,0.32,0.34,0.3,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.28,0.26,0.26,0.26,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.25,0.21,0.2,0.21,0.19,0.2,0.19,0.18,0.18,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.01,99.99
07/15/2021,16.94,5.92,5.38,4.21,3.72,3.66,3.05,2.69,2.6,2.15,2.13,1.9,1.86,1.63,1.71,1.45,1.4,1.23,1.18,1.18,1.05,1.11,0.99,0.87,0.82,0.77,0.76,0.72,0.66,0.7,0.6,0.56,0.56,0.55,0.52,0.51,0.49,0.49,0.47,0.42,0.41,0.4,0.41,0.39,0.42,0.38,0.36,0.37,0.34,0.35,0.37,0.35,0.35,0.33,0.34,0.31,0.31,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.24,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.01,99.99
07/16/2021,16.81,6.02,5.62,4.15,3.65,3.73,3.02,2.68,2.58,2.14,2.11,1.91,1.86,1.66,1.71,1.45,1.39,1.23,1.16,1.19,1.05,1.09,0.98,0.86,0.83,0.77,0.75,0.72,0.67,0.69,0.6,0.56,0.56,0.55,0.52,0.51,0.49,0.49,0.46,0.41,0.4,0.4,0.4,0.4,0.42,0.37,0.38,0.37,0.34,0.35,0.36,0.36,0.37,0.33,0.33,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.23,0.2,0.21,0.21,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.04
07/19/2021,16.92,6.02,5.7,4.09,3.54,3.71,3.03,2.69,2.6,2.14,2.11,1.89,1.81,1.63,1.72,1.41,1.36,1.27,1.14,1.19,1.06,1.1,0.99,0.85,0.81,0.77,0.76,0.72,0.68,0.68,0.6,0.57,0.56,0.54,0.52,0.51,0.49,0.5,0.46,0.41,0.39,0.39,0.46,0.39,0.42,0.37,0.37,0.38,0.34,0.36,0.36,0.36,0.37,0.33,0.35,0.31,0.32,0.3,0.29,0.31,0.29,0.3,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.23,0.2,0.21,0.21,0.2,0.2,0.19,0.17,0.18,0.16,0.16,0.15,0.17,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.09,0.1,0.11,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.07,0.08,0.08,0.07,0.07,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.01
07/22/2021,16.85,5.89,5.71,4.02,3.6,3.74,3.02,2.71,2.61,2.11,2.07,1.9,1.82,1.62,1.71,1.44,1.33,1.33,1.18,1.18,1.06,1.17,0.98,0.87,0.81,0.76,0.76,0.72,0.68,0.7,0.63,0.55,0.56,0.55,0.51,0.51,0.49,0.51,0.46,0.42,0.38,0.4,0.45,0.39,0.43,0.37,0.39,0.38,0.34,0.36,0.37,0.35,0.37,0.33,0.36,0.3,0.32,0.3,0.29,0.29,0.3,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.2,0.19,0.17,0.18,0.16,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.09,0.1,0.11,0.1,0.08,0.09,0.09,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.06,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.01
07/23/2021,16.85,5.89,5.71,4.02,3.6,3.74,3.02,2.71,2.61,2.11,2.07,1.9,1.82,1.62,1.71,1.44,1.33,1.33,1.18,1.18,1.06,1.17,0.98,0.87,0.81,0.76,0.76,0.72,0.68,0.7,0.63,0.55,0.56,0.55,0.51,0.51,0.49,0.51,0.46,0.42,0.38,0.4,0.45,0.39,0.43,0.37,0.39,0.38,0.34,0.36,0.37,0.35,0.37,0.33,0.36,0.3,0.32,0.3,0.29,0.29,0.3,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.2,0.19,0.17,0.18,0.16,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.1,0.1,0.09,0.1,0.11,0.1,0.08,0.09,0.09,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.06,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.01,100.01
07/26/2021,16.95,5.9,5.65,3.83,3.62,3.7,3.03,2.73,2.67,2.14,2.14,1.92,1.83,1.69,1.71,1.37,1.34,1.27,1.13,1.21,1.1,1.13,0.99,0.86,0.82,0.76,0.79,0.72,0.69,0.66,0.61,0.66,0.56,0.57,0.53,0.51,0.48,0.48,0.47,0.44,0.38,0.4,0.48,0.39,0.4,0.37,0.38,0.37,0.34,0.35,0.36,0.35,0.37,0.33,0.36,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.07,0.17,0.18,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.1,0.11,0.12,0.1,0.1,0.09,0.1,0.11,0.1,0.08,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.11,0.07,0.08,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.01,99.99
