,2SPY  211231C00002970,2SPY  211231P00373890,Cash&Other,2SPY  211231P00340230,2SPY  211231C00429590,SUM
07/09/2021,103.77,1.79,0.39,-1.03,-4.93,99.99
07/12/2021,104.25,1.73,0.39,-1.01,-5.36,100.0
07/13/2021,104.25,1.73,0.39,-1.01,-5.36,100.0
07/14/2021,104.25,1.73,0.39,-1.01,-5.36,100.0
07/15/2021,104.55,1.66,0.38,-0.96,-5.64,99.99
07/16/2021,104.36,1.79,0.38,-1.03,-5.5,100.0
07/19/2021,104.14,1.82,0.37,-1.04,-5.3,99.99
07/20/2021,103.67,2.02,0.37,-1.16,-4.9,100.0
07/21/2021,103.67,2.02,0.37,-1.16,-4.9,100.0
07/22/2021,102.88,2.38,0.37,-1.38,-4.25,100.0
07/23/2021,103.78,2.03,0.37,-1.18,-5.01,99.99
07/26/2021,104.36,1.75,0.36,-1.0,-5.47,100.0
07/27/2021,105.02,1.61,0.36,-0.93,-6.06,100.0
07/28/2021,105.02,1.61,0.36,-0.93,-6.06,100.0
07/29/2021,105.27,1.54,0.35,-0.89,-6.28,99.99
07/30/2021,104.88,1.65,0.36,-0.98,-5.92,99.99
08/02/2021,105.05,1.56,0.35,-0.9,-6.07,99.98999999999998
08/03/2021,104.9,1.61,0.35,-0.92,-5.93,100.01
08/04/2021,104.9,1.61,0.35,-0.92,-5.93,100.01
08/05/2021,104.75,1.66,0.35,-0.96,-5.8,100.0
08/06/2021,105.11,1.53,0.34,-0.88,-6.1,100.0
08/10/2021,105.32,1.33,0.33,-0.76,-6.23,99.98999999999998
08/11/2021,105.32,1.33,0.33,-0.76,-6.23,99.98999999999998
08/13/2021,105.28,1.36,0.33,-0.76,-6.2,100.01
08/16/2021,105.64,1.19,0.32,-0.66,-6.49,100.0
08/17/2021,105.76,1.17,0.32,-0.66,-6.6,99.99
08/18/2021,105.76,1.17,0.32,-0.66,-6.6,99.99
08/19/2021,106.03,1.13,0.31,-0.63,-6.84,100.0
08/20/2021,105.48,1.31,0.31,-0.74,-6.36,100.0
08/23/2021,105.1,1.58,0.31,-0.91,-6.08,100.0
08/24/2021,105.47,1.37,0.3,-0.78,-6.36,100.0
08/25/2021,105.47,1.37,0.3,-0.78,-6.36,100.0
08/26/2021,106.12,1.15,0.3,-0.66,-6.91,100.0
08/27/2021,106.18,1.15,0.3,-0.66,-6.97,100.00000000000001
