,AMD,NVDA,SE,3690.HK,MRVL,QCOM,BILI,GOOG,2330.TW,MSFT,AMZN,FB,TWLO,ESTC,2454.TW,MDB,NOW,NXPI,NFLX,WDAY,PYPL,API,NET,DDOG,700.HK,PDD,SQ,ZS,SPLK,ADYEN.AS,BIDU,SNOW,ZM,COUP,2013.HK,REX,Us Dollars,8083.HK,688101.SS,XLNX,n/a,688617.SS,688001.SS,9618.HK,SUM
07/09/2021,8.74,8.34,7.57,5.63,5.58,5.39,4.4,4.01,3.94,3.78,3.53,3.17,3.08,2.88,2.51,2.32,2.21,2.07,2.03,2.0,1.72,1.65,1.63,1.6,1.53,1.27,1.12,1.09,1.09,1.0,0.83,0.71,0.61,0.34,0.29,0.17,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,8.55,8.36,7.62,5.11,5.64,5.39,3.8,4.16,4.06,3.89,3.87,3.19,3.15,2.99,2.49,2.32,2.32,2.07,2.08,2.05,1.81,1.55,1.73,1.66,1.45,1.2,1.13,1.19,1.1,1.03,0.76,0.77,0.63,0.36,0.26,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,8.55,8.36,7.62,5.11,5.64,5.39,3.8,4.16,4.06,3.89,3.87,3.19,3.15,2.99,2.49,2.32,2.32,2.07,2.08,2.05,1.81,1.55,1.73,1.66,1.45,1.2,1.13,1.19,1.1,1.03,0.76,0.77,0.63,0.36,0.26,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,8.52,8.29,7.74,5.24,5.62,5.42,3.99,4.1,3.96,3.84,3.8,3.18,3.16,3.0,2.44,2.3,2.3,2.08,2.07,2.04,1.81,1.61,1.7,1.65,1.45,1.2,1.14,1.17,1.08,1.03,0.77,0.82,0.62,0.35,0.27,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,8.47,8.44,7.71,5.33,5.63,5.44,3.98,4.11,4.01,3.81,3.78,3.19,3.15,2.94,2.48,2.27,2.27,2.11,2.06,2.0,1.82,1.59,1.67,1.64,1.44,1.19,1.15,1.17,1.05,1.04,0.77,0.81,0.6,0.34,0.27,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,8.4,8.31,7.83,5.5,5.56,5.38,4.09,4.12,4.1,3.85,3.73,3.17,3.11,2.95,2.45,2.26,2.26,2.1,2.07,1.97,1.8,1.61,1.65,1.61,1.49,1.21,1.13,1.16,1.05,1.05,0.78,0.8,0.6,0.34,0.26,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,8.29,7.98,7.68,5.55,5.59,5.52,4.19,4.23,4.27,3.95,3.77,3.18,3.0,2.83,2.59,2.21,2.31,2.05,2.13,1.98,1.82,1.51,1.63,1.61,1.55,1.22,1.13,1.15,1.06,1.08,0.8,0.78,0.58,0.3,0.25,0.0,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,8.28,7.72,7.73,5.62,5.48,5.51,4.19,4.29,4.12,3.99,3.75,3.19,3.1,2.88,2.62,2.22,2.33,2.03,2.1,1.99,1.83,1.53,1.65,1.64,1.57,1.2,1.16,1.17,1.08,1.1,0.79,0.78,0.59,0.29,0.24,0.0,0.08,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,8.28,7.72,7.73,5.62,5.48,5.51,4.19,4.29,4.12,3.99,3.75,3.19,3.1,2.88,2.62,2.22,2.33,2.03,2.1,1.99,1.83,1.53,1.65,1.64,1.57,1.2,1.16,1.17,1.08,1.1,0.79,0.78,0.59,0.29,0.24,0.0,0.08,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,8.28,7.72,7.73,5.62,5.48,5.51,4.19,4.29,4.12,3.99,3.75,3.19,3.1,2.88,2.62,2.22,2.33,2.03,2.1,1.99,1.83,1.53,1.65,1.64,1.57,1.2,1.16,1.17,1.08,1.1,0.79,0.78,0.59,0.29,0.24,0.0,0.08,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.01
