,DE,BAS.DE,BAYN.DE,NTR.TO,CTVA,6326.T,CNHI.MI,F34.SI,IQCD.QA,PCHEM.KL,EVK.DE,YAR.OL,FMC,M&M.NS,TTC,MOS,BG,CF,SMG,AGCO,4005.T,Phosagro OAO,UPL.NS,SITE,"Mitsui Chemicals, Inc.",4021.T,SQM,PIIND.NS,Orbia Advance Corp SAB de CV,BUCN.SW,OCI.AS,COROMANDEL.NS,IPL.AX,BAYERCROP.NS,SDF.DE,SUMICHEM.NS,TATACHEM.NS,ESCORTS.NS,1722.TW,RAVN,CMP,GUBRF.IS,ALG,LNN,1377.T,Chambal Fertilisers and Chemicals Limited,GODREJAGRO.NS,NUF.AX,4996.T,3983.HK,US Dollar,First Tractor Company Limited (Class H),PHOR.ME,4183.T,ORBIA.MX,GUBRF.E.IS,CHAMBLFERT.NS,n/a,38.HK,SUM
07/09/2021,10.34,9.85,9.64,5.75,4.56,4.31,3.83,3.82,3.8,2.7,2.66,2.48,2.39,2.26,2.05,2.0,1.91,1.86,1.79,1.69,1.5,1.45,1.43,1.32,1.22,1.2,1.14,1.05,0.97,0.92,0.9,0.62,0.62,0.59,0.5,0.49,0.45,0.38,0.36,0.36,0.35,0.34,0.31,0.31,0.3,0.29,0.29,0.22,0.18,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,10.27,10.07,9.64,5.92,4.46,4.21,3.81,3.68,3.86,2.65,2.72,2.54,2.39,2.22,2.09,2.08,1.89,1.87,1.76,1.69,1.44,1.44,1.44,1.34,1.15,1.17,1.18,1.05,0.97,0.94,0.93,0.61,0.6,0.58,0.49,0.49,0.45,0.37,0.35,0.36,0.36,0.34,0.3,0.3,0.29,0.29,0.29,0.22,0.17,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,10.27,10.07,9.64,5.92,4.46,4.21,3.81,3.68,3.86,2.65,2.72,2.54,2.39,2.22,2.09,2.08,1.89,1.87,1.76,1.69,1.44,1.44,1.44,1.34,1.15,1.17,1.18,1.05,0.97,0.94,0.93,0.61,0.6,0.58,0.49,0.49,0.45,0.37,0.35,0.36,0.36,0.34,0.3,0.3,0.29,0.29,0.29,0.22,0.17,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,10.18,9.89,9.59,5.75,4.34,4.45,3.69,3.77,3.87,2.7,2.78,2.48,2.37,2.3,2.1,1.95,1.86,1.76,1.77,1.61,1.52,1.46,1.52,1.32,1.18,1.24,1.2,1.14,0.97,0.94,0.89,0.61,0.64,0.63,0.47,0.52,0.47,0.38,0.37,0.37,0.41,0.34,0.3,0.3,0.31,0.3,0.3,0.22,0.18,0.11,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,10.18,9.89,9.59,5.75,4.34,4.45,3.69,3.77,3.87,2.7,2.78,2.48,2.37,2.3,2.1,1.95,1.86,1.76,1.77,1.61,1.52,1.46,1.52,1.32,1.18,1.24,1.2,1.14,0.97,0.94,0.89,0.61,0.64,0.63,0.47,0.52,0.47,0.38,0.37,0.37,0.41,0.34,0.3,0.3,0.31,0.3,0.3,0.22,0.18,0.11,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,10.67,9.88,9.55,5.78,4.41,4.35,3.95,3.56,3.78,2.64,2.8,2.45,2.39,2.15,2.11,2.05,1.9,1.75,1.71,1.72,1.48,1.41,1.44,1.34,1.12,1.21,1.17,1.04,0.99,0.99,0.89,0.63,0.66,0.6,0.48,0.49,0.45,0.37,0.36,0.36,0.4,0.34,0.3,0.3,0.29,0.3,0.31,0.21,0.18,0.1,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,10.67,9.88,9.55,5.78,4.41,4.35,3.95,3.56,3.78,2.64,2.8,2.45,2.39,2.15,2.11,2.05,1.9,1.75,1.71,1.72,1.48,1.41,1.44,1.34,1.12,1.21,1.17,1.04,0.99,0.99,0.89,0.63,0.66,0.6,0.48,0.49,0.45,0.37,0.36,0.36,0.4,0.34,0.3,0.3,0.29,0.3,0.31,0.21,0.18,0.1,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,10.52,9.88,9.58,5.77,4.38,4.5,3.91,3.52,3.78,2.64,2.82,2.42,2.38,2.2,2.1,1.97,1.88,1.71,1.68,1.69,1.53,1.4,1.41,1.31,1.17,1.24,1.17,1.17,1.02,0.98,0.88,0.62,0.68,0.61,0.47,0.5,0.46,0.38,0.37,0.36,0.4,0.35,0.3,0.3,0.3,0.3,0.31,0.21,0.18,0.1,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,11.38,9.57,8.92,5.88,4.58,4.41,3.86,3.39,3.7,2.73,2.69,2.32,2.11,2.19,2.02,2.09,1.88,1.67,1.52,1.78,1.48,0.0,1.35,1.54,0.0,1.45,1.32,1.22,0.0,0.93,0.9,0.55,0.67,0.58,0.48,0.49,0.5,0.42,0.34,0.36,0.4,0.0,0.31,0.3,0.29,0.0,0.29,0.22,0.19,0.09,0.0,0.0,1.44,1.23,1.06,0.37,0.31,0.2,0.04,100.01
09/10/2021,10.95,9.68,8.94,6.02,4.56,4.63,3.84,3.45,3.7,2.68,2.7,2.21,2.13,2.2,1.98,2.11,1.88,1.71,1.5,1.75,1.51,0.0,1.35,1.54,0.0,1.49,1.3,1.2,0.0,0.93,0.9,0.54,0.67,0.57,0.48,0.48,0.49,0.44,0.34,0.36,0.4,0.0,0.31,0.3,0.29,0.0,0.3,0.21,0.19,0.1,0.0,0.0,1.5,1.25,1.03,0.37,0.3,0.14,0.05,99.95
