,IXJ,NOVO B.CO,TMO,DHR,EW,ISRG,ABT,PFE,JNJ,BNTX,REGN,7741.T,VRTX,A,SGEN,WST,n/a,LH,4519.T,WAT,BIO,PKI,COO,HOLX,DGX,ERF.PA,DIM.PA,QGEN,FPH.NZ,1093.HK,BRKR,GMED,CRSP,TECN.SW,1177.HK,4528.T,EHC,BPMC,CPRX,HALO,INDV.L,IPN.PA,INVA,IRWD,QDEL,PINC,BIM.PA,7071.T,512.HK,SAGE,4553.T,867.HK,7716.T,3613.HK,VIVO,LMAT,ATRS,FLGT,PCRX,INMD,ROVI.MC,4934.T,QURE,4516.T,4974.T,4694.T,ABCL,6849.T,VITR.ST,4544.T,4549.T,ORGO,SUM
10/15/2021,8.94,5.35,5.06,5.02,5.02,4.99,4.98,4.97,4.96,4.07,3.83,3.36,3.17,2.99,2.03,1.95,1.85,1.81,1.38,1.34,1.25,1.25,1.24,1.17,1.11,1.03,0.89,0.81,0.79,0.64,0.53,0.5,0.5,0.48,0.48,0.45,0.45,0.35,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.19,100.01
10/18/2021,8.82,5.39,4.94,4.95,5.01,4.96,4.85,4.81,4.9,4.07,3.8,3.27,3.11,3.0,2.04,1.92,3.06,1.77,1.36,1.33,1.23,1.23,1.2,1.14,1.1,1.04,0.93,0.8,0.78,0.62,0.52,0.5,0.46,0.5,0.47,0.44,0.43,0.35,0.33,0.35,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.27,0.25,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.24,0.22,0.21,0.2,99.98999999999998
10/19/2021,8.85,5.47,4.97,4.95,5.03,4.95,4.84,4.78,4.92,4.02,3.78,3.35,3.1,3.01,2.06,1.9,3.05,1.74,1.36,1.32,1.23,1.23,1.19,1.13,1.09,1.02,0.93,0.79,0.78,0.6,0.53,0.49,0.46,0.5,0.47,0.44,0.43,0.34,0.32,0.34,0.32,0.3,0.29,0.3,0.27,0.29,0.29,0.3,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.25,0.27,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.25,0.22,0.22,0.19,99.99
10/20/2021,8.85,5.47,4.97,4.95,5.03,4.95,4.84,4.78,4.92,4.02,3.78,3.35,3.1,3.01,2.06,1.9,3.05,1.74,1.36,1.32,1.23,1.23,1.19,1.13,1.09,1.02,0.93,0.79,0.78,0.6,0.53,0.49,0.46,0.5,0.47,0.44,0.43,0.34,0.32,0.34,0.32,0.3,0.29,0.3,0.27,0.29,0.29,0.3,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.25,0.27,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.25,0.22,0.22,0.19,99.99
10/21/2021,8.78,5.54,5.01,4.99,4.97,4.96,4.81,4.76,4.88,4.23,3.71,3.29,3.08,3.04,2.05,1.92,3.05,1.75,1.33,1.33,1.24,1.23,1.18,1.13,1.1,1.03,0.93,0.8,0.78,0.59,0.53,0.49,0.45,0.5,0.47,0.43,0.44,0.34,0.32,0.33,0.32,0.3,0.28,0.29,0.27,0.29,0.3,0.29,0.28,0.26,0.26,0.26,0.27,0.26,0.24,0.25,0.26,0.24,0.25,0.27,0.25,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.25,0.22,0.22,0.19,99.96
10/22/2021,8.76,5.5,4.97,4.99,5.07,4.94,4.84,4.77,4.92,4.2,3.71,3.38,3.11,3.01,2.05,1.93,3.0,1.74,1.33,1.32,1.23,1.23,1.18,1.13,1.1,1.03,0.92,0.79,0.79,0.62,0.52,0.49,0.46,0.5,0.47,0.43,0.43,0.34,0.32,0.34,0.31,0.3,0.28,0.29,0.27,0.28,0.3,0.29,0.28,0.24,0.26,0.26,0.27,0.26,0.24,0.25,0.26,0.24,0.24,0.27,0.25,0.25,0.22,0.23,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.19,99.98
10/25/2021,8.77,5.42,5.05,4.96,5.04,4.93,5.0,4.8,4.85,4.51,3.78,3.22,3.1,2.99,2.02,1.93,2.97,1.74,1.28,1.35,1.26,1.24,1.19,1.16,1.09,0.95,0.93,0.8,0.78,0.58,0.52,0.49,0.44,0.5,0.46,0.42,0.44,0.33,0.31,0.34,0.31,0.29,0.28,0.28,0.28,0.28,0.31,0.28,0.27,0.24,0.27,0.25,0.26,0.25,0.24,0.25,0.26,0.25,0.24,0.26,0.26,0.24,0.21,0.23,0.23,0.22,0.24,0.23,0.25,0.22,0.22,0.18,100.02
10/26/2021,8.97,5.59,4.78,4.76,4.77,4.76,4.79,4.79,4.73,4.46,3.87,3.35,3.1,3.07,2.03,1.96,3.02,1.79,1.3,1.38,1.27,1.27,1.23,1.18,1.11,0.96,0.94,0.82,0.8,0.59,0.53,0.51,0.44,0.51,0.47,0.44,0.45,0.35,0.3,0.34,0.32,0.3,0.28,0.28,0.28,0.29,0.31,0.28,0.27,0.24,0.28,0.26,0.26,0.26,0.25,0.25,0.27,0.25,0.24,0.27,0.27,0.24,0.22,0.23,0.23,0.22,0.24,0.23,0.26,0.22,0.22,0.18,99.98
10/27/2021,8.97,5.59,4.78,4.76,4.77,4.76,4.79,4.79,4.73,4.46,3.87,3.35,3.1,3.07,2.03,1.96,3.02,1.79,1.3,1.38,1.27,1.27,1.23,1.18,1.11,0.96,0.94,0.82,0.8,0.59,0.53,0.51,0.44,0.51,0.47,0.44,0.45,0.35,0.3,0.34,0.32,0.3,0.28,0.28,0.28,0.29,0.31,0.28,0.27,0.24,0.28,0.26,0.26,0.26,0.25,0.25,0.27,0.25,0.24,0.27,0.27,0.24,0.22,0.23,0.23,0.22,0.24,0.23,0.26,0.22,0.22,0.18,99.98
10/28/2021,8.97,5.59,4.78,4.76,4.77,4.76,4.79,4.79,4.73,4.46,3.87,3.35,3.1,3.07,2.03,1.96,3.02,1.79,1.3,1.38,1.27,1.27,1.23,1.18,1.11,0.96,0.94,0.82,0.8,0.59,0.53,0.51,0.44,0.51,0.47,0.44,0.45,0.35,0.3,0.34,0.32,0.3,0.28,0.28,0.28,0.29,0.31,0.28,0.27,0.24,0.28,0.26,0.26,0.26,0.25,0.25,0.27,0.25,0.24,0.27,0.27,0.24,0.22,0.23,0.23,0.22,0.24,0.23,0.26,0.22,0.22,0.18,99.98
