,QQQ,SQ,LMND,Lmnd Us 01/21/22 C110,COIN,PYPL,SHOP,MELI,PDD,Lmnd Us 01/20/23 C190,Lmnd Us 01/21/22 C190,Sq Us 01/20/23 C350,Ndx Us 03/18/22 P7000,Sq Us 01/21/22 C350,Option on Invesco QQQ Trust Jun22,Ndx Us 12/17/21 P4000,Dreyfus Trsy Oblig Cash M,Ndx Us 09/17/21 P7000,Sq Us 09/17/21 C390,Lmnd Us 09/17/21 C260,Lmnd Us 06/18/21 C190,Ndx Us 06/18/21 P5500,Sq Us 06/18/21 C350,Ndx Us 06/18/21 P5000,UPST,AFRM,TOST,MARA,UPST 01/21/22 C260 Equity,HOOD,Z,LSPD.TO,AAPL,AMZN,FB,FVRR,GOOG,ADYEY,Z 01/21/22 C125 Equity,n/a,QQQ 12/16/22 P170 Equity,NDX 09/16/22 P7000 Index,LMND 01/20/23 C190 Equity,LMND 01/21/22 C190 Equity,QQQ 06/17/22 P100 Equity,NDX 03/18/22 P7000 Index,QQQ 10/13/21 P345 Equity,NDX 12/17/21 P4000 Index,QQQ 10/20/21 P352 Equity,QQQ 10/27/21 P365 Equity,QQQ 11/03/21 P370 Equity,SUM
07/09/2021,35.23,16.06,11.07,8.3,5.92,5.41,5.08,3.8,2.5,1.74,1.7,1.53,0.43,0.37,0.29,0.2,0.11,0.11,0.07,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/14/2021,0.0,10.82,1.63,0.0,2.41,4.33,3.84,3.59,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22,8.09,7.93,5.57,5.08,4.58,4.15,3.58,2.69,2.6,2.52,1.99,1.93,1.9,0.69,0.47,0.47,0.46,0.36,0.23,0.14,0.08,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/15/2021,0.0,10.77,1.61,0.0,2.28,4.23,3.74,3.5,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,8.2,7.65,5.16,6.08,4.3,4.14,3.58,2.6,2.53,2.44,1.99,1.85,1.86,0.87,0.37,0.45,0.42,0.37,0.22,0.12,0.07,0.0,0.0,0.08,0.0,0.0,99.98
10/18/2021,0.0,10.35,1.58,0.0,2.19,4.06,3.58,3.37,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,7.99,7.82,5.08,7.93,4.0,3.96,3.63,2.44,2.38,2.29,1.93,1.77,1.88,0.94,0.34,0.33,0.31,0.39,0.03,0.1,0.05,0.0,0.0,0.01,0.0,0.0,100.01
10/19/2021,0.0,10.35,1.58,0.0,2.19,4.06,3.58,3.37,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,7.99,7.82,5.08,7.93,4.0,3.96,3.63,2.44,2.38,2.29,1.93,1.77,1.88,0.94,0.34,0.33,0.31,0.39,0.03,0.1,0.05,0.0,0.0,0.01,0.0,0.0,100.01
10/20/2021,0.0,10.35,1.58,0.0,2.19,4.06,3.58,3.37,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,7.99,7.82,5.08,7.93,4.0,3.96,3.63,2.44,2.38,2.29,1.93,1.77,1.88,0.94,0.34,0.33,0.31,0.39,0.03,0.1,0.05,0.0,0.0,0.01,0.0,0.0,100.01
10/21/2021,0.0,10.43,1.54,0.0,2.44,4.07,3.68,3.48,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.74,8.36,7.05,5.92,8.08,3.93,3.52,3.49,2.45,2.45,2.31,1.98,1.76,1.86,0.42,0.33,0.33,0.31,0.38,0.03,0.1,0.05,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/22/2021,0.0,10.58,8.54,0.0,3.59,4.11,3.76,3.49,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,8.08,7.24,5.72,0.0,4.05,3.61,3.58,2.5,2.46,2.35,2.0,1.78,1.92,0.45,-0.64,0.32,0.3,0.38,0.03,0.09,0.04,0.0,0.0,0.0,0.04,0.0,99.97
10/25/2021,0.0,11.1,8.71,0.0,3.55,3.71,4.82,3.5,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,8.15,7.12,5.45,0.0,4.04,3.82,3.71,2.54,2.48,2.38,1.91,1.78,1.94,0.57,-0.64,0.32,0.3,0.39,0.03,0.1,0.04,0.0,0.0,0.0,0.02,0.0,100.0
10/26/2021,0.0,11.1,8.71,0.0,3.55,3.71,4.82,3.5,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,8.15,7.12,5.45,0.0,4.04,3.82,3.71,2.54,2.48,2.38,1.91,1.78,1.94,0.57,-0.64,0.32,0.3,0.39,0.03,0.1,0.04,0.0,0.0,0.0,0.02,0.0,100.0
