,TXN,EXPD,SSTK,GOOGL,TYL,DLTR,ORCL,LSTR,DG,AMGN,JNJ,RSG,ADBE,EA,PG,VZ,MSFT,ATVI,LLY,GILD,EQC,TMUS,CHRW,MRK,ERIE,AAPL,TTWO,HRL,HSTM,WMT,FLO,AMZN,CTXS,VEEV,NEM,HLI,SHEN,COST,CDNS,SCI,AWK,DHR,BR,REGN,ENTA,ACN,WMK,DPZ,CABO,CME,CWEN.A,PFE,MMS,CLBK,SMCI,TMX,BKI,WABC,ALTR,INTU,DOX,ZS,JKHY,T,NEU,BAX,CL,HTLD,REX,GGG,CHD,CHTR,WM,FAST,HONE,CWEN,TGT,CSCO,BMY,LBRDA,WEC,FB,BDX,CMS,JBSS,ATRI,ATNI,AWR,ATR,WSBF,NEE,MUSA,CERN,MODV,SJW,ES,XEL,CDZI,LBRDK,NPK,BCPC,RGLD,PRK,MSTR,TTC,CLX,LANC,NHC,ZTS,AMSF,LAWS,AEE,SGEN,BFC,AMSWA,LAKE,TR,SPOK,AKRO,LKFN,NRC,CGNT,EBC,NLOK,CORT,ICE,LNN,AMPH,EVER,VRTX,ATEX,VTRS,STFC,VRNT,CHG.BK,4338.SR,MMC,MIC,DUK,CBB,HSY,ITW,PNM,WORK,AJG,ADI,LNG,DLB,WMB,D,OGN,VMEO,MSI,SUM
07/09/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,1.81,1.77,1.68,1.68,1.61,1.61,1.6,1.6,1.59,1.59,1.57,1.57,1.55,1.55,1.55,1.54,1.51,1.5,1.49,1.48,1.47,1.47,1.47,1.44,1.42,1.42,1.4,1.39,1.39,1.38,1.38,1.34,1.34,1.33,1.32,1.31,1.3,1.29,1.25,1.22,1.15,1.14,1.11,1.1,1.04,1.0,0.99,0.95,0.94,0.91,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.84,0.82,0.8,0.7,0.69,0.69,0.67,0.67,0.65,0.63,0.61,0.61,0.59,0.59,0.56,0.56,0.5,0.5,0.49,0.47,0.47,0.45,0.43,0.41,0.39,0.37,0.36,0.36,0.35,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.23,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
