,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,NVDA,V,ADBE,CRM,PYPL,MA,CSCO,ORCL,ACN,IBM,NOW,AVGO,INTC,INTU,AMD,QCOM,TXN,XTSLA,NFLX,SQ,ADP,ADSK,MU,AMAT,SNAP,DOCU,TWLO,CRWD,FIS,ZM,SPGI,FISV,BKNG,WDAY,VEEV,UBER,LRCX,MELI,MRVL,TWTR,FTNT,PANW,SNPS,EBAY,CME,OKTA,ICE,CDNS,ATVI,GPN,MSCI,CTSH,XLNX,ADI,HUBS,TTD,ROKU,SPLK,KLAC,EA,WORK,MTCH,HPQ,PAYX,CSGP,INFO,ANSS,MCO,MCHP,ANET,PINS,COUP,NTAP,DDOG,MXIM,NET,VRSN,EPAM,SWKS,ZS,ZBRA,RNG,IT,DELL,CDW,MMC,MSI,AKAM,HPE,MDB,ALGN,PTC,PAYC,ETSY,EFX,WDC,PTON,CTXS,KEYS,AON,STX,JPM,NLOK,CDAY,TRU,TDOC,IQV,FDX,DT,EQIX,FIVN,DLR,TER,NUAN,QRVO,TYL,ZEN,FFIV,VMW,FICO,FLT,VRSK,ENPH,CRL,CVNA,TRMB,EXPE,AVLR,DXC,CERN,OMC,SMAR,MPWR,BR,CHGG,A,MANH,BL,DBX,IPG,SSNC,PFPT,JNPR,NDAQ,ESTC,PCTY,TTWO,JKHY,GDDY,WLTW,ON,ZTS,BBY,IAC,SCHW,APPN,CPRT,EXPD,CREE,Z,VRNS,CGNX,FDS,NTNX,CBRE,BX,SAIL,AYX,LHX,EVBG,RPD,CIEN,GRMN,LSCC,AZPN,MTD,ROP,MKTX,SEDG,AXON,GWRE,PLAN,TXG,JCOM,FLEX,QTWO,SLAB,G,PEGA,BKI,ROK,BAH,IRM,CBOE,RUN,ZNGA,DFS,ACIW,127.HK,USD,RHI,FSLY,JLL,NEWR,NATI,ALLE,TDC,TW,UPWK,WK,AVTR,SPSC,MSTR,SYNA,BISXX,WOLF,n/a,QLYS,SUM
07/09/2021,15.73,11.78,6.59,6.06,4.92,4.87,3.76,2.18,2.1,1.8,1.71,1.67,1.51,1.27,1.08,0.92,0.88,0.86,0.85,0.71,0.69,0.67,0.67,0.56,0.48,0.47,0.45,0.44,0.44,0.42,0.42,0.4,0.39,0.39,0.38,0.36,0.35,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
07/12/2021,15.81,11.95,6.73,5.97,4.91,4.87,3.64,2.17,2.15,1.77,1.73,1.65,1.52,1.32,1.09,0.94,0.88,0.86,0.84,0.72,0.66,0.66,0.66,0.56,0.47,0.46,0.45,0.44,0.42,0.41,0.38,0.4,0.38,0.39,0.37,0.35,0.36,0.33,0.32,0.32,0.31,0.29,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.25,0.25,0.25,0.24,0.23,0.22,0.24,0.24,0.2,0.22,0.22,0.22,0.2,0.18,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.08
07/13/2021,15.81,11.95,6.73,5.97,4.91,4.87,3.64,2.17,2.15,1.77,1.73,1.65,1.52,1.32,1.09,0.94,0.88,0.86,0.84,0.72,0.66,0.66,0.66,0.56,0.47,0.46,0.45,0.44,0.42,0.41,0.38,0.4,0.38,0.39,0.37,0.35,0.36,0.33,0.32,0.32,0.31,0.29,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.25,0.25,0.25,0.24,0.23,0.22,0.24,0.24,0.2,0.22,0.22,0.22,0.2,0.18,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.08
07/14/2021,15.71,12.01,6.65,6.0,4.89,4.85,3.63,2.17,2.13,1.76,1.75,1.65,1.53,1.34,1.1,0.94,0.89,0.87,0.84,0.72,0.66,0.67,0.66,0.57,0.47,0.46,0.46,0.44,0.43,0.41,0.4,0.4,0.39,0.38,0.37,0.34,0.35,0.34,0.32,0.32,0.31,0.3,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.24,0.24,0.2,0.22,0.22,0.22,0.2,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.04,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1
07/15/2021,15.71,12.01,6.65,6.0,4.89,4.85,3.63,2.17,2.13,1.76,1.75,1.65,1.53,1.34,1.1,0.94,0.89,0.87,0.84,0.72,0.66,0.67,0.66,0.57,0.47,0.46,0.46,0.44,0.43,0.41,0.4,0.4,0.39,0.38,0.37,0.34,0.35,0.34,0.32,0.32,0.31,0.3,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.24,0.24,0.2,0.22,0.22,0.22,0.2,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.04,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1
07/16/2021,15.86,12.04,6.57,6.02,4.95,4.89,3.66,2.2,2.13,1.75,1.75,1.7,1.51,1.33,1.1,0.93,0.87,0.87,0.85,0.72,0.66,0.67,0.66,0.55,0.47,0.46,0.45,0.44,0.43,0.42,0.39,0.39,0.39,0.38,0.38,0.34,0.35,0.34,0.32,0.31,0.3,0.29,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.24,0.23,0.2,0.22,0.21,0.22,0.2,0.18,0.19,0.19,0.18,0.18,0.16,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.04000000000002
07/19/2021,15.97,12.36,6.53,5.93,4.97,4.94,3.46,2.27,2.14,1.71,1.74,1.74,1.53,1.32,1.11,0.94,0.88,0.87,0.84,0.72,0.64,0.68,0.66,0.56,0.48,0.45,0.46,0.44,0.42,0.41,0.37,0.39,0.37,0.36,0.39,0.32,0.35,0.34,0.32,0.31,0.3,0.28,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.19,0.22,0.2,0.21,0.19,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.16,0.16,0.14,0.13,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.12,0.14,0.12,0.12,0.11,0.13,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.11,0.1,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
07/20/2021,15.97,12.36,6.53,5.93,4.97,4.94,3.46,2.27,2.14,1.71,1.74,1.74,1.53,1.32,1.11,0.94,0.88,0.87,0.84,0.72,0.64,0.68,0.66,0.56,0.48,0.45,0.46,0.44,0.42,0.41,0.37,0.39,0.37,0.36,0.39,0.32,0.35,0.34,0.32,0.31,0.3,0.28,0.31,0.31,0.29,0.28,0.29,0.28,0.28,0.26,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.19,0.22,0.2,0.21,0.19,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.16,0.16,0.14,0.13,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.12,0.14,0.12,0.12,0.11,0.13,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.11,0.1,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
07/21/2021,16.06,12.27,6.47,5.92,5.0,4.99,3.33,2.28,2.16,1.73,1.74,1.74,1.54,1.35,1.11,0.93,0.88,0.86,0.84,0.72,0.63,0.67,0.66,0.56,0.47,0.46,0.46,0.44,0.41,0.4,0.36,0.4,0.38,0.37,0.39,0.33,0.36,0.35,0.32,0.31,0.3,0.28,0.3,0.31,0.28,0.27,0.3,0.28,0.28,0.26,0.26,0.24,0.25,0.24,0.23,0.23,0.24,0.24,0.19,0.21,0.2,0.2,0.19,0.18,0.18,0.19,0.19,0.18,0.16,0.18,0.19,0.18,0.18,0.18,0.15,0.16,0.14,0.13,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.14,0.12,0.12,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.07,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13
07/22/2021,16.04,12.07,6.5,5.91,4.97,4.95,3.48,2.24,2.17,1.74,1.76,1.66,1.54,1.36,1.11,0.94,0.89,0.86,0.84,0.73,0.65,0.68,0.66,0.57,0.48,0.46,0.46,0.44,0.42,0.4,0.37,0.41,0.38,0.37,0.38,0.32,0.36,0.34,0.31,0.31,0.31,0.28,0.3,0.31,0.29,0.28,0.3,0.28,0.28,0.27,0.25,0.25,0.25,0.25,0.23,0.22,0.24,0.23,0.2,0.21,0.2,0.21,0.2,0.18,0.18,0.19,0.19,0.17,0.17,0.18,0.19,0.18,0.17,0.18,0.15,0.16,0.14,0.13,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.08,0.09,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11
