,NFRA,GUNR,FlexShares Glbl Quality Real Estate ETF,Cash,GQRE,n/a,SUM
07/09/2021,49.47,37.43,13.08,0.02,0.0,0.0,100.0
07/12/2021,49.78,36.99,13.21,0.02,0.0,0.0,100.0
07/13/2021,49.78,36.99,13.21,0.02,0.0,0.0,100.0
07/14/2021,49.56,37.11,13.31,0.02,0.0,0.0,100.0
07/15/2021,49.5,37.07,13.41,0.02,0.0,0.0,100.0
07/16/2021,49.51,37.15,13.33,0.01,0.0,0.0,100.0
07/19/2021,49.6,36.95,13.44,0.01,0.0,0.0,100.0
07/20/2021,49.6,36.95,13.44,0.01,0.0,0.0,100.0
07/21/2021,49.97,36.5,13.52,0.02,0.0,0.0,100.01
07/22/2021,49.97,36.5,13.52,0.02,0.0,0.0,100.01
07/23/2021,50.12,36.3,13.56,0.02,0.0,0.0,100.0
07/26/2021,49.92,36.56,13.5,0.02,0.0,0.0,100.0
07/27/2021,49.92,36.56,13.5,0.02,0.0,0.0,100.0
07/28/2021,50.05,36.39,13.55,0.02,0.0,0.0,100.01
07/29/2021,49.75,36.76,13.47,0.02,0.0,0.0,100.0
07/30/2021,49.89,36.57,13.52,0.02,0.0,0.0,100.0
08/02/2021,49.7,36.81,13.48,0.02,0.0,0.0,100.01
08/03/2021,49.7,36.81,13.48,0.02,0.0,0.0,100.01
08/04/2021,49.7,36.81,13.48,0.02,0.0,0.0,100.01
08/05/2021,49.7,36.81,13.48,0.02,0.0,0.0,100.01
08/06/2021,49.5,37.11,13.37,0.02,0.0,0.0,100.0
09/07/2021,50.19,36.15,0.0,0.0,13.65,0.01,100.0
09/08/2021,50.19,36.15,0.0,0.0,13.65,0.01,100.0
09/09/2021,50.13,36.2,0.0,0.0,13.66,0.01,100.0
09/10/2021,50.21,36.19,0.0,0.0,13.6,0.01,100.01
09/13/2021,50.38,36.06,0.0,0.0,13.56,0.01,100.01
09/14/2021,50.38,36.06,0.0,0.0,13.56,0.01,100.01
09/15/2021,50.14,36.34,0.0,0.0,13.52,0.01,100.01
09/16/2021,50.14,36.34,0.0,0.0,13.52,0.01,100.01
09/17/2021,50.11,36.32,0.0,0.0,13.56,0.01,100.0
09/20/2021,49.97,36.43,0.0,0.0,13.58,0.01,99.99
09/21/2021,49.97,36.43,0.0,0.0,13.58,0.01,99.99
09/22/2021,49.97,36.43,0.0,0.0,13.58,0.01,99.99
09/23/2021,49.97,36.43,0.0,0.0,13.58,0.01,99.99
09/24/2021,50.5,35.78,0.0,0.0,13.7,0.01,99.99
09/27/2021,50.17,36.11,0.0,0.0,13.71,0.0,99.99
09/28/2021,49.97,36.37,0.0,0.0,13.63,0.03,100.0
09/29/2021,49.93,36.48,0.0,0.0,13.56,0.03,100.0
09/30/2021,49.56,36.95,0.0,0.0,13.49,0.0,100.0
10/01/2021,49.05,36.67,0.0,0.0,13.32,0.97,100.01
10/04/2021,49.54,36.93,0.0,0.0,13.48,0.05,100.0
10/05/2021,49.47,37.08,0.0,0.0,13.41,0.05,100.01
10/06/2021,49.37,37.21,0.0,0.0,13.38,0.05,100.01
10/07/2021,49.37,37.21,0.0,0.0,13.38,0.05,100.01
10/08/2021,49.3,37.29,0.0,0.0,13.37,0.05,100.01
10/11/2021,49.03,37.54,0.0,0.0,13.38,0.05,100.0
10/12/2021,49.03,37.54,0.0,0.0,13.38,0.05,100.0
10/13/2021,49.03,37.54,0.0,0.0,13.38,0.05,100.0
10/14/2021,48.35,38.24,0.0,0.0,13.37,0.05,100.01
10/15/2021,48.35,38.24,0.0,0.0,13.37,0.05,100.01
10/18/2021,48.31,38.12,0.0,0.0,13.53,0.04,100.0
10/19/2021,48.31,38.12,0.0,0.0,13.53,0.04,100.0
10/20/2021,48.31,38.12,0.0,0.0,13.53,0.04,100.0
10/21/2021,48.3,38.16,0.0,0.0,13.5,0.04,100.0
10/22/2021,48.37,38.16,0.0,0.0,13.44,0.04,100.01
10/25/2021,48.56,37.96,0.0,0.0,13.45,0.04,100.01000000000002
10/26/2021,48.82,37.61,0.0,0.0,13.53,0.04,100.0
10/27/2021,48.82,37.61,0.0,0.0,13.53,0.04,100.0
10/28/2021,48.52,37.91,0.0,0.0,13.53,0.04,100.0
10/29/2021,48.52,37.91,0.0,0.0,13.53,0.04,100.0
11/01/2021,48.81,37.48,0.0,0.0,13.66,0.04,99.99
11/02/2021,48.81,37.48,0.0,0.0,13.66,0.04,99.99
11/03/2021,48.82,37.47,0.0,0.0,13.68,0.04,100.01
11/04/2021,48.82,37.47,0.0,0.0,13.68,0.04,100.01
11/05/2021,50.13,20.36,0.0,0.0,29.47,0.04,100.0
11/08/2021,50.02,20.36,0.0,0.0,29.58,0.04,100.0
11/09/2021,50.02,20.36,0.0,0.0,29.58,0.04,100.0
11/10/2021,49.95,20.39,0.0,0.0,29.62,0.04,100.0
11/11/2021,49.95,20.39,0.0,0.0,29.62,0.04,100.0
11/12/2021,49.84,20.59,0.0,0.0,29.53,0.04,100.0
11/15/2021,49.67,20.74,0.0,0.0,29.56,0.03,100.0
11/16/2021,49.67,20.74,0.0,0.0,29.56,0.03,100.0
11/17/2021,49.67,20.74,0.0,0.0,29.56,0.03,100.0
11/18/2021,49.73,20.73,0.0,0.0,29.5,0.03,99.99
11/19/2021,49.68,20.71,0.0,0.0,29.58,0.03,100.0
11/22/2021,49.7,20.7,0.0,0.0,29.56,0.03,99.99
11/23/2021,49.7,20.7,0.0,0.0,29.56,0.03,99.99
11/24/2021,49.72,20.4,0.0,0.0,29.85,0.03,100.0
11/25/2021,49.65,20.5,0.0,0.0,29.81,0.03,99.99
11/26/2021,49.53,20.65,0.0,0.0,29.78,0.03,99.99
11/29/2021,49.45,20.6,0.0,0.0,29.92,0.03,100.0
11/30/2021,49.45,20.6,0.0,0.0,29.92,0.03,100.0
12/01/2021,49.76,20.39,0.0,0.0,29.82,0.03,100.0
12/02/2021,49.61,20.49,0.0,0.0,29.87,0.03,100.0
12/06/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/07/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/08/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/09/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/10/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/13/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/14/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/15/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/16/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/17/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/20/2021,49.4,20.59,0.0,0.0,29.98,0.03,100.0
12/21/2021,49.35,20.58,0.0,0.0,30.04,0.03,100.0
12/22/2021,49.35,20.52,0.0,0.0,30.1,0.03,100.0
12/23/2021,49.45,20.47,0.0,0.0,30.05,0.03,100.0
12/24/2021,49.27,20.7,0.0,0.0,30.02,0.0,99.99
12/27/2021,49.24,20.76,0.0,0.0,30.0,0.0,100.0
12/28/2021,49.24,20.76,0.0,0.0,30.0,0.0,100.0
12/29/2021,49.24,20.83,0.0,0.0,29.89,0.04,100.0
12/30/2021,49.24,20.83,0.0,0.0,29.89,0.04,100.0
12/31/2021,48.52,20.6,0.0,0.0,29.8,1.07,99.99
01/03/2022,49.0,20.64,0.0,0.0,30.34,0.01,99.99
01/03/2022,49.0,20.64,0.0,0.0,30.34,0.01,99.99
01/03/2022,49.0,20.64,0.0,0.0,30.34,0.01,99.99
01/04/2022,49.0,20.64,0.0,0.0,30.34,0.01,99.99
01/05/2022,49.0,20.64,0.0,0.0,30.34,0.01,99.99
01/06/2022,49.0,20.64,0.0,0.0,30.34,0.01,99.99
01/07/2022,48.84,20.97,0.0,0.0,30.13,0.06,100.0
01/10/2022,48.98,21.18,0.0,0.0,29.84,0.0,100.0
01/11/2022,48.98,21.18,0.0,0.0,29.84,0.0,100.0
01/12/2022,49.01,21.43,0.0,0.0,29.55,0.0,99.99
01/13/2022,48.95,21.49,0.0,0.0,29.56,0.0,100.0
