,PLD,EQIX,AVB,PSA,PEAK,ARE,GRT.UN.TO,MAA,DRE,ME8U.SI,3283.T,CPT,INVH,3281.T,WELL,SGRO.L,REG,SUI,CONE,CUBE,808.HK,MGR.AX,3466.T,AMH,EGP,FR,BBOX.L,DXS.AX,COR,3471.T,NSI.AS,REXR,TRNO,IIPR,LMP.L,LXP,JBGS,8967.T,HR,BYG.L,UTG.L,BNL,APLE,EQC,O5RU.SI,SCP.AX,ADC,3249.T,SAFE.L,SK6U.SI,NSR.AX,DIGS.L,GMT.NZ,HTA,FGXXX,CQR.AX,BWP.AX,ALEX,DEA,AIV,UHT,SGP.AX,PSB,ARF.AX,IHR.L,CQE.AX,CIP.AX,PCTN.L,STAG,SHB.L,SLI.L,BCPT.L,ELS,DXI.AX,MNR,BREI.L,DOC,THRL.L,SPG.NZ,CREI.L,HDN.AX,LXI.L,CHCT,2979.T,n/a,SUM
12/22/2021,11.46,8.7,7.1,6.59,5.36,4.03,3.93,3.34,2.86,2.75,2.68,2.45,2.45,2.4,2.39,1.9,1.86,1.84,1.64,1.31,1.29,1.1,1.09,1.05,1.0,0.98,0.96,0.94,0.89,0.85,0.82,0.78,0.66,0.64,0.64,0.63,0.5,0.47,0.47,0.46,0.43,0.39,0.38,0.35,0.33,0.31,0.31,0.3,0.28,0.26,0.22,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.16,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.0,0.0,100.01
12/23/2021,11.4,8.75,7.02,6.68,5.42,4.03,3.87,3.3,2.87,2.72,2.73,2.43,2.46,2.45,2.32,1.91,1.84,1.86,1.65,1.35,1.29,1.11,1.1,1.05,0.99,0.98,0.95,0.93,0.89,0.87,0.81,0.79,0.66,0.64,0.64,0.62,0.51,0.48,0.46,0.46,0.43,0.37,0.38,0.35,0.33,0.31,0.31,0.3,0.28,0.27,0.22,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.16,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.0,0.0,100.01
12/29/2021,11.86,9.07,7.4,6.88,5.67,4.25,4.17,3.48,2.99,0.0,2.81,2.56,2.64,2.55,2.49,2.01,1.98,2.01,1.71,1.4,1.34,1.17,0.0,1.12,1.05,1.02,1.01,0.98,0.92,0.94,0.85,0.83,0.69,0.71,0.0,0.65,0.54,0.7,0.48,0.49,0.46,0.41,0.42,0.37,0.35,0.33,0.33,0.3,0.28,0.28,0.23,0.0,0.22,0.2,0.26,0.0,0.2,0.19,0.16,0.0,0.13,0.12,0.13,0.12,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.0,0.02,0.02,0.02,0.01,0.11,0.01,100.0
12/30/2021,12.0,9.12,7.42,6.91,5.68,4.24,4.13,3.49,3.03,0.0,2.79,2.57,2.64,2.51,2.49,1.99,1.97,2.01,1.69,1.39,1.32,1.16,0.0,1.11,1.06,1.02,1.0,0.96,0.91,0.93,0.84,0.83,0.69,0.72,0.0,0.66,0.53,0.69,0.49,0.48,0.46,0.4,0.42,0.36,0.34,0.32,0.33,0.29,0.28,0.28,0.23,0.0,0.22,0.2,0.26,0.0,0.19,0.19,0.16,0.0,0.13,0.12,0.13,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.0,0.02,0.02,0.02,0.01,0.11,0.01,99.98
12/31/2021,11.96,9.12,7.42,6.92,5.69,4.26,4.11,3.49,3.03,0.0,2.83,2.56,2.64,2.52,2.5,1.98,1.97,2.01,1.69,1.39,1.32,1.16,0.0,1.11,1.06,1.03,1.0,0.96,0.87,0.94,0.85,0.84,0.7,0.73,0.0,0.66,0.53,0.69,0.48,0.48,0.46,0.4,0.41,0.36,0.35,0.32,0.33,0.3,0.28,0.27,0.23,0.0,0.22,0.2,0.24,0.0,0.19,0.19,0.16,0.0,0.13,0.12,0.13,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.0,0.02,0.02,0.02,0.01,0.11,0.01,99.98
01/07/2022,11.68,8.93,7.6,6.85,5.85,4.27,4.17,3.54,3.01,0.0,2.78,2.57,2.68,2.52,2.62,2.0,2.09,2.01,1.69,1.35,1.34,1.19,0.0,1.13,1.06,1.0,1.04,0.98,0.0,0.93,0.87,0.84,0.7,0.67,0.0,0.65,0.56,0.7,0.49,0.5,0.49,0.4,0.43,0.37,0.36,0.33,0.34,0.32,0.31,0.28,0.25,0.0,0.22,0.21,0.55,0.0,0.21,0.21,0.17,0.0,0.14,0.13,0.13,0.13,0.11,0.11,0.1,0.1,0.08,0.09,0.07,0.06,0.05,0.06,0.04,0.04,0.03,0.03,0.0,0.02,0.02,0.02,0.01,0.11,0.0,99.98999999999998
01/10/2022,11.68,8.83,7.64,6.93,5.86,4.08,4.17,3.55,2.99,0.0,2.77,2.58,2.66,2.54,2.64,2.05,2.09,2.0,1.73,1.37,1.37,1.21,0.0,1.13,1.07,1.01,1.06,1.0,0.0,0.93,0.94,0.84,0.69,0.65,0.0,0.64,0.56,0.71,0.49,0.52,0.49,0.4,0.43,0.37,0.37,0.34,0.34,0.32,0.31,0.29,0.25,0.0,0.24,0.21,0.39,0.0,0.21,0.21,0.17,0.0,0.14,0.13,0.13,0.13,0.11,0.11,0.1,0.1,0.08,0.09,0.07,0.06,0.05,0.06,0.04,0.04,0.03,0.03,0.0,0.02,0.02,0.02,0.01,0.11,0.0,100.0
01/11/2022,11.68,8.73,7.72,7.05,5.9,4.17,4.16,3.54,2.99,0.0,2.77,2.56,2.67,2.56,2.68,2.01,2.11,1.99,1.73,1.38,1.36,1.14,0.0,1.13,1.05,1.01,1.04,0.96,0.0,0.94,0.93,0.84,0.69,0.66,0.0,0.64,0.58,0.71,0.51,0.5,0.49,0.41,0.44,0.38,0.36,0.32,0.34,0.32,0.31,0.29,0.24,0.0,0.24,0.21,0.27,0.0,0.2,0.21,0.18,0.0,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.08,0.09,0.07,0.06,0.05,0.06,0.04,0.04,0.04,0.03,0.0,0.02,0.02,0.02,0.02,0.11,0.0,99.98999999999998
01/12/2022,11.6,8.83,7.71,6.95,5.96,4.2,4.21,3.5,2.96,0.0,2.76,2.53,2.65,2.53,2.71,2.03,2.11,1.98,1.75,1.32,1.4,1.17,0.0,1.12,1.04,1.01,1.04,0.99,0.0,0.94,0.92,0.83,0.68,0.65,0.0,0.64,0.6,0.72,0.5,0.5,0.49,0.41,0.45,0.39,0.37,0.33,0.34,0.32,0.31,0.29,0.25,0.0,0.24,0.21,0.26,0.0,0.21,0.21,0.18,0.0,0.14,0.13,0.13,0.13,0.11,0.11,0.1,0.1,0.08,0.09,0.07,0.06,0.05,0.06,0.04,0.04,0.04,0.03,0.0,0.02,0.02,0.02,0.02,0.11,0.0,99.99999999999996
01/13/2022,11.59,8.74,7.73,7.05,5.96,4.19,4.2,3.49,2.97,0.0,2.78,2.52,2.65,2.56,2.71,1.98,2.14,1.97,1.76,1.35,1.4,1.17,0.0,1.12,1.04,1.01,1.01,1.0,0.0,0.95,0.92,0.83,0.68,0.63,0.0,0.63,0.58,0.72,0.51,0.49,0.49,0.41,0.45,0.39,0.37,0.33,0.34,0.33,0.31,0.29,0.25,0.0,0.24,0.21,0.28,0.0,0.21,0.21,0.18,0.0,0.14,0.13,0.13,0.13,0.11,0.11,0.1,0.11,0.08,0.09,0.07,0.06,0.05,0.06,0.04,0.04,0.04,0.03,0.0,0.02,0.02,0.02,0.02,0.11,0.0,100.03
01/14/2022,11.58,8.76,7.75,7.11,5.98,4.21,4.27,3.47,2.97,0.0,2.71,2.52,2.68,2.49,2.68,1.99,2.14,1.98,1.76,1.36,1.4,1.14,0.0,1.13,1.05,1.02,1.01,0.98,0.0,0.94,0.95,0.83,0.67,0.63,0.0,0.63,0.58,0.71,0.5,0.5,0.49,0.41,0.45,0.38,0.36,0.32,0.34,0.32,0.3,0.29,0.25,0.0,0.24,0.21,0.28,0.0,0.21,0.21,0.17,0.0,0.14,0.13,0.13,0.13,0.11,0.11,0.1,0.1,0.08,0.09,0.07,0.06,0.05,0.06,0.04,0.04,0.04,0.03,0.0,0.02,0.02,0.02,0.02,0.11,0.0,100.00999999999998
