,4SPX  210831C02099960,4SPX  210831P04199930,4SPX  210831P03499940,4XSP  210831C00209990,4XSP  210831C00419990,4XSP  210831P00209990,4XSP  210831P00297490,4XSP  210831P00349990,4XSP  210831P00419990,Cash&Other,4XSP  210831C00391120,4SPX  210831P02099960,4SPX  210831P02974950,4SPX  210831C04199930,4SPX  210831C03911180,2SPY  220831C00003610,2SPY  220831P00451560,2SPY  220831C00489940,2SPY  220831P00383830,SUM
07/09/2021,114.62,1.39,0.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.03,-0.08,-4.79,-11.41,0.0,0.0,0.0,0.0,100.01
07/12/2021,116.04,1.21,0.19,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.03,-0.08,-5.41,-12.1,0.0,0.0,0.0,0.0,100.0
07/13/2021,116.04,1.21,0.19,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.03,-0.08,-5.41,-12.1,0.0,0.0,0.0,0.0,100.0
07/14/2021,116.04,1.21,0.19,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.03,-0.08,-5.41,-12.1,0.0,0.0,0.0,0.0,100.0
07/15/2021,116.75,1.07,0.17,0.21,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.02,-0.07,-5.65,-12.42,0.0,0.0,0.0,0.0,100.0
07/16/2021,116.02,1.22,0.18,0.21,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.02,-0.07,-5.41,-12.09,0.0,0.0,0.0,0.0,100.0
07/19/2021,115.34,1.23,0.16,0.21,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.06,-5.08,-11.74,0.0,0.0,0.0,0.0,99.99000000000002
07/20/2021,113.75,1.5,0.19,0.2,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.07,-4.5,-11.01,0.0,0.0,0.0,0.0,99.99
07/21/2021,113.75,1.5,0.19,0.2,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.07,-4.5,-11.01,0.0,0.0,0.0,0.0,99.99
07/22/2021,110.91,2.15,0.3,0.2,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.05,-0.11,-3.59,-9.76,0.0,0.0,0.0,0.0,100.0
07/23/2021,114.0,1.46,0.19,0.2,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.03,-0.08,-4.59,-11.12,0.0,0.0,0.0,0.0,99.98
07/26/2021,116.03,1.05,0.14,0.21,-0.01,0.0,0.0,0.0,0.0,-0.03,-0.02,-0.02,-0.05,-5.28,-12.03,0.0,0.0,0.0,0.0,99.99
07/27/2021,117.93,0.83,0.12,0.21,-0.01,0.0,0.0,0.0,0.0,-0.03,-0.02,-0.02,-0.04,-6.04,-12.93,0.0,0.0,0.0,0.0,100.0
07/28/2021,117.93,0.83,0.12,0.21,-0.01,0.0,0.0,0.0,0.0,-0.03,-0.02,-0.02,-0.04,-6.04,-12.93,0.0,0.0,0.0,0.0,100.0
07/29/2021,118.64,0.73,0.1,0.21,-0.01,0.0,0.0,0.0,0.0,-0.04,-0.02,-0.01,-0.03,-6.31,-13.26,0.0,0.0,0.0,0.0,100.0
07/30/2021,117.2,0.94,0.12,0.21,-0.01,0.0,0.0,0.0,0.0,-0.04,-0.02,-0.02,-0.04,-5.75,-12.6,0.0,0.0,0.0,0.0,99.99
08/02/2021,118.35,0.71,0.08,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-6.18,-13.11,0.0,0.0,0.0,0.0,99.99
08/03/2021,117.5,0.74,0.09,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-5.77,-12.7,0.0,0.0,0.0,0.0,100.0
08/04/2021,117.5,0.74,0.09,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-5.77,-12.7,0.0,0.0,0.0,0.0,100.0
08/05/2021,116.92,0.78,0.09,0.21,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-5.51,-12.41,0.0,0.0,0.0,0.0,100.01
08/06/2021,118.18,0.58,0.07,0.21,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.01,-0.02,-5.99,-13.0,0.0,0.0,0.0,0.0,99.98
08/10/2021,119.17,0.38,0.05,0.22,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0,-0.01,-6.31,-13.44,0.0,0.0,0.0,0.0,100.01
08/11/2021,119.17,0.38,0.05,0.22,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0,-0.01,-6.31,-13.44,0.0,0.0,0.0,0.0,100.01
08/13/2021,118.99,0.35,0.03,0.25,-0.01,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,-0.01,-6.22,-13.35,0.0,0.0,0.0,0.0,100.0
08/16/2021,120.26,0.24,0.03,0.25,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.03,0.0,0.0,-6.75,-13.98,0.0,0.0,0.0,0.0,100.0
