,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,BRK.B,TSLA,JPM,NVDA,JNJ,V,UNH,HD,PG,BAC,DIS,MA,PYPL,ADBE,CMCSA,PFE,CSCO,LLY,KO,VZ,INTC,NFLX,PEP,CRM,ABT,TMO,NKE,XOM,WMT,ABBV,ACN,COST,AVGO,ORCL,MRK,DHR,MCD,T,WFC,CVX,TXN,MDT,QCOM,HON,NEE,LIN,UNP,MS,LOW,C,AMD,INTU,UPS,PM,SBUX,BMY,AMGN,GS,TGT,BA,RTX,MRNA,CAT,BLK,AMAT,ISRG,DE,AXP,CHTR,CVS,NOW,IBM,MMM,SPGI,SCHW,GE.,ZTS,SQ,ADP,ANTM,LMT,MDLZ,SYK,TJX,FIS,BKNG,ZM,PNC,LRCX,COF,USB,MU,CSX,MMC,CB,TFC,SHW,EL,ILMN,ITW,MO,AON,DUK,GILD,ADSK,CI,EW,CME,COP,NSC,FDX,SO,BX,HCA,BDX,ETN,ATVI,MCO,CL,GM,ICE,WM,TMUS,FISV,EMR,ADI,APD,BSX,IDXX,DG,NOC,PGR,NXPI,ECL,EBAY,HUM,D,JCI,BIIB,MSCI,KLAC,ALGN,FCX,CMG,TEL,GPN,LHX,REGN,A,ROP,VRTX,IFF,TROW,SNAP,DXCM,CARR,MRVL,TT,KMB,GD,ROST,F,AEP,NEM,HPQ,APH,ORLY,LULU,MET,DOW,VEEV,CDNS,SNPS,BK,TWTR,FTNT,AIG,ALL,APTV,DFS,CRWD,TEAM,YUM,PPG,TRV,EA,EXC,RMD,WDAY,PRU,MSI,AZO,SRE,IQV,MNST,CTSH,GE,PANW,PH,MCHP,MTD,BAX,MAR,EOG,SYY,HLT,MPC,XLNX,SLB,MTCH,EPAM,PAYX,TTD,ROK,CNC,GIS,AFL,AMP,ADM,PXD,MCK,XEL,PSX,CTAS,GLW,KR,SUM
08/16/2021,6.21,5.0,3.49,2.09,1.99,1.97,1.35,1.29,1.18,1.15,1.11,0.94,0.92,0.86,0.85,0.79,0.78,0.78,0.76,0.74,0.64,0.63,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.44,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.47000000000001
08/17/2021,6.21,5.05,3.47,2.09,1.99,1.98,1.34,1.28,1.17,1.16,1.11,0.94,0.93,0.85,0.85,0.78,0.78,0.78,0.76,0.74,0.65,0.65,0.57,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.51,0.52,0.51,0.5,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.36,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45
08/18/2021,6.21,5.05,3.47,2.09,1.99,1.98,1.34,1.28,1.17,1.16,1.11,0.94,0.93,0.85,0.85,0.78,0.78,0.78,0.76,0.74,0.65,0.65,0.57,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.51,0.52,0.51,0.5,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.36,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45
08/19/2021,6.21,5.05,3.47,2.09,1.99,1.98,1.34,1.28,1.17,1.16,1.11,0.94,0.93,0.85,0.85,0.78,0.78,0.78,0.76,0.74,0.65,0.65,0.57,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.51,0.52,0.51,0.5,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.36,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.26,0.25,0.26,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45
08/20/2021,6.28,5.07,3.47,2.1,1.99,1.98,1.35,1.22,1.16,1.15,1.12,0.95,0.95,0.86,0.86,0.77,0.77,0.78,0.77,0.74,0.65,0.65,0.57,0.58,0.56,0.55,0.54,0.55,0.54,0.52,0.52,0.52,0.51,0.49,0.51,0.5,0.49,0.49,0.47,0.47,0.47,0.45,0.43,0.42,0.4,0.41,0.42,0.42,0.4,0.39,0.39,0.39,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.28,0.28,0.29,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.24,0.22,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.1,0.09,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.57000000000002
08/23/2021,6.29,5.08,3.44,2.07,1.98,1.98,1.35,1.19,1.15,1.13,1.14,0.95,0.97,0.83,0.87,0.77,0.76,0.78,0.75,0.74,0.65,0.68,0.57,0.59,0.56,0.56,0.54,0.55,0.54,0.52,0.53,0.53,0.51,0.49,0.51,0.51,0.5,0.49,0.47,0.47,0.48,0.45,0.43,0.43,0.4,0.41,0.41,0.42,0.39,0.39,0.4,0.39,0.37,0.36,0.33,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.29,0.29,0.3,0.28,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.24,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.0,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.55000000000001
08/24/2021,6.21,5.28,3.4,2.08,2.0,1.99,1.34,1.22,1.14,1.21,1.14,0.94,0.98,0.86,0.87,0.76,0.76,0.77,0.76,0.76,0.65,0.65,0.59,0.58,0.56,0.55,0.53,0.58,0.55,0.54,0.53,0.53,0.5,0.47,0.52,0.5,0.51,0.5,0.46,0.46,0.48,0.46,0.43,0.42,0.39,0.38,0.41,0.42,0.39,0.39,0.41,0.4,0.37,0.35,0.38,0.33,0.33,0.34,0.33,0.33,0.32,0.34,0.32,0.31,0.31,0.28,0.28,0.28,0.27,0.28,0.28,0.3,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.26,0.23,0.22,0.24,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.69
08/25/2021,6.21,5.28,3.4,2.08,2.0,1.99,1.34,1.22,1.14,1.21,1.14,0.94,0.98,0.86,0.87,0.76,0.76,0.77,0.76,0.76,0.65,0.65,0.59,0.58,0.56,0.55,0.53,0.58,0.55,0.54,0.53,0.53,0.5,0.47,0.52,0.5,0.51,0.5,0.46,0.46,0.48,0.46,0.43,0.42,0.39,0.38,0.41,0.42,0.39,0.39,0.41,0.4,0.37,0.35,0.38,0.33,0.33,0.34,0.33,0.33,0.32,0.34,0.32,0.31,0.31,0.28,0.28,0.28,0.27,0.28,0.28,0.3,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.26,0.23,0.0,0.24,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.15,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.69
08/26/2021,6.22,5.24,3.44,2.08,2.02,2.01,1.33,1.26,1.14,1.26,1.12,0.94,0.97,0.84,0.86,0.76,0.77,0.77,0.76,0.76,0.65,0.66,0.59,0.57,0.55,0.55,0.54,0.58,0.54,0.54,0.53,0.52,0.51,0.48,0.51,0.5,0.5,0.49,0.46,0.46,0.47,0.45,0.43,0.41,0.39,0.39,0.41,0.41,0.39,0.38,0.4,0.39,0.36,0.36,0.37,0.33,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.31,0.3,0.28,0.28,0.3,0.27,0.29,0.29,0.29,0.26,0.26,0.27,0.26,0.28,0.25,0.24,0.25,0.23,0.0,0.24,0.23,0.22,0.23,0.21,0.22,0.21,0.22,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.09,0.09,0.1,0.09,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.65
08/27/2021,6.2,5.19,3.47,2.09,2.03,2.02,1.32,1.26,1.14,1.25,1.1,0.94,0.96,0.83,0.85,0.77,0.77,0.77,0.77,0.76,0.65,0.64,0.6,0.56,0.55,0.54,0.55,0.58,0.53,0.54,0.52,0.52,0.5,0.49,0.5,0.5,0.5,0.49,0.46,0.45,0.47,0.45,0.42,0.41,0.39,0.39,0.41,0.42,0.39,0.39,0.39,0.39,0.36,0.36,0.37,0.33,0.34,0.34,0.33,0.33,0.32,0.33,0.31,0.31,0.3,0.28,0.29,0.29,0.28,0.28,0.29,0.29,0.26,0.26,0.27,0.26,0.28,0.25,0.24,0.25,0.24,0.0,0.23,0.23,0.21,0.23,0.21,0.21,0.22,0.22,0.19,0.2,0.18,0.19,0.2,0.18,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.09,0.22,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.52000000000001
