,FB,GOOGL,GOOG,CMCSA,CHTR,NFLX,T,TMUS,VZ,DIS,ATVI,TWTR,EA,VIAC,TTWO,OMC,LUMN,IPG,LYV,FOXA,DISH,NWSA,DISCK,FOX,DISCA,News Corporation Class B,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,NWS,4282.T,SINA,GVMXX,SSIXX,n/a,MTCH,SUM
07/09/2021,22.83,11.89,11.58,4.54,4.53,4.52,4.51,4.51,4.5,4.45,4.4,3.93,2.87,1.82,1.41,1.19,0.93,0.89,0.86,0.84,0.73,0.7,0.6,0.37,0.36,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/12/2021,22.69,11.95,11.69,4.65,4.68,4.5,4.44,4.58,4.51,4.49,4.36,3.79,2.86,1.79,1.4,1.2,0.93,0.89,0.84,0.83,0.71,0.69,0.58,0.37,0.35,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,22.69,11.95,11.69,4.65,4.68,4.5,4.44,4.58,4.51,4.49,4.36,3.79,2.86,1.79,1.4,1.2,0.93,0.89,0.84,0.83,0.71,0.69,0.58,0.37,0.35,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,22.79,11.89,11.62,4.6,4.6,4.5,4.44,4.51,4.5,4.56,4.33,3.88,2.84,1.83,1.39,1.21,0.95,0.92,0.85,0.84,0.73,0.7,0.59,0.37,0.35,0.21,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,22.81,11.94,11.63,4.58,4.46,4.48,4.42,4.5,4.47,4.71,4.32,3.9,2.83,1.84,1.39,1.2,0.94,0.91,0.85,0.84,0.72,0.71,0.59,0.37,0.35,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,22.79,12.01,11.69,4.56,4.41,4.52,4.4,4.54,4.48,4.71,4.35,3.9,2.88,1.81,1.41,1.18,0.93,0.89,0.83,0.82,0.7,0.69,0.58,0.36,0.34,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,22.48,12.07,11.81,4.6,4.41,4.57,4.46,4.6,4.55,4.76,4.26,3.84,2.89,1.77,1.38,1.19,0.93,0.89,0.82,0.83,0.7,0.69,0.57,0.36,0.34,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,22.39,12.14,11.94,4.6,4.47,4.49,4.47,4.66,4.57,4.66,4.34,3.77,2.91,1.74,1.4,1.18,0.9,0.88,0.81,0.82,0.7,0.67,0.57,0.36,0.34,0.0,0.0,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,22.39,12.14,11.94,4.6,4.47,4.49,4.47,4.66,4.57,4.66,4.34,3.77,2.91,1.74,1.4,1.18,0.9,0.88,0.81,0.82,0.7,0.67,0.57,0.36,0.34,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,22.39,12.14,11.94,4.6,4.47,4.49,4.47,4.66,4.57,4.66,4.34,3.77,2.91,1.74,1.4,1.18,0.9,0.88,0.81,0.82,0.7,0.67,0.57,0.36,0.34,0.0,0.0,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,100.0
