,ASML.AS,AZN.L,1299.HK,SAP.DE,NOVO B.CO,6758.T,OR.PA,ALV.DE,6861.T,CSL.AX,SU.PA,9984.T,AI.PA,6098.T,ADS.DE,BNP.PA,DPW.DE,7974.T,DTE.DE,ABBN.SW,ANZ.AX,8035.T,ZURN.SW,388.HK,4063.T,LONN.SW,REL.L,IFX.DE,7741.T,9433.T,EL.PA,PRU.L,INGA.AS,DSV.CO,6594.T,CS.PA,SIKA.SW,RMS.PA,BN.PA,8316.T,PRX.AS,6981.T,LLOY.L,6954.T,6367.T,VOD.L,GIVN.SW,INVE B.ST,9983.T,VWS.CO,ATCO A.ST,D05.SI,ITX.MC,9434.T,CPG.L,MUV2.DE,CRH.L,ERIC B.ST,LSEG.L,VOLV B.ST,NDA SE.ST,PGHN.SW,VNA.DE,6702.T,ALC.SW,BMW.DE,AHT.L,4503.T,DB1.DE,9432.T,CLNX.MC,4568.T,AMS.MC,AD.AS,DSM.AS,8766.T,DSY.PA,FERG.L,4901.T,CAP.PA,O39.SI,4911.T,ASSA B.ST,4661.T,LR.PA,NOKIA.HE,FMG.AX,HEXA B.ST,TCL.AX,6902.T,WKL.AS,GMAB.CO,SAND.ST,4543.T,KNEBV.HE,GEBN.SW,4519.T,SREN.SW,ML.PA,6752.T,4523.T,STM.PA,GMG.AX,U11.SI,RACE.MI,6503.T,5108.T,4452.T,MRK.DE,669.HK,GLE.PA,TEF.MC,VIV.PA,BT.A.L,WLN.PA,SAMPO.HE,KRZ.IR,AKZA.AS,7751.T,AV.L,ATCOB.ST,LGEN.L,16.HK,6301.T,SOON.SW,LOGN.SW,G.MI,9022.T,8801.T,DWNI.DE,6326.T,SEB A.ST,823.HK,ZAL.DE,ESSITY B.ST,DNB.OL,APT.AX,SGSN.SW,8750.T,KNIN.SW,8802.T,SGRO.L,KBC.BR,8267.T,HEN3.DE,SY1.DE,11.HK,HM B.ST,MAERSK B.CO,8113.T,ASM.AS,COL.AX,SHB A.ST,WIX,1925.T,6971.T,III.L,HFG.DE,6762.T,4578.T,HLMA.L,BAER.SW,NZYM B.CO,WPP.L,6869.T,8604.T,CNHI.MI,TKWY.AS,STMN.SW,EDEN.PA,Z74.SI,6857.T,SRT3.,NCM.AX,FER.MC,NICE.TA,NIBE B.ST,SLHN.SW,ARGX.BR,MONC.MI,PUB.PA,SCMN.SW,SPX.L,PNDORA.CO,DIM.PA,4689.T,BNR.DE,6506.T,CRDA.L,JHX.AX,4507.T,3407.T,NXT.L,BEI.DE,9735.T,SK3.IR,OCDO.L,CABK.MC,PSN.L,NN.AS,DSYA.,4307.T,SHL.AX,PUM.DE,TRN.MI,RTO.L,8697.T,8725.T,1COV.DE,USD,2802.T,XRO.AX,DNB,EUR,FPH.NZ,UMI.BR,MNDI.L,EQT.ST,9843.T,ALFA.ST,STJ.L,SUN.AX,QBE.AX,XTSLA,ASX.AX,HSBA.L,8306.T,ADYEN.AS,GBP,SEK,6963.T,6701.T,IHG.L,ERF.PA,6645.T,6383.T,7701.T,SUM
07/09/2021,3.04,1.67,1.59,1.57,1.53,1.35,1.18,1.08,1.01,1.0,0.93,0.9,0.87,0.75,0.74,0.73,0.73,0.73,0.73,0.64,0.63,0.63,0.63,0.61,0.6,0.57,0.56,0.55,0.55,0.55,0.54,0.53,0.53,0.53,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.03
07/12/2021,3.0,1.65,1.56,1.62,1.57,1.34,1.17,1.08,1.03,1.01,0.92,0.9,0.87,0.75,0.75,0.7,0.72,0.7,0.74,0.66,0.63,0.62,0.63,0.65,0.59,0.58,0.56,0.55,0.56,0.56,0.54,0.52,0.52,0.53,0.52,0.51,0.51,0.49,0.49,0.48,0.47,0.48,0.47,0.47,0.48,0.46,0.46,0.46,0.44,0.43,0.43,0.4,0.41,0.42,0.39,0.4,0.41,0.41,0.38,0.4,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.36,0.36,0.35,0.33,0.34,0.34,0.35,0.0,0.34,0.33,0.33,0.31,0.32,0.32,0.3,0.31,0.31,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.27,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.18,0.17,0.17,0.18,0.18,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.15,0.14,0.0,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.14,0.35,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/13/2021,3.0,1.65,1.56,1.62,1.57,1.34,1.17,1.08,1.03,1.01,0.92,0.9,0.87,0.75,0.75,0.7,0.72,0.7,0.74,0.66,0.63,0.62,0.63,0.65,0.59,0.58,0.56,0.55,0.56,0.56,0.54,0.52,0.52,0.53,0.52,0.51,0.51,0.49,0.49,0.48,0.47,0.48,0.47,0.47,0.48,0.46,0.46,0.46,0.44,0.43,0.43,0.4,0.41,0.42,0.39,0.4,0.41,0.41,0.38,0.4,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.36,0.36,0.35,0.33,0.34,0.34,0.35,0.0,0.34,0.33,0.33,0.31,0.32,0.32,0.3,0.31,0.31,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.27,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.18,0.17,0.17,0.18,0.18,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.15,0.14,0.0,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.14,0.0,0.0,0.14,0.0,0.0,0.14,0.35,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/16/2021,3.11,1.66,1.58,1.64,1.55,1.38,1.18,1.08,1.03,1.0,0.93,0.91,0.87,0.74,0.76,0.7,0.72,0.68,0.75,0.66,0.62,0.61,0.63,0.66,0.58,0.57,0.57,0.54,0.54,0.56,0.55,0.52,0.51,0.53,0.52,0.51,0.51,0.51,0.48,0.47,0.48,0.48,0.47,0.48,0.48,0.46,0.46,0.46,0.44,0.42,0.43,0.41,0.4,0.41,0.38,0.4,0.4,0.41,0.37,0.39,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.36,0.35,0.31,0.34,0.34,0.35,0.0,0.34,0.33,0.33,0.32,0.32,0.33,0.3,0.31,0.33,0.33,0.32,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.26,0.28,0.27,0.26,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.18,0.17,0.17,0.17,0.18,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.15,0.0,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.35,0.0,0.14,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.05
07/19/2021,3.14,1.6,1.58,1.64,1.58,1.37,1.18,1.08,1.03,0.99,0.93,0.91,0.88,0.75,0.75,0.71,0.72,0.69,0.75,0.66,0.62,0.62,0.63,0.66,0.58,0.56,0.57,0.54,0.54,0.57,0.54,0.53,0.52,0.55,0.52,0.51,0.52,0.52,0.48,0.47,0.49,0.49,0.48,0.47,0.48,0.45,0.46,0.47,0.43,0.39,0.44,0.41,0.38,0.42,0.38,0.4,0.4,0.41,0.37,0.39,0.38,0.38,0.38,0.37,0.36,0.37,0.37,0.36,0.35,0.36,0.35,0.34,0.31,0.34,0.35,0.35,0.0,0.34,0.32,0.33,0.32,0.31,0.33,0.3,0.31,0.33,0.34,0.33,0.31,0.29,0.31,0.31,0.31,0.29,0.29,0.31,0.28,0.29,0.28,0.28,0.28,0.29,0.28,0.26,0.27,0.27,0.25,0.27,0.27,0.26,0.25,0.24,0.25,0.24,0.24,0.25,0.24,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.23,0.21,0.21,0.21,0.2,0.18,0.2,0.19,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.18,0.17,0.17,0.15,0.19,0.15,0.15,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.0,0.15,0.0,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.0,0.0,0.14,0.14,0.0,0.14,0.14,0.0,0.35,0.0,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.15
07/22/2021,3.08,1.6,1.56,1.63,1.63,1.35,1.21,1.05,1.0,1.02,0.91,0.91,0.88,0.76,0.74,0.68,0.72,0.62,0.74,0.65,0.61,0.61,0.62,0.63,0.57,0.57,0.57,0.52,0.53,0.57,0.53,0.51,0.5,0.53,0.53,0.5,0.52,0.51,0.48,0.48,0.5,0.48,0.45,0.45,0.48,0.44,0.48,0.46,0.39,0.4,0.45,0.41,0.39,0.43,0.37,0.39,0.39,0.37,0.37,0.38,0.38,0.39,0.39,0.36,0.37,0.36,0.36,0.37,0.35,0.37,0.36,0.35,0.31,0.34,0.36,0.36,0.0,0.33,0.32,0.33,0.32,0.32,0.33,0.29,0.31,0.33,0.34,0.33,0.31,0.3,0.32,0.31,0.29,0.29,0.3,0.31,0.29,0.28,0.28,0.29,0.25,0.28,0.28,0.26,0.28,0.27,0.26,0.28,0.27,0.27,0.23,0.25,0.24,0.23,0.24,0.25,0.25,0.25,0.25,0.22,0.24,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.25,0.22,0.19,0.18,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.18,0.18,0.17,0.16,0.19,0.16,0.15,0.15,0.17,0.16,0.15,0.17,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.15,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.36,0.15,0.0,0.0,0.14,0.0,0.0,0.14,0.14,0.46,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.15
07/23/2021,3.1,1.88,1.56,1.61,1.62,1.32,1.22,1.06,1.04,1.03,0.93,0.89,0.89,0.75,0.74,0.69,0.73,0.6,0.74,0.66,0.62,0.61,0.63,0.63,0.56,0.57,0.57,0.52,0.54,0.57,0.54,0.52,0.51,0.54,0.52,0.51,0.52,0.51,0.48,0.47,0.49,0.48,0.45,0.44,0.47,0.44,0.48,0.47,0.38,0.4,0.46,0.41,0.4,0.42,0.37,0.4,0.4,0.37,0.37,0.37,0.38,0.39,0.39,0.35,0.37,0.36,0.37,0.37,0.35,0.37,0.36,0.35,0.32,0.34,0.36,0.35,0.0,0.34,0.32,0.34,0.32,0.31,0.34,0.29,0.31,0.34,0.34,0.33,0.31,0.29,0.32,0.31,0.3,0.28,0.31,0.31,0.29,0.28,0.28,0.28,0.25,0.28,0.29,0.26,0.28,0.27,0.26,0.28,0.27,0.26,0.24,0.25,0.24,0.23,0.24,0.25,0.25,0.25,0.27,0.22,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.22,0.0,0.18,0.2,0.19,0.2,0.19,0.21,0.2,0.2,0.19,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.17,0.16,0.18,0.17,0.17,0.15,0.19,0.16,0.15,0.15,0.17,0.16,0.15,0.18,0.17,0.16,0.15,0.15,0.0,0.15,0.15,0.0,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.36,0.15,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.18,0.16,0.15,0.19,0.18,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24000000000001
07/29/2021,3.32,1.83,1.52,1.53,1.6,1.31,1.21,1.08,1.02,1.04,0.95,0.85,0.87,0.76,0.74,0.72,0.73,0.53,0.73,0.68,0.61,0.6,0.63,0.53,0.55,0.59,0.57,0.53,0.52,0.55,0.54,0.53,0.53,0.53,0.5,0.51,0.52,0.52,0.47,0.46,0.44,0.48,0.47,0.42,0.46,0.45,0.46,0.48,0.34,0.4,0.47,0.4,0.4,0.41,0.38,0.4,0.4,0.36,0.36,0.39,0.4,0.4,0.37,0.34,0.37,0.36,0.37,0.36,0.35,0.35,0.36,0.34,0.33,0.34,0.36,0.35,0.0,0.34,0.32,0.34,0.32,0.3,0.33,0.27,0.31,0.33,0.34,0.34,0.3,0.29,0.32,0.31,0.3,0.28,0.3,0.31,0.28,0.29,0.28,0.28,0.25,0.29,0.29,0.26,0.28,0.27,0.25,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.22,0.24,0.23,0.22,0.23,0.22,0.22,0.23,0.21,0.21,0.22,0.22,0.23,0.21,0.25,0.21,0.19,0.18,0.2,0.19,0.19,0.19,0.21,0.21,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.17,0.17,0.16,0.19,0.16,0.15,0.15,0.17,0.16,0.16,0.18,0.18,0.17,0.15,0.15,0.15,0.15,0.15,0.0,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.15,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.36,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.39,0.15,0.15,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.09
07/30/2021,3.25,1.83,1.48,1.55,1.61,1.33,1.21,1.08,1.08,1.04,0.94,0.85,0.88,0.78,0.73,0.71,0.72,0.59,0.73,0.68,0.62,0.61,0.63,0.5,0.56,0.59,0.57,0.52,0.52,0.56,0.54,0.52,0.52,0.53,0.51,0.51,0.52,0.51,0.46,0.47,0.41,0.48,0.47,0.42,0.5,0.45,0.47,0.48,0.4,0.39,0.47,0.4,0.4,0.42,0.39,0.4,0.4,0.35,0.36,0.38,0.4,0.41,0.37,0.35,0.37,0.36,0.37,0.36,0.35,0.35,0.36,0.34,0.32,0.34,0.35,0.36,0.0,0.33,0.32,0.34,0.32,0.31,0.33,0.28,0.31,0.33,0.34,0.34,0.3,0.29,0.33,0.31,0.3,0.28,0.3,0.31,0.28,0.29,0.28,0.28,0.25,0.29,0.29,0.26,0.28,0.27,0.26,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.25,0.25,0.24,0.25,0.22,0.24,0.22,0.22,0.23,0.22,0.2,0.23,0.22,0.22,0.22,0.22,0.23,0.23,0.25,0.21,0.19,0.17,0.2,0.19,0.19,0.19,0.21,0.21,0.2,0.19,0.2,0.2,0.17,0.17,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.18,0.18,0.17,0.16,0.19,0.16,0.15,0.15,0.17,0.16,0.15,0.18,0.18,0.17,0.0,0.15,0.0,0.15,0.16,0.0,0.16,0.16,0.16,0.0,0.17,0.16,0.16,0.15,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.37,0.15,0.0,0.0,0.0,0.0,0.17,0.14,0.14,0.38,0.15,0.15,0.0,0.0,0.0,0.0,0.14,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29
08/02/2021,3.34,1.83,1.52,1.57,1.63,1.37,1.21,1.08,1.07,1.02,0.94,0.84,0.85,0.76,0.73,0.72,0.72,0.57,0.72,0.67,0.61,0.6,0.63,0.53,0.55,0.59,0.59,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.49,0.51,0.53,0.52,0.49,0.46,0.46,0.48,0.47,0.43,0.5,0.45,0.47,0.48,0.39,0.39,0.47,0.41,0.4,0.41,0.4,0.4,0.41,0.35,0.36,0.38,0.4,0.42,0.37,0.34,0.38,0.36,0.36,0.35,0.35,0.35,0.36,0.34,0.33,0.34,0.36,0.35,0.0,0.33,0.32,0.36,0.32,0.3,0.33,0.27,0.31,0.35,0.34,0.35,0.29,0.29,0.33,0.31,0.31,0.29,0.29,0.32,0.27,0.29,0.29,0.29,0.25,0.31,0.28,0.26,0.28,0.27,0.25,0.27,0.27,0.26,0.25,0.25,0.25,0.22,0.24,0.25,0.26,0.24,0.24,0.22,0.24,0.23,0.22,0.24,0.23,0.2,0.23,0.21,0.21,0.22,0.22,0.23,0.22,0.24,0.21,0.2,0.17,0.2,0.19,0.19,0.19,0.21,0.21,0.2,0.19,0.19,0.2,0.17,0.16,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.18,0.17,0.16,0.17,0.16,0.18,0.17,0.18,0.16,0.19,0.16,0.15,0.15,0.17,0.16,0.16,0.18,0.18,0.17,0.0,0.15,0.0,0.15,0.16,0.0,0.16,0.15,0.16,0.0,0.17,0.16,0.16,0.15,0.15,0.0,0.0,0.14,0.0,0.15,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.15,0.17,0.14,0.0,0.0,0.15,0.15,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.27000000000001
