,DAPXX,Cash,Goldman Finl Sq Trsry Ins,FTIXX,Ishares China Largecap Etf Swap,SUM
07/09/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/12/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/13/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/14/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/15/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/16/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/19/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/20/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/21/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/22/2021,105.16,3.53,0.03,0.0,-8.72,100.0
07/23/2021,105.16,3.53,0.03,0.0,-8.72,100.0
