,AMC,NTLA,SWAV,CROX,THC,UPWK,OVV,YETI,FANG,CELH,XEC,FOXF,LB,JCOM,SGMS,RH,OLN,APA,AM,BEAM,WMS,BRKS,CRNC,PGNY,STAA,TPD.,IIVI,SBNY,CDNA,MTSI,CLF,FUBO,GTLS,BILL,EXP,SFIX,AEIS,BYD,MAT,AXON,VVV,BRKR,PPD,SYNH,TNL,DECK,DBX,MSTR,ENSG,OPK,PFSI,SAIA,WSM,MKSI,DAR,FND,SPWR,AAL,LAD,MEDP,APPS,EXPI,FATE,BJ,DNLI,FFIN,FIVE,FBHS,WK,SITE,DIOD,PACB,CHWY,TPL,WSC,DT,KWR,SEE,SAM,CG,SHAK,SMG,FIZZ,ADT,GBCI,AHCO,TTEK,FFIV,INSP,BLD,TNET,CVET,IRM,NTRA,EYE,OMCL,MORN,EGHT,IIPR,HALO,Helen of Troy Limited,LAMR,MGNI,TREX,WSO,VIR,ZNGA,SSD,TTC,TRUP,PD,TWST,APPN,ATUS,ALRM,CHGG,FRPT,POWI,SAIL,SPCE,ACIW,GKOS,OLLI,SAGE,BE,IRDM,RDFN,FTDR,NRZ,RCM,HAIN,BWXT,RPD,CHDN,MANH,WDFC,CCMP,FIVN,LSCC,SMAR,VRNS,FCEL,LPSN,HLF,ARES,EDIT,TW,BYND,LII,WTRG,FEYE,TMX,RGEN,PEN,HASI,FSLR,ATR,AZPN,CRUS,FUO.,EBS,IART,SDGR,STMP,NOVA,TFSL,WEX,SMTC,RPM,MPW,RLI,OLED,AAON,BPMC,CREE,PSTG,ONEM,NYT,TGTX,RARE,NTNX,PFPT,LSI,GMED,CLDR,CPT,CUBE,WING,AMH,BRO,EGP,FR,SAFE,NEWR,STAG,RGLD,PCTY,LANC,MSA,BAH,VRT,APO,BHVN,GGG,PEGA,US Dollar,TRNO,WMG,ELS,TENB,TNDM,GLPI,NARI,NEOG,VRM,BAND,QDEL,MDLA,AZEK,CRSP,ARWR,MPLN,AMED,ARVN,LHCG,MNTV,NBIX,RenaissanceRe Holdings Ltd.,REXR,JKHY,KNSL,TPX,HELE,CONE,BL,EVBG,COR,DLB,FDS,RNR,IAA,CHE,018000.KQ,GO,XLRN,ENV,VSCO WI,BBWI WI,ICUI,SUM
07/09/2021,3.31,1.01,1.0,0.96,0.88,0.88,0.86,0.86,0.84,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.78,0.77,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.73,0.72,0.72,0.72,0.71,0.71,0.71,0.7,0.7,0.69,0.68,0.68,0.68,0.67,0.66,0.66,0.66,0.65,0.64,0.63,0.63,0.63,0.63,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.59,0.59,0.59,0.58,0.58,0.57,0.56,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.62
07/12/2021,0.48,0.56,0.74,0.74,0.76,0.73,0.72,0.74,0.7,0.7,0.0,0.75,0.75,0.77,0.68,0.77,0.71,0.7,0.6,0.58,0.74,0.7,0.63,0.74,0.7,0.76,0.59,0.62,0.71,0.55,0.77,0.66,0.62,0.62,0.73,0.74,0.7,0.55,0.74,0.75,0.73,0.78,0.0,0.6,0.44,0.75,0.76,0.56,0.45,0.44,0.44,0.44,0.76,0.55,0.59,0.76,0.28,0.44,0.62,0.62,0.5,0.74,0.46,0.76,0.55,0.6,0.59,0.59,0.66,0.46,0.57,0.41,0.48,0.42,0.45,0.63,0.3,0.73,0.42,0.76,0.29,0.42,0.42,0.58,0.44,0.29,0.3,0.3,0.28,0.42,0.15,0.0,0.61,0.63,0.59,0.59,0.58,0.0,0.63,0.59,0.56,0.46,0.15,0.59,0.75,0.24,0.44,0.59,0.61,0.73,0.3,0.43,0.0,0.6,0.0,0.0,0.44,0.3,0.44,0.48,0.0,0.27,0.32,0.29,0.25,0.0,0.15,0.0,0.29,0.15,0.15,0.0,0.64,0.0,0.45,0.0,0.0,0.46,0.57,0.46,0.46,0.0,0.43,0.74,0.75,0.38,0.3,0.4,0.58,0.31,0.31,0.15,0.46,0.45,0.3,0.3,0.3,0.31,0.45,0.0,0.0,0.3,0.0,0.48,0.0,0.15,0.0,0.28,0.3,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.59,0.0,0.63,0.62,0.0,0.47,0.62,0.45,0.47,0.44,0.46,0.46,0.48,0.3,0.46,0.0,0.15,0.3,0.44,0.46,0.74,0.73,0.72,0.46,0.44,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.24,0.22,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.18
07/13/2021,0.48,0.56,0.74,0.74,0.76,0.73,0.72,0.74,0.7,0.7,0.0,0.75,0.75,0.77,0.68,0.77,0.71,0.7,0.6,0.58,0.74,0.7,0.63,0.74,0.7,0.76,0.59,0.62,0.71,0.55,0.77,0.66,0.62,0.62,0.73,0.74,0.7,0.55,0.74,0.75,0.73,0.78,0.0,0.6,0.44,0.75,0.76,0.56,0.45,0.44,0.44,0.44,0.76,0.55,0.59,0.76,0.28,0.44,0.62,0.62,0.5,0.74,0.46,0.76,0.55,0.6,0.59,0.59,0.66,0.46,0.57,0.41,0.48,0.42,0.45,0.63,0.3,0.73,0.42,0.76,0.29,0.42,0.42,0.58,0.44,0.29,0.3,0.3,0.28,0.42,0.15,0.0,0.61,0.63,0.59,0.59,0.58,0.0,0.63,0.59,0.56,0.46,0.15,0.59,0.75,0.24,0.44,0.59,0.61,0.73,0.3,0.43,0.0,0.6,0.0,0.0,0.44,0.3,0.44,0.48,0.0,0.27,0.32,0.29,0.25,0.0,0.15,0.0,0.29,0.15,0.15,0.0,0.64,0.0,0.45,0.0,0.0,0.46,0.57,0.46,0.46,0.0,0.43,0.74,0.75,0.38,0.3,0.4,0.58,0.31,0.31,0.15,0.46,0.45,0.3,0.3,0.3,0.31,0.45,0.0,0.0,0.3,0.0,0.48,0.0,0.15,0.0,0.28,0.3,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.59,0.0,0.63,0.62,0.0,0.47,0.62,0.45,0.47,0.44,0.46,0.46,0.48,0.3,0.46,0.0,0.15,0.3,0.44,0.46,0.74,0.73,0.72,0.46,0.44,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.24,0.22,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.18
07/14/2021,0.48,0.56,0.74,0.75,0.76,0.74,0.72,0.74,0.71,0.7,0.0,0.75,0.76,0.77,0.68,0.77,0.72,0.71,0.6,0.58,0.74,0.7,0.64,0.74,0.7,0.0,0.59,0.62,0.71,0.56,0.78,0.67,0.62,0.62,0.73,0.75,0.7,0.55,0.74,0.75,0.73,0.78,0.0,0.6,0.44,0.75,0.76,0.56,0.45,0.44,0.44,0.44,0.77,0.55,0.59,0.76,0.28,0.44,0.62,0.62,0.5,0.75,0.46,0.76,0.55,0.6,0.6,0.59,0.66,0.46,0.57,0.41,0.48,0.42,0.45,0.63,0.3,0.73,0.42,0.76,0.29,0.43,0.43,0.59,0.44,0.29,0.3,0.3,0.29,0.42,0.0,0.0,0.61,0.63,0.59,0.59,0.58,0.0,0.63,0.6,0.0,0.46,0.0,0.59,0.75,0.25,0.44,0.59,0.61,0.73,0.31,0.43,0.0,0.61,0.15,0.15,0.44,0.3,0.44,0.48,0.0,0.27,0.32,0.29,0.26,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.65,0.0,0.45,0.0,0.0,0.46,0.57,0.46,0.46,0.0,0.44,0.75,0.76,0.38,0.31,0.4,0.58,0.31,0.31,0.15,0.46,0.45,0.3,0.3,0.3,0.31,0.45,0.0,0.0,0.3,0.0,0.48,0.0,0.0,0.0,0.28,0.3,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.59,0.0,0.63,0.62,0.0,0.47,0.62,0.45,0.47,0.44,0.46,0.46,0.48,0.3,0.46,0.0,0.15,0.3,0.44,0.46,0.74,0.73,0.72,0.46,0.44,0.0,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.29,0.29,0.27,0.26,0.24,0.22,0.16,0.16,0.16,0.0,0.15,0.0,0.15,0.15,0.15,0.76,0.56,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.31
07/15/2021,0.55,0.66,0.9,0.92,0.94,0.89,0.88,0.92,0.87,0.85,0.0,0.93,0.96,0.94,0.83,0.95,0.88,0.86,0.72,0.69,0.92,0.86,0.78,0.91,0.85,0.0,0.72,0.76,0.84,0.68,0.97,0.81,0.76,0.76,0.9,0.91,0.87,0.69,0.92,0.92,0.9,0.95,0.0,0.74,0.54,0.93,0.92,0.64,0.56,0.51,0.53,0.54,0.94,0.67,0.73,0.93,0.36,0.53,0.76,0.76,0.62,0.89,0.54,0.92,0.64,0.74,0.72,0.72,0.81,0.57,0.7,0.5,0.58,0.53,0.56,0.77,0.36,0.89,0.52,0.94,0.35,0.52,0.51,0.72,0.53,0.35,0.37,0.36,0.35,0.52,0.0,0.0,0.76,0.76,0.72,0.74,0.72,0.0,0.79,0.73,0.0,0.57,0.0,0.73,0.92,0.29,0.54,0.73,0.74,0.87,0.36,0.51,0.0,0.74,0.19,0.18,0.54,0.36,0.54,0.48,0.0,0.33,0.39,0.34,0.31,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.79,0.0,0.54,0.0,0.0,0.56,0.7,0.55,0.56,0.0,0.52,0.9,0.93,0.44,0.38,0.48,0.71,0.38,0.38,0.19,0.56,0.54,0.37,0.38,0.36,0.38,0.54,0.0,0.0,0.37,0.0,0.58,0.0,0.0,0.0,0.34,0.37,0.18,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.7,0.0,0.77,0.76,0.0,0.58,0.77,0.54,0.58,0.55,0.57,0.57,0.59,0.36,0.58,0.0,0.18,0.37,0.55,0.57,0.91,0.89,0.88,0.56,0.53,0.0,0.38,0.38,0.38,0.36,0.36,0.37,0.36,0.36,0.35,0.34,0.35,0.34,0.33,0.32,0.29,0.27,0.2,0.19,0.19,0.0,0.0,0.0,0.19,0.19,0.18,0.94,0.68,0.19,0.19,0.18,0.19,0.0,0.18,0.18,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.4
07/16/2021,0.42,0.53,0.72,0.76,0.77,0.79,0.72,0.76,0.72,0.71,0.0,0.75,0.78,0.76,0.68,0.79,0.72,0.7,0.59,0.53,0.75,0.7,0.64,0.73,0.67,0.0,0.6,0.62,0.69,0.57,0.8,0.65,0.62,0.63,0.73,0.75,0.71,0.55,0.76,0.78,0.74,0.79,0.0,0.61,0.43,0.76,0.77,0.53,0.46,0.41,0.43,0.45,0.77,0.56,0.59,0.77,0.29,0.43,0.62,0.63,0.51,0.71,0.42,0.76,0.52,0.6,0.59,0.58,0.67,0.46,0.58,0.38,0.48,0.43,0.46,0.63,0.3,0.72,0.42,0.76,0.29,0.43,0.43,0.59,0.43,0.29,0.31,0.3,0.29,0.42,0.0,0.0,0.63,0.62,0.6,0.6,0.59,0.0,0.66,0.6,0.0,0.46,0.0,0.59,0.75,0.23,0.45,0.6,0.61,0.71,0.29,0.41,0.0,0.6,0.15,0.15,0.45,0.3,0.44,0.37,0.0,0.26,0.32,0.28,0.25,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.65,0.0,0.44,0.0,0.0,0.46,0.57,0.46,0.46,0.0,0.43,0.74,0.76,0.35,0.31,0.39,0.58,0.31,0.31,0.16,0.46,0.44,0.3,0.31,0.3,0.31,0.45,0.0,0.0,0.3,0.0,0.48,0.0,0.0,0.0,0.29,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.63,0.63,0.0,0.48,0.62,0.46,0.48,0.45,0.47,0.47,0.47,0.29,0.47,0.0,0.15,0.31,0.45,0.47,0.75,0.73,0.75,0.46,0.44,0.0,0.31,0.31,0.32,0.3,0.29,0.3,0.3,0.3,0.3,0.28,0.28,0.29,0.27,0.25,0.23,0.22,0.16,0.16,0.15,0.0,0.15,0.0,0.15,0.15,0.15,0.76,0.55,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.16,0.15,0.29,0.0,0.0,0.0,0.0,0.0,0.0,96.27
07/19/2021,0.4,0.53,0.67,0.77,0.78,0.65,0.69,0.77,0.68,0.64,0.0,0.76,0.8,0.79,0.65,0.77,0.72,0.67,0.6,0.52,0.76,0.71,0.63,0.73,0.66,0.0,0.6,0.63,0.66,0.57,0.78,0.62,0.63,0.61,0.76,0.71,0.69,0.56,0.76,0.76,0.75,0.81,0.0,0.62,0.44,0.77,0.77,0.51,0.47,0.41,0.45,0.45,0.77,0.57,0.62,0.78,0.25,0.45,0.63,0.64,0.49,0.67,0.41,0.78,0.51,0.62,0.6,0.6,0.66,0.46,0.59,0.36,0.45,0.42,0.46,0.62,0.3,0.75,0.43,0.76,0.27,0.43,0.44,0.6,0.46,0.29,0.32,0.31,0.28,0.44,0.16,0.0,0.65,0.62,0.62,0.62,0.6,0.0,0.67,0.59,0.0,0.47,0.0,0.59,0.78,0.24,0.45,0.62,0.63,0.71,0.28,0.4,0.0,0.62,0.0,0.0,0.44,0.3,0.43,0.32,0.0,0.21,0.33,0.26,0.24,0.0,0.0,0.0,0.28,0.0,0.15,0.0,0.66,0.0,0.45,0.0,0.0,0.45,0.57,0.46,0.45,0.0,0.41,0.75,0.77,0.35,0.32,0.38,0.56,0.32,0.3,0.16,0.46,0.43,0.3,0.29,0.31,0.32,0.46,0.0,0.0,0.3,0.0,0.5,0.0,0.15,0.0,0.28,0.31,0.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.66,0.64,0.0,0.5,0.65,0.46,0.5,0.47,0.49,0.49,0.5,0.3,0.49,0.0,0.15,0.32,0.46,0.49,0.76,0.74,0.77,0.47,0.44,0.0,0.32,0.31,0.33,0.3,0.3,0.32,0.28,0.3,0.29,0.29,0.28,0.28,0.26,0.24,0.24,0.23,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.16,0.78,0.59,0.16,0.15,0.0,0.16,0.16,0.16,0.16,0.17,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,96.35
07/20/2021,0.39,0.52,0.7,0.76,0.78,0.64,0.65,0.75,0.66,0.63,0.0,0.75,0.79,0.79,0.62,0.76,0.72,0.65,0.59,0.54,0.76,0.71,0.64,0.71,0.67,0.0,0.6,0.6,0.68,0.56,0.73,0.63,0.64,0.62,0.75,0.68,0.67,0.54,0.76,0.77,0.74,0.81,0.0,0.62,0.43,0.77,0.78,0.49,0.47,0.41,0.45,0.44,0.76,0.56,0.61,0.78,0.24,0.44,0.62,0.65,0.49,0.65,0.43,0.78,0.52,0.61,0.59,0.6,0.67,0.46,0.58,0.36,0.45,0.42,0.46,0.63,0.3,0.74,0.43,0.76,0.27,0.44,0.44,0.59,0.45,0.29,0.32,0.31,0.29,0.44,0.16,0.0,0.64,0.63,0.61,0.63,0.61,0.0,0.69,0.58,0.0,0.47,0.0,0.59,0.77,0.24,0.46,0.63,0.63,0.72,0.28,0.4,0.0,0.62,0.0,0.0,0.44,0.3,0.44,0.31,0.0,0.21,0.33,0.26,0.24,0.0,0.0,0.0,0.28,0.0,0.16,0.0,0.68,0.0,0.45,0.0,0.0,0.46,0.56,0.46,0.47,0.0,0.41,0.76,0.77,0.35,0.32,0.37,0.57,0.33,0.31,0.16,0.47,0.44,0.3,0.29,0.31,0.33,0.46,0.0,0.16,0.31,0.0,0.51,0.0,0.0,0.0,0.28,0.31,0.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.67,0.65,0.0,0.51,0.66,0.46,0.51,0.48,0.5,0.49,0.5,0.3,0.5,0.0,0.16,0.32,0.46,0.49,0.76,0.72,0.81,0.48,0.45,0.0,0.33,0.31,0.34,0.3,0.32,0.32,0.29,0.3,0.29,0.29,0.31,0.29,0.26,0.24,0.24,0.23,0.17,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.17,0.77,0.6,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.17,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,96.4
07/21/2021,0.39,0.52,0.7,0.76,0.78,0.64,0.65,0.75,0.66,0.63,0.0,0.75,0.79,0.79,0.62,0.76,0.72,0.65,0.59,0.54,0.76,0.71,0.64,0.71,0.67,0.0,0.6,0.6,0.68,0.56,0.73,0.63,0.64,0.62,0.75,0.68,0.67,0.54,0.76,0.77,0.74,0.81,0.0,0.62,0.43,0.77,0.78,0.49,0.47,0.41,0.45,0.44,0.76,0.56,0.61,0.78,0.24,0.44,0.62,0.65,0.49,0.65,0.43,0.78,0.52,0.61,0.59,0.6,0.67,0.46,0.58,0.36,0.45,0.42,0.46,0.63,0.3,0.74,0.43,0.76,0.27,0.44,0.44,0.59,0.45,0.29,0.32,0.31,0.29,0.44,0.16,0.0,0.64,0.63,0.61,0.63,0.61,0.0,0.69,0.58,0.0,0.47,0.0,0.59,0.77,0.24,0.46,0.63,0.63,0.72,0.28,0.4,0.0,0.62,0.0,0.0,0.44,0.3,0.44,0.31,0.0,0.21,0.33,0.26,0.24,0.0,0.0,0.0,0.28,0.0,0.16,0.0,0.68,0.0,0.45,0.0,0.0,0.46,0.56,0.46,0.47,0.0,0.41,0.76,0.77,0.35,0.32,0.37,0.57,0.33,0.31,0.16,0.47,0.44,0.3,0.29,0.31,0.33,0.46,0.0,0.16,0.31,0.0,0.51,0.0,0.0,0.0,0.28,0.31,0.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.67,0.65,0.0,0.51,0.66,0.46,0.51,0.48,0.5,0.49,0.5,0.3,0.5,0.0,0.16,0.32,0.46,0.49,0.76,0.72,0.81,0.48,0.45,0.0,0.33,0.31,0.34,0.3,0.32,0.32,0.29,0.3,0.29,0.29,0.31,0.29,0.26,0.24,0.24,0.23,0.17,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.17,0.77,0.6,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.17,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,96.4
07/22/2021,0.39,0.52,0.7,0.76,0.78,0.64,0.65,0.75,0.66,0.63,0.0,0.75,0.79,0.79,0.62,0.76,0.72,0.65,0.59,0.54,0.76,0.71,0.64,0.71,0.67,0.0,0.6,0.6,0.68,0.56,0.73,0.63,0.64,0.62,0.75,0.68,0.67,0.54,0.76,0.77,0.74,0.81,0.0,0.62,0.43,0.77,0.78,0.49,0.47,0.41,0.45,0.44,0.76,0.56,0.61,0.78,0.24,0.44,0.62,0.65,0.49,0.65,0.43,0.78,0.52,0.61,0.59,0.6,0.67,0.46,0.58,0.36,0.45,0.42,0.46,0.63,0.3,0.74,0.43,0.76,0.27,0.44,0.44,0.59,0.45,0.29,0.32,0.31,0.29,0.44,0.16,0.0,0.64,0.63,0.61,0.63,0.61,0.0,0.69,0.58,0.0,0.47,0.0,0.59,0.77,0.24,0.46,0.63,0.63,0.72,0.28,0.4,0.0,0.62,0.0,0.0,0.44,0.3,0.44,0.31,0.0,0.21,0.33,0.26,0.24,0.0,0.0,0.0,0.28,0.0,0.16,0.0,0.68,0.0,0.45,0.0,0.0,0.46,0.56,0.46,0.47,0.0,0.41,0.76,0.77,0.35,0.32,0.37,0.57,0.33,0.31,0.16,0.47,0.44,0.3,0.29,0.31,0.33,0.46,0.0,0.16,0.31,0.0,0.51,0.0,0.0,0.0,0.28,0.31,0.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.67,0.65,0.0,0.51,0.66,0.46,0.51,0.48,0.5,0.49,0.5,0.3,0.5,0.0,0.16,0.32,0.46,0.49,0.76,0.72,0.81,0.48,0.45,0.0,0.33,0.31,0.34,0.3,0.32,0.32,0.29,0.3,0.29,0.29,0.31,0.29,0.26,0.24,0.24,0.23,0.17,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.17,0.77,0.6,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.17,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,96.4
