,SPY,Cash,605277.SS,605277.SS.1,605277.SS.2,ProShares Ultra VIX Short-Term Futures,n/a,SPU1,X5U21C 4575 US Index,X5U21P 4375 US Index,UVXY,X5Z21C 4700 US Index,X5Z21P 4400 US Index,SUM
07/09/2021,68.79,25.59,10.31,0.09,-0.07,-4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
11/01/2021,73.76,0.0,0.0,0.0,0.0,0.0,11.85,2.48,0.05,-0.11,-4.94,0.0,0.0,83.09
11/02/2021,73.76,0.0,0.0,0.0,0.0,0.0,11.85,2.48,0.05,-0.11,-4.94,0.0,0.0,83.09
11/03/2021,73.76,0.0,0.0,0.0,0.0,0.0,11.85,2.48,0.05,-0.11,-4.94,0.0,0.0,83.09
01/31/2022,70.94,0.0,0.0,0.0,0.0,0.0,13.43,0.0,0.0,0.0,0.0,0.07,-0.36,84.08
