,MSFT,AAPL,AMZN,GOOGL,PYPL,NVDA,FB,ADBE,MA,NKE,AMT,002960.SZ,DHR,IDXX,UNH,DOCU,SPGI,V,CHTR,AMAT,LYV,DIS,CSGP,TSLA,ABNB,TDG,SHW,DE,LLY,DKNG,TMUS,CMG,DXCM,EL,UNP,IQV,NOW,HD,301012.SZ,n/a,TJX,JCI,CDNS,ACN,HCA,CRM,UBER,INTU,SUM
08/27/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,2.23,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,2.23,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,2.23,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,2.23,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/27/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/01/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/04/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/05/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,9.49,8.19,7.24,6.45,4.09,3.95,3.79,3.76,3.55,2.61,2.25,0.0,2.16,2.08,2.07,2.04,2.02,1.95,1.91,1.89,1.81,1.76,1.74,1.73,1.71,1.71,1.66,1.62,1.61,1.5,1.49,1.41,1.41,1.41,1.34,1.23,0.65,0.48,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
