,ZIM,FGXXX,316.HK,9101.T,MATX,n/a,MAERSK B.CO,HLAG.DE,011200.KS,2603.TW,2609.TW,KNIN.SW,1308.HK,UPS,CJT.TO,FDX,ZTO,DPW.DE,MFT.NZ,9147.T,9375.T,DAC,RMG.L,EXPD,2615.TW,GOGL,SBLK,9104.T,2343.HK,9107.T,GXO,SUM
02/09/2022,6.69,5.21,5.17,4.37,4.3,4.21,4.09,3.94,3.78,3.63,3.58,3.54,3.44,3.23,3.17,2.99,2.9,2.87,2.72,2.67,2.66,2.66,2.62,2.53,2.52,2.42,2.27,2.07,1.89,1.85,0.0,99.98999999999998
02/10/2022,6.78,5.13,5.17,4.08,4.3,4.15,4.06,4.0,3.71,3.92,3.86,3.53,3.44,3.19,3.17,2.94,2.84,2.83,2.69,2.63,2.57,2.68,2.62,2.48,2.73,2.5,2.34,1.98,1.9,1.8,0.0,100.02
02/11/2022,6.78,5.13,5.17,4.08,4.3,4.15,4.06,4.0,3.71,3.92,3.86,3.53,3.44,3.19,3.17,2.94,2.84,2.83,2.69,2.63,2.57,2.68,2.62,2.48,2.73,2.5,2.34,1.98,1.9,1.8,0.0,100.02
05/31/2022,4.86,0.84,5.68,3.35,1.65,4.37,4.03,6.65,4.63,4.57,5.05,3.79,3.78,2.61,3.03,3.04,2.83,2.75,0.0,2.62,3.44,1.81,2.63,3.2,3.45,2.61,4.29,1.8,2.1,2.21,2.35,100.02
