,ISHARES IBOXX $ HIGH YIELD CORP BO,CASH COLLATERAL USD XJPM,BLK CSH FND TREASURY SL AGENCY,SWP: USD 0.326500 15-SEP-2025,SWP: USD 0.774500 01-APR-2030,SWP: USD 0.862500 30-MAR-2045,SWP: USD 0.441000 17-JUN-2024,SWP: USD 0.868500 17-JUN-2026,SWP: USD 0.874000 30-MAR-2050,SWP: USD 1.060000 18-SEP-2050,SWP: USD 0.332500 30-JUN-2023,SWP: USD 0.220513 18-SEP-2022,SWP: USD 1.233000 08-JUN-2028,SWP: USD 1.588500 04-JUN-2031,DERIV USD BALANCE WITH R73215 CME,SWP: USD 1.417000 07-APR-2028,USD CASH,SUM
07/09/2021,97.51,1.85,0.95,0.41,0.38,0.06,0.01,0.0,0.0,0.0,-0.01,-0.01,-0.03,-0.05,-0.06,-0.24,-0.29,100.48
07/12/2021,97.69,1.85,0.69,0.35,0.34,0.06,0.0,-0.01,0.0,0.0,-0.01,-0.01,-0.04,-0.06,0.16,-0.29,-0.24,100.47999999999998
07/13/2021,97.69,1.85,0.69,0.35,0.34,0.06,0.0,-0.01,0.0,0.0,-0.01,-0.01,-0.04,-0.06,0.16,-0.29,-0.24,100.47999999999998
07/14/2021,97.51,1.84,0.4,0.39,0.39,0.07,0.01,0.0,0.0,0.0,-0.01,-0.01,-0.03,-0.04,-0.16,-0.24,0.38,100.5
07/16/2021,97.35,1.84,0.62,0.44,0.43,0.07,0.01,0.01,0.0,0.0,0.0,-0.01,-0.02,-0.04,-0.34,-0.22,0.21,100.35
07/19/2021,97.62,1.84,0.63,0.39,0.35,0.06,0.01,0.0,0.0,0.0,-0.01,-0.01,-0.04,-0.06,-0.03,-0.28,-0.1,100.37
07/20/2021,97.62,1.84,0.63,0.39,0.35,0.06,0.01,0.0,0.0,0.0,-0.01,-0.01,-0.04,-0.06,-0.03,-0.28,-0.1,100.37
07/21/2021,97.63,1.85,0.52,0.38,0.34,0.06,0.01,0.0,0.0,0.0,-0.01,-0.01,-0.04,-0.06,-0.04,-0.28,0.01,100.36
07/22/2021,97.93,1.86,0.53,0.31,0.26,0.05,0.0,-0.02,0.0,0.0,-0.01,-0.01,-0.07,-0.08,0.33,-0.35,-0.36,100.37
07/23/2021,96.85,1.8,0.53,0.29,0.27,0.01,0.0,-0.02,0.0,0.0,-0.01,-0.01,-0.07,-0.08,0.32,-0.33,0.8,100.34999999999998
