,FVRR,CRSP,SEDG,SPOT,WIX,HUYA,Us Dollars,SEK.AX,FLT.AX,3697.T,BILI,APT.AX,EXPI,FRAS.L,HVN.AX,SCR.TO,BEKE,FUTU,3769.T,EMBRAC B.ST,NIU,SINCH.ST,MELI,BGNE,API,XRO.AX,268.HK,SECT B.ST,SE,3888.HK,1585.HK,3918.HK,CLNK B.ST,FDEV.L,2471.T,CCC.L,3998.HK,CEVI.ST,INSTAL.ST,2013.HK,NOAH,867.HK,Z1P.AX,TCN.TO,819.HK,CAR.AX,TOY.TO,Euro,CGN.SI,Australian Dollar,Hong Kong Dollar,Great Britsh Pound,Swedish Krona,Canadian Dollar,Japanese Yen,Singapore Dollar,BICO.ST,SUM
07/09/2021,5.69,5.52,4.43,4.15,3.84,3.55,3.19,3.09,2.63,2.52,2.45,2.44,2.36,2.35,2.31,2.26,2.26,2.23,2.18,2.13,2.07,1.96,1.96,1.85,1.71,1.69,1.66,1.66,1.66,1.61,1.61,1.54,1.53,1.42,1.38,1.26,1.16,1.14,1.08,1.07,1.07,1.03,1.0,0.99,0.88,0.88,0.61,0.35,0.31,0.15,0.07,0.04,0.01,0.01,0.0,0.0,0.0,100.0
09/02/2021,5.58,5.59,4.32,4.16,3.76,3.71,0.0,2.98,2.44,2.42,2.43,2.34,2.34,2.23,2.2,2.28,2.24,3.59,2.21,2.12,2.11,1.96,1.92,1.82,1.77,1.63,1.65,1.57,1.62,1.62,1.63,1.5,0.0,1.37,1.34,1.19,1.14,1.08,0.99,1.11,1.19,1.02,0.95,0.93,0.86,0.81,0.6,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,96.2
09/03/2021,5.58,5.59,4.32,4.16,3.76,3.71,0.0,2.98,2.44,2.42,2.43,2.34,2.34,2.23,2.2,2.28,2.24,3.59,2.21,2.12,2.11,1.96,1.92,1.82,1.77,1.63,1.65,1.57,1.62,1.62,1.63,1.5,0.0,1.37,1.34,1.19,1.14,1.08,0.99,1.11,1.19,1.02,0.95,0.93,0.86,0.81,0.6,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,96.2
