,2022-05-20 SPDRu00ae S&P 500u00ae ETF Trust C 4.15,2022-05-20 SPDRu00ae S&P 500u00ae ETF Trust P 414.94,US Dollar,2022-05-20 SPDRu00ae S&P 500u00ae ETF Trust C 466.81,2022-05-20 SPDRu00ae S&P 500u00ae ETF Trust P 373.45,SUM
07/09/2021,99.22,5.34,0.97,-2.48,-3.06,99.99
07/12/2021,99.52,5.12,0.99,-2.7,-2.93,100.0
07/13/2021,99.52,5.12,0.99,-2.7,-2.93,100.0
07/22/2021,98.42,6.45,1.01,-1.96,-3.93,99.99
07/23/2021,98.42,6.45,1.01,-1.96,-3.93,99.99000000000001
