,WIPRO.NS,DRREDDY.NS,ASIANPAINT.NS,INFY,TCS.NS,DIVISLAB.NS,HCLTECH.NS,ULTRACEMCO.NS,BAJAJ-AUTO.NS,CIPLA.NS,GLAND.NS,HEROMOTOCO.NS,AUROPHARMA.NS,SHREECEM.NS,PIIND.NS,HAVELLS.NS,NMDC.NS,SAIL.NS,LAURUSLABS.NS,MPHASIS.NS,BALKRISIND.NS,AUBANK.NS,LTI.NS,MUTHOOTFIN.NS,INDUSTOWER.NS,TATAELXSI.NS,PERSISTENT.NS,DEEPAKNTR.NS,ATUL.NS,Astral Ltd Common Stock Inr1.0,SUPREMEIND.NS,IPCALAB.NS,NAVINFLUOR.NS,JBCHEPHARM.NS,MINDTREE.NS,LALPATHLAB.NS,GSPL.NS,GLENMARK.NS,APLAPOLLO.NS,CDSL.NS,HAL.NS,PFIZER.NS,OFSS.NS,ALKEM.NS,MANAPPURAM.NS,CARBORUNIV.NS,ESCORTS.NS,JKCEMENT.NS,POLYCAB.NS,MCX.NS,ISEC.NS,INDIAMART.NS,TANLA.NS,APLLTD.NS,Chennai Super King,AJANTPHARM.NS,SEQUENT.NS,GRANULES.NS,Alkyl Amines Chemicals Ltd Common Stock Inr2.0,SUNTV.NS,PGHL.NS,HAPPSTMNDS.NS,INTELLECT.NS,Indian Rupee,JKLAKSHMI.NS,MASTEK.NS,KNRCON.NS,BASF.NS,BALAMINES.NS,GMMPFAUDLR.NS,PNCINFRA.NS,TV18BRDCST.NS,EQUITAS.NS,AARTIDRUGS.NS,CEATLTD.NS,PHILIPCARB.NS,Polyplex Corp Ltd,ROSSARI.NS,ASHOKA.NS,IOLCP.NS,BEPL.NS,VCTR,RADICO.NS,Us Dollar,ASTRAL.NS,n/a,ALKYLAMINE.NS,POLYPLEX.NS,RAMCOSYS.NS,SUM
07/09/2021,5.41,5.23,5.22,4.89,4.59,4.41,4.26,4.22,3.88,3.86,3.55,2.9,2.16,2.03,1.86,1.57,1.48,1.44,1.4,1.37,1.35,1.32,1.32,1.21,1.2,1.18,1.12,1.11,1.07,1.07,1.02,1.01,1.01,0.85,0.82,0.79,0.75,0.75,0.73,0.71,0.68,0.67,0.64,0.62,0.55,0.52,0.5,0.49,0.49,0.48,0.44,0.44,0.43,0.42,0.42,0.42,0.36,0.35,0.35,0.35,0.34,0.32,0.3,0.28,0.26,0.24,0.23,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.16,0.14,0.13,0.13,0.11,0.1,0.08,0.06,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,5.54,5.16,5.27,4.96,4.68,4.36,4.31,4.32,3.89,3.88,3.55,2.93,2.13,2.09,1.81,1.59,1.51,1.53,1.44,1.38,1.34,1.34,1.34,1.22,1.23,1.17,1.14,1.06,1.05,0.0,1.01,1.03,1.01,0.77,0.84,0.78,0.76,0.74,0.74,0.68,0.66,0.67,0.65,0.63,0.55,0.48,0.51,0.5,0.49,0.49,0.41,0.42,0.41,0.43,0.0,0.43,0.39,0.35,0.0,0.36,0.34,0.27,0.3,0.0,0.26,0.23,0.24,0.22,0.21,0.22,0.2,0.19,0.19,0.17,0.16,0.14,0.0,0.13,0.11,0.1,0.08,0.0,0.0,0.0,1.05,0.43,0.35,0.13,0.06,100.19000000000001
