,DREYFUS GOVT CASH MGMT,GOLDMAN FINL SQ TRSRY INST 506,GOLDMAN FINL SQ TRSRY INS,S&P 500 INDEX SWAP,SUM
07/09/2021,770.84,181.77,95.99,-948.6,99.99999999999989
07/12/2021,769.05,179.3,95.96,-944.31,100.0
07/13/2021,769.05,179.3,95.96,-944.31,100.0
07/14/2021,769.05,179.3,95.96,-944.31,100.0
07/15/2021,747.86,177.06,86.39,-911.31,100.00000000000011
07/16/2021,787.96,185.57,103.44,-976.97,100.0
07/19/2021,815.51,191.23,101.96,-1008.7,100.0
07/20/2021,885.88,207.83,110.81,-1104.52,100.0
07/21/2021,885.88,207.83,110.81,-1104.52,100.0
07/22/2021,1077.03,251.93,131.16,-1360.12,100.00000000000024
07/23/2021,896.48,213.06,100.36,-1109.89,100.00999999999976
07/26/2021,836.02,201.65,93.8,-1031.47,100.0
07/27/2021,474.28,113.06,55.68,-543.02,99.99999999999989
07/28/2021,474.28,113.06,55.68,-543.02,99.99999999999989
07/29/2021,488.19,116.47,57.36,-562.01,100.01
07/30/2021,903.79,218.31,127.96,-1150.06,100.0
08/02/2021,826.18,193.52,95.55,-1015.25,100.0
