,BYND,MGPI,AMRS,ELF,OTLY,OLPX,INGR,CELH,FIZZ,BUD,FSR,COCO,DNA,SV,VFF.TO,APPH,TSLA,LOCL,345.HK,AVO,1375.T,DSRT.OL,ZVIA,LMNR,MITC,ANIC.L,BABY.V,LSF,NOAC,VERY.V,BU.TO,VOLAB.ST,FGXXX,GURU.TO,EWG.CN,TYUM.NE,VEZ.DE,VEG.V,n/a,VFF,TYUM.CN,GIVN.SW,SXT,GRWG,HYFM,MYLK.V,BABY.TO,SUM
01/11/2022,8.31,8.0,7.01,6.84,5.24,5.12,4.92,4.82,3.83,3.73,3.5,3.25,3.12,2.67,2.61,2.57,2.38,2.32,2.22,2.18,2.04,2.02,2.02,1.77,1.29,1.24,0.89,0.86,0.6,0.58,0.46,0.36,0.31,0.26,0.2,0.19,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
01/12/2022,8.56,8.11,7.15,6.82,5.19,5.04,5.0,4.31,3.84,3.82,3.51,3.26,3.11,2.7,2.65,2.76,2.32,1.97,2.23,2.17,2.07,2.04,2.04,1.78,1.29,1.29,0.89,0.81,0.6,0.59,0.48,0.35,0.32,0.27,0.2,0.19,0.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/13/2022,8.48,8.21,7.14,6.78,4.8,5.09,5.1,4.0,4.02,3.99,3.43,3.19,3.11,2.75,2.58,2.75,2.43,1.99,2.34,2.14,2.11,2.07,2.0,1.84,1.35,1.33,0.92,0.75,0.61,0.6,0.48,0.35,0.32,0.27,0.22,0.17,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/14/2022,8.59,8.16,7.34,6.62,5.3,5.11,4.99,4.25,3.88,3.9,3.38,3.22,3.09,2.68,2.61,2.7,2.38,2.08,2.22,2.1,2.1,2.13,2.08,1.77,1.33,1.3,0.9,0.73,0.6,0.6,0.51,0.34,0.21,0.27,0.2,0.16,0.18,0.12,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/17/2022,8.92,8.28,7.83,6.67,5.06,4.74,5.09,4.0,3.87,4.05,3.27,3.09,2.82,2.72,0.0,2.62,2.35,2.02,2.2,2.05,2.13,2.23,2.31,1.78,1.29,1.27,0.89,0.66,0.61,0.58,0.47,0.35,0.32,0.27,0.22,0.0,0.18,0.12,0.0,2.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/18/2022,8.92,8.28,7.83,6.67,5.06,4.74,5.09,4.0,3.87,4.05,3.27,3.09,2.82,2.72,0.0,2.62,2.35,2.02,2.2,2.05,2.13,2.23,2.31,1.78,1.29,1.27,0.89,0.66,0.61,0.58,0.47,0.35,0.32,0.27,0.22,0.0,0.18,0.12,0.0,2.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/19/2022,8.92,8.28,7.83,6.67,5.06,4.74,5.09,4.0,3.87,4.05,3.27,3.09,2.82,2.72,0.0,2.62,2.35,2.02,2.2,2.05,2.13,2.23,2.31,1.78,1.29,1.27,0.89,0.66,0.61,0.58,0.47,0.35,0.32,0.27,0.22,0.0,0.18,0.12,0.0,2.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/20/2022,8.92,8.28,7.83,6.67,5.06,4.74,5.09,4.0,3.87,4.05,3.27,3.09,2.82,2.72,0.0,2.62,2.35,2.02,2.2,2.05,2.13,2.23,2.31,1.78,1.29,1.27,0.89,0.66,0.61,0.58,0.47,0.35,0.32,0.27,0.22,0.0,0.18,0.12,0.0,2.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/21/2022,8.41,8.61,7.55,6.51,4.81,4.53,5.33,3.96,3.91,4.28,3.22,3.14,2.55,2.84,0.0,2.67,2.45,2.08,2.33,2.08,2.22,2.34,2.33,1.8,1.38,1.26,0.94,0.61,0.64,0.58,0.48,0.32,0.32,0.28,0.23,0.0,0.18,0.12,0.0,2.55,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/25/2022,5.49,5.87,5.7,4.68,4.76,4.4,5.34,5.44,3.87,4.02,2.68,3.28,4.6,0.0,0.0,2.07,2.14,1.89,2.39,1.76,1.59,1.51,1.92,2.0,1.21,0.67,0.47,0.82,0.81,0.38,0.53,0.27,0.67,0.27,0.16,0.0,0.12,0.0,0.0,1.95,0.12,5.59,3.34,2.57,2.38,0.25,0.0,99.98
01/26/2022,5.63,5.92,5.41,4.74,4.64,4.23,5.35,5.59,3.96,4.07,2.59,3.28,4.86,0.0,0.0,1.99,2.07,1.87,2.47,1.78,1.64,1.43,2.0,2.14,1.2,0.68,0.48,0.82,0.83,0.35,0.52,0.27,0.68,0.27,0.16,0.0,0.13,0.0,0.0,1.85,0.13,5.69,3.37,2.47,2.25,0.21,0.0,100.02
01/27/2022,5.63,5.92,5.41,4.74,4.64,4.23,5.35,5.59,3.96,4.07,2.59,3.28,4.86,0.0,0.0,1.99,2.07,1.87,2.47,1.78,1.64,1.43,2.0,2.14,1.2,0.68,0.48,0.82,0.83,0.35,0.52,0.27,0.68,0.27,0.16,0.0,0.13,0.0,0.0,1.85,0.13,5.69,3.37,2.47,2.25,0.21,0.0,100.02
01/28/2022,5.63,5.92,5.41,4.74,4.64,4.23,5.35,5.59,3.96,4.07,2.59,3.28,4.86,0.0,0.0,1.99,2.07,1.87,2.47,1.78,1.64,1.43,2.0,2.14,1.2,0.68,0.48,0.82,0.83,0.35,0.52,0.27,0.68,0.27,0.16,0.0,0.13,0.0,0.0,1.85,0.13,5.69,3.37,2.47,2.25,0.21,0.0,100.02
01/31/2022,5.42,6.1,5.34,5.07,4.66,4.58,5.43,5.41,4.06,4.19,2.3,3.46,4.49,0.0,0.0,1.92,1.9,2.01,2.62,1.86,1.63,1.33,2.05,2.13,1.08,0.64,0.57,0.78,0.87,0.38,0.48,0.24,0.74,0.25,0.18,0.0,0.12,0.0,0.0,1.73,0.11,5.76,3.36,2.34,2.17,0.24,0.0,100.0
02/01/2022,5.42,6.1,5.34,5.07,4.66,4.58,5.43,5.41,4.06,4.19,2.3,3.46,4.49,0.0,0.0,1.92,1.9,2.01,2.62,1.86,1.63,1.33,2.05,2.13,1.08,0.64,0.57,0.78,0.87,0.38,0.48,0.24,0.74,0.25,0.18,0.0,0.12,0.0,0.0,1.73,0.11,5.76,3.36,2.34,2.17,0.24,0.0,100.0
02/02/2022,5.42,6.1,5.34,5.07,4.66,4.58,5.43,5.41,4.06,4.19,2.3,3.46,4.49,0.0,0.0,1.92,1.9,2.01,2.62,1.86,1.63,1.33,2.05,2.13,1.08,0.64,0.57,0.78,0.87,0.38,0.48,0.24,0.74,0.25,0.18,0.0,0.12,0.0,0.0,1.73,0.11,5.76,3.36,2.34,2.17,0.24,0.0,100.0
02/03/2022,5.42,6.1,5.34,5.07,4.66,4.58,5.43,5.41,4.06,4.19,2.3,3.46,4.49,0.0,0.0,1.92,1.9,2.01,2.62,1.86,1.63,1.33,2.05,2.13,1.08,0.64,0.0,0.78,0.87,0.38,0.48,0.24,0.74,0.25,0.18,0.0,0.12,0.0,0.0,1.73,0.11,5.76,3.36,2.34,2.17,0.24,0.57,100.0
02/04/2022,5.82,5.7,5.78,5.06,4.95,4.73,5.07,5.94,4.03,3.86,2.49,3.64,5.39,0.0,0.0,1.64,2.01,1.81,2.39,1.83,1.55,1.18,2.05,1.97,1.02,0.6,0.0,0.74,0.81,0.37,0.48,0.22,0.56,0.24,0.17,0.0,0.11,0.0,-0.05,1.8,0.11,5.04,3.14,2.63,2.28,0.25,0.61,100.02
02/07/2022,5.38,5.97,5.28,5.07,4.86,4.47,4.83,6.08,4.09,3.93,2.43,3.94,5.37,0.0,0.0,1.72,1.98,1.97,2.48,1.79,1.64,1.25,2.33,1.93,1.03,0.66,0.0,0.69,0.85,0.39,0.46,0.23,0.71,0.24,0.16,0.0,0.12,0.0,0.0,1.79,0.1,5.19,3.16,2.51,2.13,0.27,0.53,100.01
02/08/2022,5.38,5.97,5.28,5.07,4.86,4.47,4.83,6.08,4.09,3.93,2.43,3.94,5.37,0.0,0.0,1.72,1.98,1.97,2.48,1.79,1.64,1.25,2.33,1.93,1.03,0.66,0.0,0.69,0.85,0.39,0.46,0.23,0.71,0.24,0.16,0.0,0.12,0.0,0.0,1.79,0.1,5.19,3.16,2.51,2.13,0.27,0.53,100.01
02/09/2022,5.39,5.88,5.31,5.02,4.92,4.48,4.69,6.26,3.95,3.85,2.46,4.02,5.6,0.0,0.0,1.67,2.03,2.06,2.45,1.77,1.6,1.22,2.34,1.94,1.05,0.64,0.0,0.65,0.84,0.37,0.47,0.21,0.7,0.23,0.15,0.0,0.12,0.0,0.0,1.85,0.1,5.08,3.1,2.59,2.15,0.27,0.53,100.01
02/10/2022,5.4,5.86,5.11,4.91,5.03,4.54,4.65,6.34,3.95,3.84,2.42,4.22,5.6,0.0,0.0,1.71,1.98,2.09,2.42,1.75,1.64,1.19,2.34,1.87,1.16,0.62,0.0,0.67,0.83,0.37,0.46,0.22,0.66,0.23,0.14,0.0,0.12,0.0,0.0,1.84,0.1,4.99,3.1,2.58,2.23,0.27,0.54,99.99
02/11/2022,5.41,6.01,5.08,4.91,5.1,4.43,4.67,6.74,4.09,3.84,2.5,4.28,4.92,0.0,0.0,1.71,2.0,2.1,2.43,1.76,1.61,1.17,2.43,1.87,1.14,0.62,0.0,0.65,0.82,0.37,0.46,0.21,0.65,0.23,0.14,0.0,0.11,0.0,0.0,1.82,0.1,4.8,3.11,2.61,2.28,0.27,0.52,99.97
02/14/2022,5.43,5.74,5.39,4.71,5.18,4.51,4.53,7.09,3.96,3.85,2.55,3.96,5.13,0.0,0.0,1.69,1.92,2.25,2.42,1.69,1.62,1.13,2.46,1.82,1.13,0.61,0.0,0.59,0.81,0.37,0.49,0.21,0.64,0.22,0.14,0.0,0.11,0.0,0.0,1.84,0.11,4.76,3.05,2.93,2.23,0.25,0.49,100.01
02/15/2022,5.43,5.74,5.39,4.71,5.18,4.51,4.53,7.09,3.96,3.85,2.55,3.96,5.13,0.0,0.0,1.69,1.92,2.25,2.42,1.69,1.62,1.13,2.46,1.82,1.13,0.61,0.0,0.59,0.81,0.37,0.49,0.21,0.64,0.22,0.14,0.0,0.11,0.0,0.0,1.84,0.11,4.76,3.05,2.93,2.23,0.25,0.49,100.01
