,GOOGL,VZ,CTVA,MSFT,AAPL,BG,JNJ,PFE,GE,PG,HCA,AWK,ABBV,DE,PEP,BMY,MRK,XYL,LLY,ECL,MCK,AMGN,IQV,LH,UNH,CMCSA,FMC,CAH,JPM,GILD,T,CF,BAC,DELL,THC,HPQ,MOS,CL,MDLZ,DGX,TMO,BDX,AGCO,SYY,CYH,WFC,SYK,CVS,MMM,BIIB,ADM,K,GIS,INTC,CLX,FB,WTRG,CAG,WMT,REGN,BAX,UHS,WBA,AXP,BSX,VRTX,USFD,AMZN,PPD,GS,DHR,COF,SYNH,CWT,ZBH,PFGC,MRNA,CSCO,C,SJM,PNC,ABT,CHTR,LW,BBY,MS,ANTM,FDP,HD,RPRX,ABC,CHD,KO,KMB,ALXN,LOW,FLO,DVA,PRU,AWR,THS,TMUS,JBL,SPB,SJW,ALL,Us Dollars,SYF,CRL,CPB,ORCL,CNC,MET,HUM,SBUX,DIS,USB,KDP,TGT,DFS,PGR,AQUA,FTV,IBM,LUMN,CME,BK,OMI,SGEN,TRV,HPE,ICLR,AVTR,ITGR,WTS,MRVI,EW,SEM,INCY,CNDT,IAC,ISRG,CFX,MAR,WELL,UNFI,MAN,MU,MD,AVGO,CMP,ATVI,FELE,QCOM,DXC,EL,CTLT,BKD,A,TFC,TJX,BIO,KR,DG,MA,NFLX,HRC,SP,POST,AVD,CBRE,HOLX,MMC,OMC,INGR,CDW,PYPL,NLSN,ILMN,M,AMAT,AMT,SDC,GLW,ARE,CCI,ALNY,TECH,ADS,DHC,JEF,TTEK,WDC,JLL,HIG,TFX,STT,RDNT,PKI,CTSH,LBRDA,J,BLK,L,FIS,JJSF,AZN,HSIC,n/a,VIACA,UTHR,GE.,LNN,ANDE,RMD,WST,SGRY,SUM
07/09/2021,4.06,3.99,3.26,2.9,2.59,2.02,2.02,1.8,1.76,1.75,1.73,1.63,1.4,1.38,1.32,1.3,1.21,1.1,1.08,1.01,0.95,0.95,0.93,0.91,0.87,0.82,0.81,0.76,0.76,0.74,0.73,0.72,0.71,0.64,0.62,0.61,0.6,0.58,0.58,0.58,0.56,0.56,0.53,0.53,0.52,0.52,0.51,0.5,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.36,0.36,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.24000000000001
07/12/2021,4.11,3.99,3.18,2.94,2.69,1.96,2.05,1.81,1.72,1.79,1.74,1.7,1.43,1.37,1.34,1.33,1.22,1.1,1.11,1.02,0.95,0.95,0.94,0.92,0.88,0.84,0.8,0.75,0.75,0.73,0.71,0.7,0.68,0.65,0.62,0.6,0.59,0.6,0.59,0.59,0.57,0.57,0.51,0.52,0.53,0.49,0.52,0.49,0.47,0.5,0.45,0.46,0.45,0.44,0.46,0.43,0.44,0.42,0.41,0.4,0.4,0.4,0.38,0.39,0.38,0.36,0.35,0.36,0.33,0.32,0.33,0.32,0.33,0.32,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.2,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.08,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.47999999999999
07/13/2021,4.11,3.99,3.18,2.94,2.69,1.96,2.05,1.81,1.72,1.79,1.74,1.7,1.43,1.37,1.34,1.33,1.22,1.1,1.11,1.02,0.95,0.95,0.94,0.92,0.88,0.84,0.8,0.75,0.75,0.73,0.71,0.7,0.68,0.65,0.62,0.6,0.59,0.6,0.59,0.59,0.57,0.57,0.51,0.52,0.53,0.49,0.52,0.49,0.47,0.5,0.45,0.46,0.45,0.44,0.46,0.43,0.44,0.42,0.41,0.4,0.4,0.4,0.38,0.39,0.38,0.36,0.35,0.36,0.33,0.32,0.33,0.32,0.33,0.32,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.2,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.08,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.47999999999999
07/14/2021,4.08,3.98,3.19,2.92,2.7,1.97,2.03,1.81,1.74,1.77,1.76,1.69,1.42,1.38,1.33,1.33,1.21,1.11,1.09,1.02,0.94,0.94,0.93,0.92,0.88,0.82,0.81,0.75,0.77,0.73,0.71,0.71,0.7,0.65,0.63,0.6,0.61,0.59,0.58,0.59,0.56,0.56,0.52,0.53,0.53,0.51,0.51,0.49,0.48,0.48,0.45,0.46,0.45,0.44,0.45,0.43,0.44,0.42,0.4,0.4,0.39,0.4,0.39,0.4,0.37,0.36,0.36,0.36,0.33,0.32,0.33,0.33,0.33,0.32,0.29,0.3,0.29,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.0,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.0,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4
07/15/2021,4.11,3.97,3.2,2.9,2.68,1.97,2.03,1.81,1.73,1.77,1.77,1.69,1.43,1.39,1.32,1.33,1.2,1.11,1.09,1.02,0.94,0.94,0.92,0.92,0.88,0.83,0.81,0.75,0.77,0.73,0.71,0.71,0.71,0.62,0.63,0.58,0.61,0.59,0.58,0.59,0.56,0.56,0.53,0.53,0.54,0.51,0.51,0.49,0.47,0.47,0.45,0.46,0.45,0.45,0.44,0.43,0.44,0.41,0.4,0.39,0.39,0.4,0.39,0.4,0.37,0.36,0.36,0.35,0.33,0.33,0.33,0.34,0.33,0.32,0.29,0.3,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.0,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.0,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38
07/16/2021,4.16,4.0,3.17,2.96,2.73,1.95,2.04,1.82,1.71,1.78,1.78,1.7,1.45,1.39,1.36,1.34,1.21,1.11,1.09,1.02,0.95,0.94,0.93,0.92,0.89,0.83,0.81,0.76,0.77,0.73,0.71,0.7,0.7,0.61,0.63,0.57,0.6,0.59,0.59,0.59,0.56,0.56,0.52,0.52,0.52,0.5,0.51,0.49,0.48,0.48,0.45,0.45,0.45,0.45,0.45,0.43,0.43,0.4,0.41,0.4,0.4,0.4,0.39,0.4,0.37,0.36,0.34,0.35,0.33,0.33,0.33,0.34,0.33,0.32,0.28,0.29,0.29,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.0,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.0,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.47999999999999
07/19/2021,4.15,4.04,3.13,2.97,2.78,1.94,2.03,1.84,1.7,1.81,1.79,1.74,1.44,1.37,1.39,1.34,1.22,1.1,1.08,1.04,0.95,0.95,0.92,0.91,0.9,0.83,0.81,0.75,0.77,0.74,0.72,0.69,0.68,0.61,0.62,0.56,0.59,0.6,0.6,0.59,0.56,0.56,0.51,0.51,0.5,0.53,0.5,0.5,0.48,0.44,0.45,0.46,0.45,0.45,0.45,0.42,0.44,0.4,0.41,0.41,0.4,0.4,0.38,0.4,0.36,0.37,0.34,0.35,0.33,0.33,0.33,0.33,0.32,0.33,0.28,0.29,0.32,0.29,0.27,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.09,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.13,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.58999999999999
07/20/2021,4.17,4.05,3.1,2.98,2.76,1.89,2.04,1.86,1.68,1.83,1.79,1.77,1.45,1.36,1.4,1.35,1.22,1.1,1.09,1.04,0.95,0.96,0.93,0.91,0.9,0.83,0.8,0.76,0.76,0.74,0.72,0.67,0.67,0.6,0.61,0.56,0.57,0.61,0.6,0.59,0.57,0.56,0.5,0.51,0.5,0.52,0.5,0.5,0.48,0.44,0.44,0.47,0.46,0.44,0.47,0.42,0.45,0.41,0.41,0.41,0.4,0.4,0.38,0.4,0.36,0.37,0.34,0.34,0.33,0.32,0.34,0.33,0.32,0.34,0.28,0.28,0.36,0.29,0.27,0.28,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.22,0.22,0.2,0.2,0.19,0.21,0.19,0.2,0.18,0.19,0.2,0.18,0.09,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.13,0.14,0.13,0.0,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.13,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.0,0.07,0.08,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.68
07/21/2021,4.17,4.05,3.1,2.98,2.76,1.89,2.04,1.86,1.68,1.83,1.79,1.77,1.45,1.36,1.4,1.35,1.22,1.1,1.09,1.04,0.95,0.96,0.93,0.91,0.9,0.83,0.8,0.76,0.76,0.74,0.72,0.67,0.67,0.6,0.61,0.56,0.57,0.61,0.6,0.59,0.57,0.56,0.5,0.51,0.5,0.52,0.5,0.5,0.48,0.44,0.44,0.47,0.46,0.44,0.47,0.42,0.45,0.41,0.41,0.41,0.4,0.4,0.38,0.4,0.36,0.37,0.34,0.34,0.33,0.32,0.34,0.33,0.32,0.34,0.28,0.28,0.36,0.29,0.27,0.28,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.22,0.22,0.2,0.2,0.19,0.21,0.19,0.2,0.18,0.19,0.2,0.18,0.09,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.13,0.14,0.13,0.0,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.13,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.0,0.07,0.08,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.68
07/22/2021,4.17,4.05,3.1,2.98,2.76,1.89,2.04,1.86,1.68,1.83,1.79,1.77,1.45,1.36,1.4,1.35,1.22,1.1,1.09,1.04,0.95,0.96,0.93,0.91,0.9,0.83,0.8,0.76,0.76,0.74,0.72,0.67,0.67,0.6,0.61,0.56,0.57,0.61,0.6,0.59,0.57,0.56,0.5,0.51,0.5,0.52,0.5,0.5,0.48,0.44,0.44,0.47,0.46,0.44,0.47,0.42,0.45,0.41,0.41,0.41,0.4,0.4,0.38,0.4,0.36,0.37,0.34,0.34,0.33,0.32,0.34,0.33,0.32,0.34,0.28,0.28,0.36,0.29,0.27,0.28,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.22,0.22,0.2,0.2,0.19,0.21,0.19,0.2,0.18,0.19,0.2,0.18,0.09,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.13,0.14,0.13,0.0,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.13,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.0,0.07,0.08,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.68
