,MSFT,JPM,JNJ,V,WMT,UNH,HD,PG,CMCSA,XOM,ORCL,VZ,KO,PFE,ABT,T,PEP,NKE,CVX,MRK,ACN,AVGO,TXN,COST,MCD,MDT,QCOM,PM,UPS,HON,BMY,UNP,NEE,LOW,SBUX,BLK,RTX,IBM,TGT,CAT,MMM,LMT,SPGI,SYK,MO,ADP,USB,PNC,DUK,CME,CSX,ATVI,TFC,SHW,MMC,BDX,CB,ITW,CL,MCO,SO,APD,ADI,WM,ECL,ETN,NOC,EMR,EPD,GD,ROP,KLAC,TROW,KMB,LHX,TEL,TT,BK,DLR,AEP,WBA,SRE,CTAS,PPG,MCHP,PRU,ALL,PAYX,SYY,TRV,HPQ,IFF,AFL,XEL,DFS,RSG,CMI,GLW,ADM,SWK,ROK,VFC,VLO,FAST,MCK,AWK,AJG,AMP,WEC,STT,KR,ES,NUE,BBY,ARE,WST,FITB,HRL,HSY,O,OKE,ED,ABC,IP,GWW,BF.B,EXR,CLX,MKC,EIX,DTE,DOV,PPL,K,TSCO,EXPD,CHD,HBAN,ESS,MAA,ALB,KEY,BR,CINF,POOL,GPC,STE,RJF,MKTX,CMS,JBHT,AVY,CE,PFG,IEX,CAH,BIP,BEN,EMN,BRO,UDR,EVRG,LNT,SJM,ELS,WHR,WPC,WRB,HAS,LII,GGG,FDS,PKG,ATO,NDSN,CBOE,CHRW,IRM,JKHY,WSM,SNA,TTC,LNC,WTRG,RPM,WLK,AGPXX,MMP,MORN,LAD,AFG,SMG,HUBB,CSL,RHI,GL,UGI,CMA,CUBE,RS,AOS,AIZ,SCI,HRC,FRT,CHDN,ERIE,RRX,PEP.,CHV.,4I1.,DUT.,A4S.,AWC.,ALS.,PG4.,FRTEUR,FISI,FLIC,ORI,SEIC,CBSH,MA,CSCO,INTU,AMGN,GS,ANTM,AON,HUM,APH,MSI,LYB,PEG,TSN,DGX,XYL,FNF,NI,SUM
07/09/2021,4.44,3.09,2.95,2.7,2.62,2.58,2.26,2.22,1.76,1.73,1.6,1.56,1.55,1.46,1.41,1.38,1.37,1.36,1.34,1.32,1.29,1.29,1.18,1.18,1.16,1.14,1.06,1.02,1.02,1.01,0.99,0.99,0.98,0.92,0.91,0.91,0.87,0.83,0.81,0.78,0.76,0.7,0.67,0.66,0.58,0.57,0.56,0.53,0.51,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.43,0.42,0.41,0.4,0.4,0.4,0.39,0.38,0.36,0.35,0.33,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.04
07/12/2021,4.41,3.12,2.95,2.67,2.61,2.57,2.26,2.22,1.76,1.71,1.67,1.54,1.55,1.47,1.41,1.34,1.37,1.36,1.33,1.31,1.31,1.3,1.16,1.2,1.16,1.14,1.05,1.02,1.02,1.03,0.99,0.97,0.97,0.91,0.91,0.91,0.86,0.83,0.81,0.79,0.77,0.7,0.66,0.66,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.43,0.43,0.4,0.4,0.4,0.4,0.39,0.39,0.35,0.35,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07
07/13/2021,4.41,3.12,2.95,2.67,2.61,2.57,2.26,2.22,1.76,1.71,1.67,1.54,1.55,1.47,1.41,1.34,1.37,1.36,1.33,1.31,1.31,1.3,1.16,1.2,1.16,1.14,1.05,1.02,1.02,1.03,0.99,0.97,0.97,0.91,0.91,0.91,0.86,0.83,0.81,0.79,0.77,0.7,0.66,0.66,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.43,0.43,0.4,0.4,0.4,0.4,0.39,0.39,0.35,0.35,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07
07/14/2021,4.4,3.11,2.95,2.66,2.6,2.57,2.26,2.21,1.76,1.71,1.67,1.53,1.55,1.46,1.4,1.34,1.36,1.35,1.32,1.3,1.31,1.29,1.16,1.2,1.16,1.14,1.05,1.02,1.02,1.03,0.99,0.97,0.97,0.91,0.91,0.91,0.86,0.83,0.81,0.79,0.77,0.7,0.66,0.66,0.58,0.57,0.56,0.53,0.51,0.5,0.48,0.47,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.43,0.43,0.4,0.4,0.4,0.4,0.39,0.39,0.35,0.35,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9
07/15/2021,4.39,3.15,2.94,2.65,2.6,2.59,2.26,2.21,1.76,1.71,1.66,1.53,1.55,1.47,1.39,1.34,1.36,1.36,1.33,1.3,1.3,1.31,1.17,1.19,1.16,1.14,1.06,1.01,1.02,1.03,0.99,0.97,0.97,0.91,0.92,0.92,0.86,0.83,0.82,0.79,0.76,0.69,0.65,0.66,0.58,0.57,0.56,0.54,0.51,0.5,0.47,0.48,0.49,0.49,0.47,0.48,0.49,0.47,0.46,0.46,0.43,0.42,0.41,0.4,0.4,0.41,0.39,0.39,0.35,0.35,0.33,0.32,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.02
07/16/2021,4.47,3.12,2.95,2.72,2.62,2.62,2.24,2.22,1.76,1.71,1.67,1.54,1.57,1.47,1.4,1.34,1.4,1.37,1.33,1.3,1.31,1.31,1.17,1.19,1.17,1.14,1.05,1.01,1.01,1.03,1.0,0.96,0.97,0.91,0.93,0.92,0.86,0.83,0.82,0.78,0.77,0.69,0.65,0.65,0.57,0.57,0.56,0.53,0.52,0.5,0.48,0.48,0.49,0.49,0.47,0.48,0.49,0.48,0.46,0.46,0.43,0.42,0.41,0.4,0.4,0.41,0.39,0.39,0.35,0.35,0.34,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.27,0.25,0.25,0.23,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.14
07/19/2021,4.45,3.11,2.93,2.78,2.63,2.62,2.27,2.25,1.76,1.65,1.64,1.55,1.61,1.48,1.37,1.34,1.42,1.36,1.29,1.31,1.32,1.29,1.15,1.2,1.17,1.11,1.05,1.02,1.02,1.07,0.99,0.96,0.99,0.91,0.92,0.89,0.85,0.83,0.83,0.76,0.77,0.69,0.65,0.64,0.58,0.58,0.58,0.53,0.53,0.5,0.48,0.46,0.5,0.49,0.47,0.47,0.49,0.48,0.47,0.46,0.44,0.42,0.4,0.4,0.4,0.4,0.39,0.39,0.35,0.35,0.34,0.31,0.31,0.3,0.3,0.3,0.3,0.28,0.29,0.29,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.27,0.25,0.26,0.23,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.23,0.21,0.18,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.13
07/20/2021,4.47,3.05,2.94,2.79,2.64,2.63,2.27,2.28,1.75,1.61,1.68,1.55,1.62,1.5,1.39,1.34,1.43,1.35,1.26,1.31,1.31,1.27,1.14,1.2,1.16,1.12,1.04,1.02,1.01,1.06,1.0,0.96,1.01,0.92,0.93,0.88,0.84,0.82,0.82,0.75,0.77,0.69,0.66,0.64,0.58,0.58,0.56,0.52,0.53,0.5,0.47,0.47,0.48,0.5,0.48,0.48,0.5,0.48,0.47,0.47,0.44,0.42,0.39,0.41,0.41,0.4,0.39,0.39,0.35,0.35,0.34,0.3,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.26,0.27,0.27,0.27,0.24,0.26,0.26,0.27,0.24,0.26,0.23,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.23,0.2,0.18,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07000000000002
07/21/2021,4.47,3.05,2.94,2.79,2.64,2.63,2.27,2.28,1.75,1.61,1.68,1.55,1.62,1.5,1.39,1.34,1.43,1.35,1.26,1.31,1.31,1.27,1.14,1.2,1.16,1.12,1.04,1.02,1.01,1.06,1.0,0.96,1.01,0.92,0.93,0.88,0.84,0.82,0.82,0.75,0.77,0.69,0.66,0.64,0.58,0.58,0.56,0.52,0.53,0.5,0.47,0.47,0.48,0.5,0.48,0.48,0.5,0.48,0.47,0.47,0.44,0.42,0.39,0.41,0.41,0.4,0.39,0.39,0.35,0.35,0.34,0.3,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.26,0.27,0.27,0.27,0.24,0.26,0.26,0.27,0.24,0.26,0.23,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.23,0.2,0.18,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07000000000002
07/22/2021,4.47,3.05,2.94,2.79,2.64,2.63,2.27,2.28,1.75,1.61,1.68,1.55,1.62,1.5,1.39,1.34,1.43,1.35,1.26,1.31,1.31,1.27,1.14,1.2,1.16,1.12,1.04,1.02,1.01,1.06,1.0,0.96,1.01,0.92,0.93,0.88,0.84,0.82,0.82,0.75,0.77,0.69,0.66,0.64,0.58,0.58,0.56,0.52,0.53,0.5,0.47,0.47,0.48,0.5,0.48,0.48,0.5,0.48,0.47,0.47,0.44,0.42,0.39,0.41,0.41,0.4,0.39,0.39,0.35,0.35,0.34,0.3,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.26,0.27,0.27,0.27,0.24,0.26,0.26,0.27,0.24,0.26,0.23,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.23,0.2,0.18,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07000000000002
