,FXD,FXR,FTXR,QTEC,FXL,US Dollar,First Trust Technology AlphaDEX® ETF,Us Dollars,First Trust Nasdaq Transportation ETF,n/a,SUM
10/04/2021,20.49,20.5,19.05,20.23,19.62,0.0,0.0,0.0,0.0,0.11,100.0
10/05/2021,20.45,20.51,19.1,20.1,19.65,0.0,0.0,0.0,0.0,0.19,100.0
10/06/2021,20.45,20.51,19.1,20.1,19.65,0.0,0.0,0.0,0.0,0.19,100.0
10/07/2021,20.45,20.51,19.1,20.1,19.65,0.0,0.0,0.0,0.0,0.19,100.0
10/08/2021,20.59,20.67,19.26,19.84,19.53,0.0,0.0,0.0,0.0,0.11,100.0
10/11/2021,20.32,20.67,19.25,20.04,19.65,0.0,0.0,0.0,0.0,0.08,100.01
10/12/2021,20.45,20.59,19.3,19.98,19.6,0.0,0.0,0.0,0.0,0.08,100.0
10/13/2021,20.45,20.59,19.3,19.98,19.6,0.0,0.0,0.0,0.0,0.08,100.0
10/14/2021,20.42,20.55,19.33,19.98,19.64,0.0,0.0,0.0,0.0,0.08,100.0
10/15/2021,20.47,20.5,19.41,19.86,19.67,0.0,0.0,0.0,0.0,0.08,99.99
10/18/2021,20.31,20.46,19.22,20.1,19.82,0.0,0.0,0.0,0.0,0.08,99.99
10/19/2021,20.25,20.49,19.31,20.08,19.78,0.0,0.0,0.0,0.0,0.08,99.99
10/20/2021,20.25,20.49,19.31,20.08,19.78,0.0,0.0,0.0,0.0,0.08,99.99
10/21/2021,20.29,20.45,19.18,20.19,19.81,0.0,0.0,0.0,0.0,0.08,100.0
10/22/2021,20.29,20.45,19.18,20.19,19.81,0.0,0.0,0.0,0.0,0.08,100.0
10/25/2021,20.18,20.36,19.29,20.29,19.8,0.0,0.0,0.0,0.0,0.08,100.0
10/26/2021,20.2,20.43,19.3,20.21,19.78,0.0,0.0,0.0,0.0,0.08,100.0
10/27/2021,20.2,20.43,19.3,20.21,19.78,0.0,0.0,0.0,0.0,0.08,100.0
10/28/2021,20.21,20.42,19.33,20.21,19.76,0.0,0.0,0.0,0.0,0.08,100.01
