,BBCA.JK,BBRI.JK,TLKM.JK,BMRI.JK,ASII.JK,CPIN.JK,UNVR.JK,BBNI.JK,KLBF.JK,TBIG.JK,INDF.JK,SMGR.JK,BRPT.JK,TOWR.JK,MDKA.JK,ANTM.JK,INKP.JK,GGRM.JK,ICBP.JK,ADRO.JK,INTP.JK,PGAS.JK,ACES.JK,SCMA.JK,EXCL.JK,ISAT.JK,CTRA.JK,SMRA.JK,TKIM.JK,PWON.JK,PTBA.JK,BSDE.JK,JPFA.JK,ITMG.JK,JSMR.JK,ERAA.JK,AKRA.JK,BBTN.JK,MAPI.JK,LINK.JK,IDR,MEDC.JK,SIDO.JK,BTPS.JK,APIC.JK,MNCN.JK,LPKR.JK,WSKT.JK,BJBR.JK,LSIP.JK,SMSM.JK,BOGA.JK,BJTM.JK,PNLF.JK,WIKA.JK,PTPP.JK,DMAS.JK,WSBP.JK,FREN.JK,UNTR.JK,IPTV.JK,TINS.JK,CARE.JK,TCPI.JK,TAMU.JK,AALI.JK,XTSLA,HBCFT,TARA.JK,BLTA.JK,SUGI.JK,POOL.JK,MYRX.JK,RIMO.JK,IIKP.JK,TRAM.JK,SIAP,INVS,MESU1,BBRI/R.JK,MESZ1,USD,SUM
07/09/2021,20.21,12.81,8.73,4.49,4.13,3.23,2.51,2.35,1.98,1.95,1.94,1.91,1.65,1.57,1.55,1.5,1.43,1.39,1.38,1.37,1.15,0.86,0.85,0.83,0.8,0.77,0.75,0.75,0.66,0.65,0.65,0.64,0.64,0.64,0.63,0.57,0.54,0.53,0.53,0.51,0.51,0.5,0.48,0.47,0.46,0.44,0.4,0.39,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.27,0.22,0.18,0.14,0.13,0.12,0.12,0.12,0.09,0.08,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,20.36,12.92,8.85,4.65,4.17,3.17,2.48,2.41,1.95,1.93,1.96,1.84,1.68,1.58,1.53,1.56,1.4,1.38,1.41,1.32,1.14,0.84,0.91,0.9,0.8,0.74,0.75,0.74,0.65,0.66,0.63,0.63,0.61,0.62,0.62,0.55,0.54,0.54,0.52,0.5,0.1,0.47,0.49,0.47,0.46,0.45,0.4,0.39,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.29,0.28,0.22,0.18,0.13,0.13,0.13,0.12,0.12,0.09,0.08,0.09,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/13/2021,20.36,12.92,8.85,4.65,4.17,3.17,2.48,2.41,1.95,1.93,1.96,1.84,1.68,1.58,1.53,1.56,1.4,1.38,1.41,1.32,1.14,0.84,0.91,0.9,0.8,0.74,0.75,0.74,0.65,0.66,0.63,0.63,0.61,0.62,0.62,0.55,0.54,0.54,0.52,0.5,0.1,0.47,0.49,0.47,0.46,0.45,0.4,0.39,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.29,0.28,0.22,0.18,0.13,0.13,0.13,0.12,0.12,0.09,0.08,0.09,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/14/2021,20.36,12.68,9.28,4.55,4.2,3.13,2.49,2.34,1.94,1.89,1.98,1.85,1.71,1.57,1.49,1.59,1.38,1.4,1.43,1.35,1.17,0.85,0.9,0.87,0.81,0.74,0.74,0.74,0.65,0.65,0.65,0.62,0.61,0.62,0.61,0.56,0.53,0.53,0.52,0.51,0.1,0.47,0.49,0.47,0.46,0.44,0.4,0.4,0.39,0.37,0.37,0.36,0.34,0.32,0.32,0.3,0.27,0.22,0.17,0.13,0.12,0.13,0.12,0.11,0.09,0.08,0.08,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/15/2021,20.36,12.68,9.28,4.55,4.2,3.13,2.49,2.34,1.94,1.89,1.98,1.85,1.71,1.57,1.49,1.59,1.38,1.4,1.43,1.35,1.17,0.85,0.9,0.87,0.81,0.74,0.74,0.74,0.65,0.65,0.65,0.62,0.61,0.62,0.61,0.56,0.53,0.53,0.52,0.51,0.1,0.47,0.49,0.47,0.46,0.44,0.4,0.4,0.39,0.37,0.37,0.36,0.34,0.32,0.32,0.3,0.27,0.22,0.17,0.13,0.12,0.13,0.12,0.11,0.09,0.08,0.08,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/16/2021,20.59,12.7,9.08,4.58,4.22,3.19,2.61,2.38,1.96,1.89,2.04,1.8,1.63,1.57,1.48,1.57,1.39,1.42,1.5,1.34,1.17,0.84,0.9,0.82,0.76,0.75,0.71,0.72,0.64,0.65,0.64,0.6,0.62,0.61,0.63,0.53,0.53,0.51,0.5,0.5,0.1,0.46,0.5,0.45,0.47,0.42,0.39,0.39,0.39,0.39,0.39,0.36,0.34,0.32,0.32,0.29,0.27,0.21,0.16,0.13,0.11,0.13,0.12,0.11,0.09,0.08,0.04,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/19/2021,20.7,12.72,9.2,4.63,4.11,3.17,2.62,2.39,2.0,1.92,2.04,1.76,1.55,1.59,1.53,1.6,1.37,1.39,1.45,1.32,1.14,0.84,0.85,0.85,0.77,0.75,0.7,0.69,0.61,0.61,0.64,0.6,0.61,0.63,0.67,0.54,0.52,0.51,0.5,0.52,0.1,0.45,0.5,0.45,0.46,0.41,0.36,0.4,0.38,0.39,0.37,0.36,0.33,0.32,0.32,0.28,0.27,0.21,0.18,0.13,0.11,0.13,0.12,0.11,0.09,0.08,0.04,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,20.7,12.72,9.2,4.63,4.11,3.17,2.62,2.39,2.0,1.92,2.04,1.76,1.55,1.59,1.53,1.6,1.37,1.39,1.45,1.32,1.14,0.84,0.85,0.85,0.77,0.75,0.7,0.69,0.61,0.61,0.64,0.6,0.61,0.63,0.67,0.54,0.52,0.51,0.5,0.52,0.1,0.45,0.5,0.45,0.46,0.41,0.36,0.4,0.38,0.39,0.37,0.36,0.33,0.32,0.32,0.28,0.27,0.21,0.18,0.13,0.11,0.13,0.12,0.11,0.09,0.08,0.04,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,20.38,12.65,9.49,4.54,4.1,3.2,2.59,2.44,2.05,1.87,2.04,1.79,1.56,1.61,1.47,1.62,1.48,1.28,1.42,1.35,1.12,0.84,0.81,0.8,0.77,0.75,0.73,0.68,0.64,0.61,0.66,0.62,0.62,0.65,0.67,0.51,0.6,0.52,0.5,0.5,0.23,0.44,0.49,0.43,0.46,0.42,0.36,0.39,0.38,0.4,0.36,0.36,0.33,0.32,0.32,0.28,0.27,0.2,0.17,0.13,0.11,0.14,0.12,0.12,0.09,0.08,0.04,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/23/2021,20.38,12.65,9.49,4.54,4.1,3.2,2.59,2.44,2.05,1.87,2.04,1.79,1.56,1.61,1.47,1.62,1.48,1.28,1.42,1.35,1.12,0.84,0.81,0.8,0.77,0.75,0.73,0.68,0.64,0.61,0.66,0.62,0.62,0.65,0.67,0.51,0.6,0.52,0.5,0.5,0.23,0.44,0.49,0.43,0.46,0.42,0.36,0.39,0.38,0.4,0.36,0.36,0.33,0.32,0.32,0.28,0.27,0.2,0.17,0.13,0.11,0.14,0.12,0.12,0.09,0.08,0.04,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
