,DE,NTR.TO,ADM,CTVA,6326.T,CNHI.MI,FMC,TTC,LW,MOWI.OL,MOS,BG,DAR,CF,YAR.OL,288.HK,AGCO,SMG,2020.SR,F34.SI,SQM/B.SN,INGR,TATACONSUM.NS,UPL.NS,ICL.TA,BAKKA.OL,2280.SR,SALM.OL,SAFM,CPIN.JK,PIIND.NS,2282.T,CPF-R.BK,CWK.L,002714.SZ,SDF.DE,PHOR.L,LSG.OL,OCI.AS,IOICORP.KL,KLK.KL,600887.SS,LNN,600438.SS,SIMEPLT.KL,1722.TW,QL.KL,COROMANDEL.NS,ELD.AX,CALM,SMTO3.SA,FDP,AUSS.OL,SZU.DE,ILCO.TA,ESCORTS.NS,NUF.AX,E5H.SI,PPC,BAYERCROP.NS,AGRO,KWS.DE,1377.T,CGC.AX,ING.AX,SLCE3.SA,1333.T,1610.HK,300498.SZ,000895.SZ,APPH,VFF.TO,HYFM,600426.SS,4996.T,ASA.OL,1117.HK,CHAMBLFERT.NS,SHV.AX,BALRAMCHIN.NS,3983.HK,000876.SZ,AFN.TO,EB5.SI,JPFA.JK,ENGRO.,OIZ.IR,XTSLA,SUMICHEM.NS,TGR.AX,6010.SR,GSF.OL,AGRO.L,AVD,GENP.KL,RIN.PA,2913.TW,EIDPARRY.NS,ARL.JO,1379.T,ATT.WA,RSI.TO,1215.TW,OCE.JO,002157.SZ,HEKTS.IS,297.HK,UTDPLT.KL,FFC.,6250.T,GNFC.NS,CNH,SCST.ST,GUBRF.IS,600486.SS,003380.KQ,002385.SZ,VITL,6050.SR,AAC.AX,6070.SR,RALLIS.NS,600598.SS,LSIP.JK,JPY,2109.T,KSCL.NS,006040.KS,EFERT.,UD2.SI,TTRAK.IS,NRS.OL,1866.HK,HKD,002299.SZ,1375.T,AALI.JK,025860.KS,KSL-R.BK,4997.T,FFARM.AS,000998.SZ,MFPC.CA,38.HK,8043.T,4025.T,CAD,MTL.,2053.T,GFPT-R.BK,AKBM.OL,TFG-R.BK,AUD,LHI.KL,NOK,MYR,PKR,ILS,SAR,GBP,6863EUR,SEK,MXN,CHF,DKK,EUR,INR,TFG-R3,TRY,BRL,PLN,SGD,ZAR,KRW,IDR,TWD,IIKP.JK,LHI,EFERT,TFG.R,USD,HEKTS.E.IS,GUBRF.E.IS,TTRAK.E.IS,THB,CLP,SQM.B.SN,HUSQ B.ST,SUM
07/09/2021,19.8,6.39,6.31,6.24,4.02,3.17,2.63,2.26,2.22,2.18,2.08,2.07,2.05,2.03,1.77,1.61,1.56,1.47,1.32,1.26,1.19,1.17,1.17,1.02,0.92,0.84,0.77,0.73,0.71,0.64,0.63,0.62,0.6,0.57,0.55,0.54,0.52,0.52,0.44,0.43,0.41,0.38,0.34,0.32,0.31,0.3,0.28,0.27,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/12/2021,19.78,6.54,6.38,6.17,4.01,3.1,2.63,2.31,2.25,2.15,2.14,2.06,2.07,2.05,1.79,1.59,1.54,1.44,1.32,1.22,1.2,1.2,1.18,1.05,0.89,0.82,0.77,0.71,0.71,0.63,0.64,0.62,0.59,0.57,0.54,0.53,0.52,0.51,0.45,0.43,0.4,0.37,0.34,0.33,0.3,0.3,0.28,0.27,0.25,0.26,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.11,0.11,0.12,0.11,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
07/13/2021,19.78,6.54,6.38,6.17,4.01,3.1,2.63,2.31,2.25,2.15,2.14,2.06,2.07,2.05,1.79,1.59,1.54,1.44,1.32,1.22,1.2,1.2,1.18,1.05,0.89,0.82,0.77,0.71,0.71,0.63,0.64,0.62,0.59,0.57,0.54,0.53,0.52,0.51,0.45,0.43,0.4,0.37,0.34,0.33,0.3,0.3,0.28,0.27,0.25,0.26,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.11,0.11,0.12,0.11,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
07/14/2021,19.81,6.62,6.4,6.15,3.95,3.16,2.65,2.32,2.25,2.15,2.18,2.06,2.06,2.06,1.82,1.55,1.57,1.46,1.3,1.22,1.24,1.19,1.17,1.03,0.88,0.82,0.76,0.71,0.7,0.61,0.64,0.61,0.59,0.57,0.53,0.54,0.51,0.5,0.46,0.42,0.39,0.37,0.34,0.33,0.3,0.29,0.28,0.27,0.24,0.25,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.11,0.12,0.11,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,19.81,6.62,6.4,6.15,3.95,3.16,2.65,2.32,2.25,2.15,2.18,2.06,2.06,2.06,1.82,1.55,1.57,1.46,1.3,1.22,1.24,1.19,1.17,1.03,0.88,0.82,0.76,0.71,0.7,0.61,0.64,0.61,0.59,0.57,0.53,0.54,0.51,0.5,0.46,0.42,0.39,0.37,0.34,0.33,0.3,0.29,0.28,0.27,0.24,0.25,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.11,0.12,0.11,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,19.89,6.67,6.29,6.1,4.07,3.19,2.64,2.27,2.17,2.16,2.15,2.04,2.05,2.03,1.83,1.55,1.56,1.44,1.3,1.24,1.31,1.12,1.18,1.06,0.92,0.82,0.74,0.71,0.69,0.62,0.63,0.63,0.59,0.56,0.54,0.53,0.51,0.5,0.46,0.42,0.4,0.38,0.33,0.34,0.3,0.29,0.28,0.26,0.24,0.25,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.12,0.13,0.12,0.1,0.12,0.13,0.13,0.11,0.13,0.11,0.1,0.11,0.09,0.1,0.1,0.08,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/19/2021,19.76,6.71,6.31,6.05,4.07,3.16,2.66,2.3,2.21,2.15,2.11,2.03,2.09,2.01,1.88,1.54,1.53,1.42,1.32,1.24,1.29,1.14,1.19,1.07,0.93,0.83,0.75,0.72,0.7,0.63,0.64,0.64,0.59,0.54,0.54,0.54,0.51,0.51,0.46,0.42,0.39,0.39,0.33,0.32,0.28,0.3,0.28,0.26,0.25,0.26,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.11,0.14,0.12,0.1,0.11,0.13,0.13,0.11,0.13,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09000000000002
07/20/2021,19.76,6.71,6.31,6.05,4.07,3.16,2.66,2.3,2.21,2.15,2.11,2.03,2.09,2.01,1.88,1.54,1.53,1.42,1.32,1.24,1.29,1.14,1.19,1.07,0.93,0.83,0.75,0.72,0.7,0.63,0.64,0.64,0.59,0.54,0.54,0.54,0.51,0.51,0.46,0.42,0.39,0.39,0.33,0.32,0.28,0.3,0.28,0.26,0.25,0.26,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.11,0.14,0.12,0.1,0.11,0.13,0.13,0.11,0.13,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09000000000002
07/27/2021,20.27,6.57,6.21,6.1,4.08,3.16,2.66,2.3,2.11,2.17,2.1,2.02,2.13,1.96,1.79,1.5,1.53,1.47,1.33,1.24,1.33,1.13,1.19,1.07,0.92,0.85,0.76,0.73,0.7,0.64,0.65,0.65,0.61,0.56,0.48,0.52,0.5,0.53,0.44,0.42,0.4,0.38,0.33,0.36,0.29,0.31,0.29,0.26,0.26,0.25,0.23,0.21,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.21,0.18,0.19,0.18,0.18,0.19,0.16,0.17,0.14,0.15,0.14,0.13,0.13,0.11,0.13,0.12,0.1,0.11,0.13,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.06,0.04,0.01,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.02,0.03,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11999999999998
07/29/2021,20.37,6.51,6.28,6.06,4.1,3.21,2.66,2.33,2.14,2.17,2.1,2.01,2.14,1.96,1.8,1.47,1.55,1.48,1.37,1.21,1.23,1.14,1.2,1.05,0.96,0.85,0.75,0.73,0.71,0.62,0.66,0.65,0.6,0.58,0.43,0.54,0.5,0.53,0.45,0.42,0.39,0.36,0.33,0.35,0.28,0.3,0.28,0.28,0.26,0.25,0.22,0.21,0.22,0.21,0.22,0.2,0.2,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.19,0.16,0.17,0.13,0.15,0.14,0.13,0.13,0.11,0.12,0.12,0.1,0.1,0.13,0.13,0.11,0.11,0.09,0.1,0.11,0.09,0.1,0.1,0.08,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.06,0.05,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.06,0.04,0.01,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/30/2021,20.41,6.49,6.37,6.14,4.21,3.21,2.67,2.33,1.87,2.16,2.09,2.04,2.13,1.97,1.8,1.43,1.55,1.47,1.41,1.21,1.24,1.15,1.2,1.05,0.96,0.84,0.75,0.73,0.71,0.62,0.65,0.66,0.59,0.58,0.4,0.54,0.49,0.53,0.45,0.43,0.39,0.34,0.33,0.34,0.28,0.3,0.28,0.27,0.26,0.25,0.22,0.21,0.22,0.21,0.23,0.2,0.2,0.19,0.21,0.2,0.18,0.19,0.18,0.18,0.18,0.16,0.17,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.12,0.1,0.1,0.13,0.13,0.11,0.1,0.09,0.09,0.11,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.08,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.04,0.01,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.02,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/02/2021,20.47,6.52,6.36,6.14,4.13,3.27,2.64,2.31,1.88,2.17,2.14,2.13,2.15,1.95,1.77,1.46,1.55,1.43,1.4,1.19,1.26,1.14,1.16,1.05,0.98,0.83,0.74,0.72,0.71,0.62,0.63,0.64,0.59,0.57,0.39,0.53,0.49,0.52,0.44,0.42,0.38,0.35,0.33,0.35,0.28,0.3,0.28,0.26,0.25,0.25,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.21,0.21,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.13,0.14,0.13,0.12,0.13,0.11,0.12,0.12,0.1,0.1,0.13,0.13,0.12,0.11,0.09,0.1,0.11,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.05,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.04,0.01,0.04,0.05,0.05,0.05,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/03/2021,20.63,6.48,6.39,6.1,4.09,3.27,2.65,2.36,1.87,2.15,2.16,2.08,2.15,1.94,1.76,1.52,1.61,1.42,1.4,1.18,1.24,1.13,1.17,1.03,0.99,0.82,0.75,0.72,0.72,0.6,0.63,0.64,0.58,0.57,0.4,0.53,0.5,0.52,0.44,0.42,0.37,0.36,0.34,0.35,0.26,0.3,0.28,0.28,0.25,0.25,0.21,0.21,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.2,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.13,0.14,0.13,0.12,0.13,0.11,0.11,0.12,0.1,0.1,0.13,0.14,0.12,0.1,0.09,0.09,0.11,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.05,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.05,0.05,0.04,0.05,0.05,0.04,0.0,0.04,0.05,0.06,0.04,0.01,0.04,0.05,0.05,0.05,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.02,0.0,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
08/04/2021,20.63,6.48,6.39,6.1,4.09,3.27,2.65,2.36,1.87,2.15,2.16,2.08,2.15,1.94,1.76,1.52,1.61,1.42,1.4,1.18,1.24,1.13,1.17,1.03,0.99,0.82,0.75,0.72,0.72,0.6,0.63,0.64,0.58,0.57,0.4,0.53,0.5,0.52,0.44,0.42,0.37,0.36,0.34,0.35,0.26,0.3,0.28,0.28,0.25,0.25,0.21,0.21,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.2,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.13,0.14,0.13,0.12,0.13,0.11,0.11,0.12,0.1,0.1,0.13,0.14,0.12,0.1,0.09,0.09,0.11,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.05,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.06,0.04,0.01,0.04,0.05,0.05,0.05,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
