,Cash,Dj U.S. Financials Index Swap Goldman Sachs International - Cash Offset,Dj U.S. Financials Index Swap Bank Of America Na - Cash Offset,Dj U.S. Financials Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Financials Index Swap Societe Generale - Cash Offset,Dj U.S. Financials Index Swap Ubs Ag - Cash Offset,Dj U.S. Financials Index Swap Bnp Paribas - Cash Offset,Dj U.S. Financials Index Swap Citibank Na - Cash Offset,Dj U.S. Financials Index Swap Citibank Na,Dj U.S. Financials Index Swap Bnp Paribas,Dj U.S. Financials Index Swap Ubs Ag,Dj U.S. Financials Index Swap Societe Generale,Dj U.S. Financials Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Financials Index Swap Bank Of America Na,Dj U.S. Financials Index Swap Goldman Sachs International,SUM
07/09/2021,100.0,48.65,45.86,34.69,19.73,18.81,16.24,16.08,-16.08,-16.24,-18.81,-19.73,-34.69,-45.86,-48.65,99.99999999999996
07/12/2021,100.0,48.65,45.86,34.69,19.73,18.81,16.24,16.08,-16.08,-16.24,-18.81,-19.73,-34.69,-45.86,-48.65,99.99999999999996
07/13/2021,100.0,48.65,45.86,34.69,19.73,18.81,16.24,16.08,-16.08,-16.24,-18.81,-19.73,-34.69,-45.86,-48.65,99.99999999999996
07/14/2021,100.0,48.65,45.86,34.69,19.73,18.81,16.24,16.08,-16.08,-16.24,-18.81,-19.73,-34.69,-45.86,-48.65,99.99999999999996
07/15/2021,100.0,48.65,45.86,34.69,19.73,18.81,16.24,16.08,-16.08,-16.24,-18.81,-19.73,-34.69,-45.86,-48.65,99.99999999999997
