,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust C 3.90,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust P 390.03,US Dollar,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust P 351.03,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust C 451.85,SUM
07/09/2021,100.79,2.77,0.75,-1.55,-2.76,100.0
07/12/2021,101.13,2.63,0.75,-1.47,-3.04,100.0
07/13/2021,101.13,2.63,0.75,-1.47,-3.04,100.0
07/22/2021,100.13,3.54,0.76,-1.99,-2.43,100.01
08/03/2021,101.56,2.55,0.76,-1.47,-3.4,100.0
08/04/2021,101.56,2.55,0.76,-1.47,-3.4,100.0
