,ROG.SW,NESN.SW,2603.TW,RIO.L,OR.PA,ENB.TO,2330.TW,RY.TO,700.HK,CBA.AX,SIE.DE,RMS.PA,4901.T,WES.AX,TCS.NS,6409.TW,GSK.L,5108.T,NOVN.SW,FMG.AX,6952.T,BATS.L,AMBUJACEM.NS,ITX.MC,SSE.L,088980.KS,MTSS.ME,LOGN.SW,BP.L,005930.KS,TOASO.IS,2914.T,3988.HK,J36.SI,7309.T,EPI A.ST,GMEXICOB.MX,1878.T,ENG.MC,IMB.L,1928.T,AZJ.AX,BAJAJ-AUTO.NS,NESTE.HE,ZURN.SW,NTGY.MC,KIO.JO,MGNT.ME,BMED.MI,3092.T,KNEBV.HE,MOEX.ME,ENEL.MI,3034.TW,BSANTANDER.SN,KPN.AS,AGL.AX,NTES,2328.HK,2301.TW,2388.HK,EVR.L,RDSA.AS,1801.T,6818.HK,1088.HK,RECLTD.NS,WPRTS.KL,SLA.L,3383.HK,FROTO.IS,4519.T,ALV.DE,1378.HK,HEROMOTOCO.NS,ORNBV.HE,4768.T,BBSE3.SA,7956.T,COLO B.CO,COLR.BR,TOPGLOV.KL,TEL.OL,ASML.AS,GWO.TO,9433.T,4739.T,VER.VI,096530.KQ,7011.T,TTE.PA,S68.SI,SBER.ME,1888.HK,PAGEIND.NS,VOD.L,RIO.AX,ADRO.JK,AGS.BR,2385.TW,3808.HK,MUV2.DE,Cash,8001.T,ITC.NS,8058.T,NA.TO,TEF.MC,AV.L,PUB.PA,SAMPO.HE,3998.HK,MC.PA,EQNR.OL,9432.T,LGEN.L,SRG.MI,TRI.TO,035760.KQ,2357.TW,4732.T,DOL.TO,9434.T,MPL.AX,8053.T,11.HK,3231.TW,EN.PA,ICA.ST,DLG.L,HTO.AT,KBX.DE,CHILE.SN,ORK.OL,ACA.PA,2356.TW,9143.T,POLY.L,1216.TW,MAGN.ME,KBANK/F.BK,TAEE11.SA,REE.MC,SNPMF,BCE.TO,FPH.NZ,NLMK.ME,4938.TW,PFC.NS,7270.T,NDA SE.ST,ELE.MC,2324.TW,CTC.A.TO,LDHUF,2702.T,ACS.MC,1813.HK,EVK.DE,6823.HK,CHMF.ME,3659.T,ANTO.L,HARTA.KL,U.S. Dollar For Futures,PROX.BR,SWMA.ST,3141.T,1988.HK,3328.HK,RAA.DE,7203.T,NOVO B.CO,Chinese Renminbi (Yuan),LKOH.ME,BIMAS.IS,Japanese Yen,Euro,HOT.DE,9697.T,DIM.PA,6503.T,2777.HK,AZN.L,MAYBANK.KL,1299.HK,MARK.QA,DPW.DE,Hong Kong Dollar,ULVR.L,ATCOB.ST,RYDBF,GFC.PA,ALFAA.MX,BEL.NS,British Pound,SAN.PA,EDEN.PA,9984.T,REL.L,n/a,TOASO.E.IS,ABDN.L,FROTO.E.IS,BIMAS.E.IS,267.HK,SPK.NZ,6758.T,EXX.JO,9504.T,D7C.,SUM
07/09/2021,3.55,2.82,2.26,1.68,1.49,1.49,1.43,1.36,1.21,1.21,1.14,1.0,0.97,0.92,0.9,0.9,0.89,0.88,0.87,0.84,0.83,0.82,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.67,0.67,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.6,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.54,0.53,0.51,0.5,0.5,0.48,0.46,0.46,0.45,0.44,0.43,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39
09/30/2021,3.65,2.88,1.45,1.75,1.56,1.46,1.42,1.36,1.01,1.19,1.13,1.07,0.95,0.94,0.87,0.93,0.89,0.84,0.88,0.87,0.8,0.79,1.0,0.79,0.78,0.79,0.72,0.72,0.73,0.77,0.0,0.8,0.76,0.73,0.8,0.78,0.74,0.8,0.74,0.75,0.73,0.76,0.7,0.74,0.76,0.74,0.85,0.77,0.75,0.75,0.74,0.74,0.72,0.75,0.74,0.75,0.62,0.64,0.64,0.78,0.66,0.7,0.67,0.69,0.62,0.66,0.69,0.62,0.0,0.55,0.0,0.59,0.62,0.6,0.57,0.58,0.58,0.53,0.59,0.64,0.58,0.56,0.55,0.59,0.51,0.5,0.5,0.47,0.38,0.44,0.44,0.47,0.43,0.37,0.43,0.39,0.42,0.42,0.37,0.39,0.32,0.37,0.0,0.36,0.36,0.34,0.31,0.29,0.29,0.3,0.3,0.26,0.3,0.26,0.28,0.28,0.29,0.29,0.24,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.2,0.24,0.25,0.24,0.24,0.23,0.21,0.2,0.22,0.19,0.22,0.21,0.21,0.25,0.18,0.21,0.23,0.19,0.21,0.21,0.23,0.2,0.21,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.19,0.16,0.2,0.18,0.21,0.17,0.19,0.18,0.0,0.18,0.17,0.18,0.14,0.14,0.18,0.15,0.16,0.0,0.12,0.0,0.0,0.0,0.13,0.11,0.14,0.11,0.09,0.1,0.1,0.1,0.1,0.09,0.0,0.09,0.09,0.08,0.08,0.07,0.07,0.0,0.06,0.06,0.04,0.05,2.38,0.85,0.68,0.66,0.14,0.04,0.04,0.04,0.04,0.04,0.04,100.10999999999999
