,NESN.SW,7203.T,ASML.AS,ROG.SW,Cash,NOVN.SW,MC.PA,RY.TO,TD.TO,HSBA.L,SHOP,AZN.L,TTE.PA,ULVR.L,SAP.DE,ALV.DE,1299.HK,NOVO B.CO,GSK.L,BP.L,RIO.L,CBA.AX,6758.T,SIE.DE,BATS.L,SAN.PA,BNS.TO,DGE.L,RDSA.AS,OR.PA,RYDBF,BNP.PA,BHP.AX,DAI.DE,BAS.DE,CSL.AX,ENEL.MI,DTE.DE,6861.T,9984.T,8306.T,BMO.TO,ZURN.SW,AI.PA,SAN.MC,BHP.L,SU.PA,AAL.L,6098.T,PTBL.TA,UBSG.SW,AIR.PA,ANZ.AX,4502.T,BAYN.DE,INGA.AS,CP.TO,ADYEN.AS,ENB.TO,7267.T,PRU.L,9433.T,6501.T,388.HK,CS.PA,ISP.MI,DPW.DE,7974.T,8316.T,CNR.TO,CM.TO,BAM.A.TO,IBE.MC,NAB.AX,ADS.DE,CNQ.TO,4063.T,WBC.AX,ABBN.SW,RITN.,KER.PA,TCN.TO,8035.T,LIF.TO,GLEN.L,6594.T,WCP.TO,RKT.L,VOW3.DE,MUV2.DE,D05.SI,LLOY.L,CPG.TO,DRX.L,VOD.L,CWB.TO,NXI.PA,SGO.PA,WES.AX,O39.SI,ABI.BR,8001.T,7741.T,BBVA.MC,RIO.AX,PXT.TO,IFX.DE,REL.L,PLUS.L,SIKA.SW,DG.PA,6367.T,8058.T,LONN.SW,3382.T,2343.HK,8411.T,6981.T,9432.T,SAF.PA,9983.T,8766.T,MFC.TO,8031.T,BARC.L,EL.PA,JUP.L,SLF.TO,EURN.BR,TRP.TO,ELD.TO,BPE.MI,RI.PA,SYDB.CO,MCRO.L,BMW.DE,WG.L,EQX,AD.AS,IPO.L,DC.L,1820.T,RMS.PA,DSV.CO,ECN.TO,NG.L,6954.T,ARG.PA,PAG.L,BILI A.ST,HEXA B.ST,ML.PA,TCAP.L,CEY.L,VOLV B.ST,5108.T,BN.PA,BAB.L,PTBL.TA.1,U11.SI,FMG.AX,PHIA.AS,6702.T,HOLN.SW,MQG.AX,CSGN.SW,HCG.TO,INVE B.ST,CLNX.MC,MG.TO,303.HK,IPS.PA,1719.T,3107.T,RAT.L,CPG.L,TSCO.L,CRH.L,INTER.AS,SHA.DE,RRL.AX,SCHO.CO,5857.T,4568.T,ENI.MI,FLOW.AS,6273.T,9072.T,NWC.TO,REDD.L,VATN.SW,GROW.L,PRU.AX,EXPN.L,8334.T,IFP.TO,LOG.MC,6752.T,VCT.PA,NA.TO,PRX.AS,TS0U.SI,SAMPO.HE,7762.T,GIVN.SW,WCN.TO,VNA.DE,9069.T,ATCO A.ST,SZG.DE,FGP.L,RCH.L,DSYA.,n/a,669.HK,7994.T,5803.T,ALC.SW,BAM,CFR.SW,688101.SS,DSY.PA,GMAB.CO,688001.SS,SUM
07/09/2021,0.95,0.85,0.76,0.7,0.66,0.6,0.55,0.53,0.47,0.46,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25000000000001
07/23/2021,0.98,0.89,0.78,0.74,0.88,0.61,0.55,0.53,0.44,0.44,0.45,0.41,0.39,0.42,0.43,0.41,0.4,0.41,0.36,0.31,0.34,0.34,0.33,0.31,0.31,0.32,0.29,0.3,0.27,0.3,0.27,0.26,0.29,0.26,0.26,0.27,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.24,0.22,0.24,0.22,0.21,0.23,0.0,0.21,0.2,0.2,0.22,0.21,0.19,0.19,0.22,0.19,0.2,0.19,0.21,0.21,0.23,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.15,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.13,0.16,0.16,0.15,0.16,0.15,0.11,0.15,0.15,0.14,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.13,0.15,0.13,0.14,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.17,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.11,0.13,0.11,0.0,0.13,0.1,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.30000000000001
07/26/2021,0.95,0.86,0.83,0.7,0.85,0.6,0.55,0.53,0.44,0.44,0.48,0.48,0.39,0.39,0.41,0.42,0.4,0.4,0.35,0.31,0.34,0.34,0.33,0.33,0.31,0.32,0.3,0.3,0.28,0.3,0.27,0.27,0.29,0.26,0.27,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.22,0.24,0.23,0.22,0.22,0.0,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.22,0.19,0.19,0.2,0.2,0.2,0.24,0.2,0.19,0.2,0.17,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.16,0.16,0.17,0.18,0.17,0.17,0.17,0.15,0.16,0.16,0.17,0.14,0.16,0.16,0.15,0.16,0.15,0.12,0.15,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.12,0.11,0.13,0.13,0.13,0.12,0.17,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.12,0.11,0.12,0.11,0.0,0.13,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.13,0.12,0.12,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39
07/27/2021,0.95,0.86,0.83,0.7,0.85,0.6,0.55,0.53,0.44,0.44,0.48,0.48,0.39,0.39,0.41,0.42,0.4,0.4,0.35,0.31,0.34,0.34,0.33,0.33,0.31,0.32,0.3,0.3,0.28,0.3,0.27,0.27,0.29,0.26,0.27,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.22,0.24,0.23,0.22,0.22,0.0,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.22,0.19,0.19,0.2,0.2,0.2,0.24,0.2,0.19,0.2,0.17,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.16,0.16,0.17,0.18,0.17,0.17,0.17,0.15,0.16,0.16,0.17,0.14,0.16,0.16,0.15,0.16,0.15,0.12,0.15,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.12,0.11,0.13,0.13,0.13,0.12,0.17,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.12,0.11,0.12,0.11,0.0,0.13,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.13,0.12,0.12,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39
07/28/2021,0.96,0.86,0.85,0.7,0.85,0.61,0.56,0.53,0.44,0.44,0.49,0.48,0.38,0.4,0.4,0.42,0.39,0.41,0.35,0.31,0.35,0.33,0.32,0.33,0.31,0.32,0.3,0.3,0.28,0.3,0.27,0.27,0.29,0.27,0.27,0.27,0.27,0.26,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.25,0.23,0.22,0.22,0.0,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.23,0.19,0.19,0.2,0.2,0.2,0.23,0.2,0.19,0.2,0.17,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.15,0.16,0.16,0.17,0.14,0.16,0.16,0.16,0.16,0.15,0.12,0.15,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.13,0.12,0.17,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.1,0.12,0.11,0.12,0.11,0.1,0.13,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.13,0.12,0.12,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.45000000000001
07/29/2021,0.94,0.86,0.84,0.69,0.85,0.6,0.56,0.53,0.44,0.44,0.47,0.47,0.39,0.39,0.4,0.42,0.38,0.4,0.35,0.32,0.36,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.28,0.3,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.26,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.25,0.23,0.23,0.23,0.0,0.23,0.21,0.2,0.21,0.21,0.2,0.2,0.22,0.19,0.19,0.2,0.2,0.2,0.22,0.2,0.19,0.2,0.17,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.16,0.16,0.12,0.15,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.12,0.13,0.14,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.1,0.12,0.11,0.12,0.11,0.1,0.13,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.400000000000006
07/30/2021,0.95,0.87,0.82,0.7,0.85,0.6,0.56,0.53,0.44,0.45,0.46,0.47,0.39,0.39,0.4,0.42,0.37,0.4,0.35,0.32,0.35,0.34,0.33,0.32,0.31,0.31,0.29,0.3,0.28,0.3,0.28,0.27,0.3,0.27,0.27,0.27,0.27,0.26,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.25,0.23,0.23,0.23,0.0,0.23,0.21,0.21,0.21,0.2,0.2,0.19,0.22,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.14,0.14,0.15,0.16,0.15,0.16,0.12,0.16,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.12,0.13,0.14,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.12,0.11,0.13,0.11,0.1,0.13,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.0,0.11,0.12,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39
08/02/2021,0.95,0.86,0.85,0.7,0.85,0.6,0.57,0.53,0.44,0.44,0.46,0.47,0.39,0.39,0.41,0.42,0.37,0.41,0.35,0.32,0.36,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.28,0.3,0.28,0.27,0.29,0.27,0.26,0.27,0.27,0.25,0.25,0.22,0.24,0.23,0.24,0.24,0.22,0.25,0.23,0.24,0.22,0.0,0.23,0.22,0.2,0.21,0.2,0.2,0.19,0.23,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.17,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.14,0.14,0.15,0.15,0.16,0.16,0.12,0.16,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.12,0.11,0.13,0.11,0.1,0.13,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.0,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.45000000000001
08/03/2021,0.95,0.86,0.85,0.7,0.85,0.6,0.57,0.53,0.44,0.44,0.46,0.47,0.39,0.39,0.41,0.42,0.37,0.41,0.35,0.32,0.36,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.28,0.3,0.28,0.27,0.29,0.27,0.26,0.27,0.27,0.25,0.25,0.22,0.24,0.23,0.24,0.24,0.22,0.25,0.23,0.24,0.22,0.0,0.23,0.22,0.2,0.21,0.2,0.2,0.19,0.23,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.17,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.14,0.14,0.15,0.15,0.16,0.16,0.12,0.16,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.12,0.11,0.13,0.11,0.1,0.13,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.0,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.45000000000001
08/04/2021,0.95,0.86,0.85,0.7,0.85,0.6,0.57,0.53,0.44,0.44,0.46,0.47,0.39,0.39,0.41,0.42,0.37,0.41,0.35,0.32,0.36,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.28,0.3,0.28,0.27,0.29,0.27,0.26,0.27,0.27,0.25,0.25,0.22,0.24,0.23,0.24,0.24,0.22,0.25,0.23,0.24,0.22,0.0,0.23,0.22,0.2,0.21,0.2,0.2,0.19,0.23,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.17,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.14,0.14,0.15,0.15,0.16,0.16,0.12,0.16,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.14,0.15,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.0,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.12,0.11,0.13,0.11,0.1,0.13,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.0,0.12,0.12,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.45000000000001
