,FHMS_K127 A2,FHMS_K087 A2,FHMS-K091 A2,FHMS_K070 A2,FHMS_K110 A2,FHMS_K108 A2,FHMS_K120-A2 A2,FHMS_K072 A2,FHMS_K050 A2,GSMS_13-GC16 A4,FHMS_K106 A2,FNMA_20-M1 A2,FHMS_K089 A1,FHMS_K059 A2,FHMS_K106 A1,BLK CSH FND TREASURY SL AGENCY,CGCMT_18-C5 A4,FHMS_K074 A2,FHMS_K092 A2,JPMDB_17-C5 A5,FNMA_19-M1 A2,JPMDB_17-C7 A5,FHLMC_K036 A2,FHMS_K107 A2,BNK_19-B19 A2,BBCMS_20-C6 A4,MSBAM_16-C28 A4,WFCM_16-LC24 A4,FHLMC_K029 A2,FHMS_K060 A2,FHMS_K119 A2,JPMBB_14-C21 A5,FHLMC_K114 A2,FHMS_K103 A2,WFCM_20-C57 A4,BMARK_18-B5 A4,FHMS_K051 A2,FHMS_K065 A2,FNMA_13-M14 A2,FHLMC_K028 A2,FHMS_K073 A2,WFCM_17-C39 A5,FNMA_19-M5 A2,FHMS_K089 A2,GSMS_15-GC34 A4,JPMCC_15-JP1 A5,JPMBB_15-C29 A4,FNMA_15-M10 A2,CGCMT_19-GC41 A5,FHMS_K734 A2,FNMA_17-M8-A2 A2,COMM_15-CR26 A4,WFCM_18-C47 A4,BBCMS_18-C2 A5,BMARK_21-B26 A5,CGCMT_16-C1 A4,FHLMC_1518 A2,FHMS_K159 A3,FHLMC_13-K034 A2,FHMS_K088 A2,FHMS_K076 A2,FHMS_K079 A2,BMARK_18-B4 A5,FHMS_K082 A2,COMM_13-CR9 A4,CGCMT_14-GC21 A5,MSC_17-HR2 A4,FHLMC_K102 A2,BBCMS_19-C4 A5,FHLMC_K735 A2,CSAIL_19-C17 A5,FHMS_K069 A-2,FHMS_18-K730 A-2,BBCMS_19-C5 A4,CGCMT_19-C7 A4,COMM_16-CR28 A4,WFCM_17-C38 A5,FHMS_K128 A2,FNMA_20-M01 A1,BMARK_21-B25 A5,COMM_14-LC15 A4,FHMS_13-K031 A2,FHLMC_13-K033 A2,WFCM_20-C56 ASB,BMARK_20-B16 A5,FNMA_16-M9 A2,BANK_21-BN32 A5,CGCMT_20-GC46 A5,FHMS_K728 A2,WFRBS_13-C15 A4,FHMS_K104 A2,FHLK_15-20 A2,MSBAM 2015-C20 A4,FHMS_K086 A2,FNMA_17-M14 A2,BANK_19-BN16 A4,WFRBS_14-C20 A5,FREMF_20-K109 A2,FHMS_K740 A2,FHMS_K125 A2,BBCMS_19-C3 A4,COMM_15-CR22 ASB,FHMS_K049 A2,UBSCM_18-C12 ASB,FHMS_K099 A2,BMARK_18-B2 A5,FHMS_K116 A2,FHMS_K065 A1,FHMS_K118 A1,WFCM_19-C49 A5,BMARK_20-IG1 A3,CGCMT_16-P4 A4,FHMS_K057 A2,FHMS_K154 A2,FHMS_K739 A2,CFCRE_16-C4 A4,FHMS_K081 A2,FHMS_K067 A2,FHMS_K066 A2,CGCMT_15-GC33 A4,FHMS K058 A-2,BANK_17-BNK4 AS,DBGS_18-C1 A4,MSBAM_13-C7 AS,FHMS_K071 A2,COMM_13-CR8 A5,COMM_15-PC1 A5,FHMS_K056 A2,COMM_14-UBS2 A5,BANK_19-BN21 A5,MSBAM_14-C17 A5,MSC_20-L4 A3,WFRBS_14-C22 A4,FHMS_K094 A2,FHMS_K118 A2,FNMA_21-M4 A2,FHMS_K117 A2,JPMBB_14-C18 A5,UBSCM_18-C8 A4,CGCMT_16-P3 A3 A3,MSBAM_15-C27 A4,FHMS_K121 A2,WFCM_19-C53 A4,FNMA_19-M6 A1,MSBAM_13-C9 A4,GSMS_16-GS3 A3,FHMS_K061 A2,JPMCC_17-JP5 A5,CCUBS_17-C1 A4,FHMS_K111 A2,FNMA_19-M7 A2,FREMF_K-724 A2,UBSCM_19-C16 AS,FHLMC_20-K1516 A2,BACM_17-BNK3 A3,FHMS K152 A1,MSC_16-BNK2 A4,FHMS_K1512 A2,MSBAM_14-C19 A4,FNMA_20-M5 A2,FHMS_15-K046 A2,WFCM_17-C42 A4,FHMS_K742 AM,FHMS_K083 A2,JPMCC_12-LC9 A5,JPMBB _14-C18 AS,BMARK _18-B1 A2,FHMS_18-K157 A2,FHMS_K053 A2,FHMS_K096 A2,FNMA_15-M8 A2,JPMCC_19-COR5 A4,FHMS_K044 A2,FHMS_K041 A2,FHLMC_K040 A2,FHLMC_K025 A2,JPMCC_16-JP4 A4,MSBAM_17-C33 A5,MSBAM_12-C6 A4,GSMS_19-GC40 A4,JPMBB_14-C23 A5,CSAIL_19-C15 A2,GSMS_16-GS2 A4,FHMS_16-K058 A-1,UBSBB_13-C5 A4,CGCMT_15-GC27 A5,FHMS_K741 A2,FHMS_K075 A2,BMARK_18-B3 A5,FHMS_K076 A1,JPMCC_13-C10 B,JPMCCMSC_13-C10 AS,GSMS_18-GS9 A4,WFRBS_14-C25 A5,CSAIL_18-CX11 A5,WFCM_12-LC5 A3,BMARK_18-B2 AS,FNMA_17-M7 A2,BMARK_19-B9 A5,CSAIL_19-C15 B,FHMS_K090 A2,BANK_19-BN21 A4,BANK_17-BNK5 A4,FHMS_K070 A1,BANK_18-BN10 A5,CSAIL_15-C4 A4,WFCM_18-C48 A5,FHMS_K077 A2,BANK_18-BNK14 A4,FHMS_K078 A2,FHMS_K084 A2,BMARK_18-B5 AS,FNMA_19-M2 A2,FHMS_K085 A2,FHMS-K-1511 A2,JPMBB_15-C31 A3,BMARK_18-B7 A4,FNMA_18-M10 A2,FREMF_18-K78 A1,USD CASH,FHMS_K056 A1,CD_17-CD4 A4,CSAIL_15-C4 A3,MSC_21-L6 A2 144A,FHMS_K742 A2,JPMDB_17-C7 A3,SUM
07/09/2021,1.09,0.96,0.87,0.85,0.64,0.58,0.55,0.54,0.52,0.52,0.5,0.5,0.5,0.5,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.870000000000005
07/12/2021,1.06,0.93,0.85,0.83,0.63,0.56,0.54,0.52,0.5,0.5,0.49,0.49,0.49,0.48,0.61,0.51,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.53,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.16,0.0,0.16,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.23,0.22,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75
07/13/2021,1.06,0.93,0.85,0.83,0.63,0.56,0.54,0.52,0.5,0.5,0.49,0.49,0.49,0.48,0.61,0.51,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.53,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.16,0.0,0.16,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.23,0.22,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75
07/14/2021,1.05,0.93,0.85,0.83,0.62,0.56,0.54,0.52,0.5,0.5,0.49,0.49,0.48,0.48,0.61,0.44,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.4,0.41,0.53,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.26,0.26,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.22,0.22,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,59.52
07/15/2021,1.05,0.93,0.85,0.83,0.62,0.56,0.54,0.52,0.5,0.5,0.49,0.49,0.48,0.48,0.61,0.44,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.4,0.41,0.53,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.26,0.26,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.22,0.22,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,59.52
07/16/2021,1.05,0.93,0.84,0.83,0.62,0.56,0.53,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.61,0.51,0.46,0.46,0.45,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.4,0.41,0.53,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.55,0.26,0.26,0.26,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.22,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.2,0.0,0.16,0.15,0.0,0.0,0.0,0.0,59.720000000000006
07/19/2021,1.05,0.93,0.84,0.83,0.62,0.56,0.53,0.52,0.5,0.5,0.49,0.49,0.48,0.48,0.61,0.31,0.46,0.46,0.45,0.46,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.53,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.54,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.0,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.22,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.2,0.22,0.16,0.0,0.0,0.0,0.0,0.0,59.59
07/20/2021,1.05,0.93,0.84,0.83,0.62,0.56,0.53,0.52,0.5,0.5,0.49,0.49,0.48,0.48,0.61,0.31,0.46,0.46,0.45,0.46,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.53,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.59,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.5,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.54,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.0,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.25,0.22,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.2,0.22,0.16,0.0,0.0,0.0,0.0,0.0,59.59
07/22/2021,1.05,0.93,0.84,0.82,0.62,0.56,0.54,0.52,0.5,0.49,0.49,0.59,0.48,0.48,0.61,0.5,0.46,0.45,0.45,0.45,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.53,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.59,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.49,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.25,0.54,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.0,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.24,0.22,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.2,0.0,0.16,0.0,0.21,0.0,0.0,0.0,59.72
07/23/2021,1.05,0.92,0.84,0.82,0.62,0.56,0.53,0.52,0.5,0.49,0.49,0.59,0.48,0.48,0.61,0.52,0.46,0.45,0.45,0.45,0.46,0.45,0.44,0.44,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.53,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.59,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.49,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.54,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.0,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,0.28,0.24,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.2,0.0,0.16,0.0,0.21,0.2,0.0,0.0,59.58
