,MELI,GLOB,CCU.SN,GGAL,AGRO,YPF,CENCOSUD.SN,ARCO,ANDINA-B.SN,SSRM CN,DESP,BMA,YRI.TO,PAM,TEO,LOMA,TGS,CEPU,CRESY,BBAR,CAAP,SUPV,EDN,IRS,IRCP,CASH,IRS/WS,B 08/12/21,n/a,B 0 08/12/21,YPF.,SSRM,CD8.,BFP.,FRGXX,SUM
07/09/2021,25.4,18.77,4.67,4.24,4.13,4.04,3.81,3.7,3.54,3.37,3.31,3.14,3.09,2.97,2.11,1.96,1.56,1.18,1.09,1.08,0.87,0.61,0.46,0.42,0.29,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,25.44,18.92,4.58,4.22,3.98,4.0,3.81,3.66,3.64,3.38,3.23,3.08,3.02,3.13,2.13,2.0,1.55,1.14,1.13,1.07,0.88,0.59,0.45,0.48,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,25.44,18.92,4.58,4.22,3.98,4.0,3.81,3.66,3.64,3.38,3.23,3.08,3.02,3.13,2.13,2.0,1.55,1.14,1.13,1.07,0.88,0.59,0.45,0.48,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,25.37,18.86,4.64,4.17,4.0,4.01,3.85,3.65,3.68,3.39,3.26,3.08,3.03,3.12,2.08,2.0,1.56,1.14,1.16,1.07,0.87,0.58,0.45,0.51,0.29,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,24.76,18.97,4.53,4.34,3.98,4.19,3.84,3.56,3.75,3.32,3.28,3.2,2.94,3.19,2.13,2.08,1.61,1.17,1.11,1.13,0.87,0.6,0.46,0.5,0.29,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,25.04,19.0,4.51,4.29,3.98,4.19,3.74,3.53,3.65,3.39,3.33,3.18,2.96,3.19,2.1,2.03,1.58,1.15,1.13,1.12,0.84,0.6,0.46,0.52,0.3,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,24.81,18.87,4.49,4.28,3.99,4.06,3.84,3.59,3.68,3.53,3.27,3.14,3.18,3.08,2.17,2.19,1.54,1.16,1.11,1.12,0.82,0.6,0.46,0.52,0.3,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,24.81,18.87,4.49,4.28,3.99,4.06,3.84,3.59,3.68,3.53,3.27,3.14,3.18,3.08,2.17,2.19,1.54,1.16,1.11,1.12,0.82,0.6,0.46,0.52,0.3,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,25.06,19.07,4.5,4.23,3.94,3.98,3.85,3.58,3.69,3.45,3.25,3.09,3.08,3.13,2.2,2.17,1.52,1.13,1.09,1.09,0.83,0.6,0.46,0.51,0.31,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,25.11,19.31,4.63,4.15,3.89,3.91,4.04,3.52,3.73,3.35,3.25,3.09,3.03,3.12,2.16,2.14,1.51,1.14,1.03,1.07,0.81,0.6,0.45,0.49,0.31,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,25.29,19.84,4.59,4.11,3.89,3.87,3.91,3.46,3.65,3.26,3.23,2.98,2.98,3.2,2.13,2.13,1.52,1.08,1.04,1.04,0.8,0.59,0.44,0.48,0.3,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,25.6,19.57,4.53,4.07,3.8,3.96,3.87,3.59,3.6,3.22,3.36,2.99,2.9,3.2,2.13,2.16,1.48,1.07,1.09,1.03,0.79,0.58,0.44,0.49,0.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,25.6,19.57,4.53,4.07,3.8,3.96,3.87,3.59,3.6,3.22,3.36,2.99,2.9,3.2,2.13,2.16,1.48,1.07,1.09,1.03,0.79,0.58,0.44,0.49,0.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,25.46,19.85,4.44,4.08,3.94,3.98,3.74,3.6,3.52,3.24,3.25,2.94,2.92,3.16,2.11,2.23,1.49,1.11,1.07,1.03,0.82,0.58,0.43,0.48,0.31,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,25.47,19.77,4.57,4.07,3.82,3.87,3.81,3.54,3.56,3.26,3.15,2.95,2.94,3.22,2.12,2.22,1.5,1.14,1.04,1.06,0.81,0.58,0.44,0.51,0.38,0.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/02/2021,25.75,19.86,4.51,3.95,3.89,3.91,3.69,3.54,3.64,3.28,3.11,2.91,3.0,3.13,2.06,2.24,1.45,1.16,1.06,1.03,0.83,0.57,0.44,0.48,0.32,-5.74,0.04,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,25.75,19.86,4.51,3.95,3.89,3.91,3.69,3.54,3.64,3.28,3.11,2.91,3.0,3.13,2.06,2.24,1.45,1.16,1.06,1.03,0.83,0.57,0.44,0.48,0.32,-5.74,0.04,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,25.05,20.07,4.67,3.89,3.93,3.96,3.69,3.69,3.79,3.35,3.1,2.85,3.16,2.98,2.08,2.21,1.45,1.17,1.05,1.03,0.84,0.57,0.45,0.48,0.31,-5.85,0.04,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,25.34,19.86,4.57,3.9,3.87,3.9,3.71,3.81,3.76,3.36,3.12,2.84,3.17,2.99,2.1,2.18,1.45,1.17,1.06,1.02,0.84,0.56,0.46,0.48,0.29,-5.88,0.03,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,25.17,20.01,4.85,4.0,3.91,3.9,3.53,3.68,3.66,3.37,3.08,2.9,3.19,2.98,2.09,2.17,1.5,1.15,1.03,1.04,0.82,0.57,0.46,0.46,0.29,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
08/10/2021,27.26,20.07,4.33,3.86,3.75,3.81,3.42,3.51,3.59,3.35,3.05,2.78,3.06,2.84,2.03,2.11,1.46,1.09,0.99,0.99,0.79,0.53,0.44,0.44,0.27,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,26.79,20.7,4.24,3.91,3.8,3.85,3.33,3.56,3.5,3.25,3.03,2.79,2.98,2.84,2.1,2.11,1.5,1.09,0.98,0.99,0.79,0.55,0.44,0.43,0.27,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,28.12,19.9,4.24,3.99,3.88,4.04,3.36,3.35,3.4,3.0,2.95,2.9,2.75,2.84,1.97,2.08,1.48,1.11,0.94,1.04,0.76,0.57,0.44,0.42,0.27,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/16/2021,27.29,20.3,4.09,4.02,3.93,4.25,3.53,3.26,3.46,2.99,3.03,2.91,2.74,2.89,1.99,2.1,1.48,1.16,0.94,1.02,0.75,0.56,0.44,0.42,0.27,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0
