,2SPY  220331C00003170,2SPY  220331P00396330,Cash&Other,2SPY  220331P00336880,2SPY  220331C00430220,SUM
07/09/2021,103.36,3.84,0.61,-1.67,-6.14,100.0
07/12/2021,103.93,3.69,0.6,-1.64,-6.58,100.0
07/13/2021,103.93,3.69,0.6,-1.64,-6.58,100.0
07/14/2021,103.93,3.69,0.6,-1.64,-6.58,100.0
07/15/2021,104.24,3.61,0.59,-1.6,-6.85,99.99
07/16/2021,104.02,3.81,0.59,-1.71,-6.71,100.0
07/19/2021,103.78,3.9,0.58,-1.74,-6.53,99.99
07/20/2021,103.24,4.17,0.58,-1.87,-6.13,99.99
07/21/2021,103.24,4.17,0.58,-1.87,-6.13,99.99
07/22/2021,102.29,4.73,0.58,-2.15,-5.46,99.99
07/23/2021,103.39,4.19,0.58,-1.9,-6.26,100.0
07/26/2021,104.05,3.79,0.57,-1.69,-6.72,100.0
07/27/2021,104.75,3.57,0.56,-1.59,-7.3,99.99
07/28/2021,104.75,3.57,0.56,-1.59,-7.3,99.99
07/29/2021,105.05,3.5,0.56,-1.57,-7.55,99.99000000000001
