,GOLDMAN FS GOVT INST 465,RBC US GOVTT 1 1465,CASH,NATURAL GAS FUTR Jan22,NATURAL GAS FUTR Feb22,NATURAL GAS FUTR Dec21,NATURAL GAS FUTR Nov21,NATURAL GAS FUTR Oct21,NATURAL GAS FUTR Aug21,NATURAL GAS FUTR Sep21,NATURAL GAS FUTR Jul21,NATURAL GAS FUTR Mar22,NATURAL GAS FUTR Jun21,NATURAL GAS FUTR May21,NATURAL GAS FUTR  Apr22,BNY CASH RESERVE,SUM
07/09/2021,72.45,12.08,10.66,9.2,9.03,8.58,8.54,8.32,8.31,8.27,8.25,8.17,8.05,7.87,7.5,5.09,200.37
07/12/2021,72.45,12.08,10.66,9.2,9.03,8.58,8.54,8.32,8.31,8.27,8.25,8.17,8.05,7.87,7.5,5.09,200.37
07/13/2021,72.45,12.08,10.66,9.2,9.03,8.58,8.54,8.32,8.31,8.27,8.25,8.17,8.05,7.87,7.5,5.09,200.37
