,AAPL,MSFT,GOOGL,AMZN,FB,PYPL,ADBE,JPM,INTC,JNJ,CSCO,CRM,VZ,ORCL,PG,CMCSA,UNH,BAC,HD,T,QCOM,INTU,IBM,UPS,AMAT,ABT,LLY,PFE,ABBV,PEP,TMO,SRE,ADP,C,MCD,ADSK,LOW,TGT,VMW,MS,CHTR,AWK,DE,AMGN,CAT,UNP,DHR,BMY,MMM,LRCX,SBUX,GS,HPQ,AXP,EXC,SHW,CSX,ED,CBRE,MRK,ES,MSI,GM,CL,FDX,FSLR,CVS,COF,MMC,HPE,NEM,CTSH,EW,EIX,HSY,JNPR,KEYS,REGN,A,ANTM,EA,ALL,NSC,HUM,MET,F,GWW,EBAY,JLL,PSA,AFL,PGR,IRM,BAX,GIS,GILD,USB,MRNA,IPG,NTAP,BDX,AKAM,HIG,TRV,BBY,KSU,OC,KEY,BXP,CCK,KRC,MDLZ,ARW,CIEN,JBL,MTD,MCO,BIIB,K,URI,RF,LDOS,CTXS,DD,EMR,WM,SEE,WST,DRI,LB,LECO,SWK,VOYA,HCA,EPAM,MAS,BK,CDW,STZ,IT,ALLY,HAS,TAP,CHD,MKC,HRL,NWSA,GPS,AGCO,VRSN,OMC,ETSY,DGX,BEN,KMB,MOS,CUBE,ATVI,TSCO,ADM,YUM,RSG,CAG,EXPD,DECK,PRU,CLX,RHI,MCK,CAH,WAT,CMG,BR,KHC,SON,AZO,LII,NTRS,WHR,ABC,IQV,COLM,CRL,BERY,NWL,AIZ,CERN,BWA,BRX,WSM,ALXN,XRAY,CPB,CNC,MAN,DVA,FHN,BAH,SJM,DFS,MHK,DPZ,EME,NYT,KSS,HOLX,BBWI WI,STLD,HBAN,THC,V,NKE,SPGI,EL,PNC,ZI,NLOK,DOW,SNPS,TFC,BSX,AVB,CI,AGR,KDP,DXC,FITB,AMKR,AVY,KIM,NUAN,AIG,LNC,VIAC,CMA,CARR,NUE,SYF,WU,LEA,RMD,M,DOV,ATO,TPR,VRTX,NVDA,TSLA,AMD,NFLX,WDAY,WY,FIS,PEAK,HUN,WMG,CF,AYI,KLAC,TTC,ZBH,OTIS,RRX,WDC,CAR,CLF,CDNS,WTS,XPO,SUM
07/09/2021,6.44,5.84,4.35,3.31,2.59,1.13,1.08,1.08,0.96,0.96,0.95,0.91,0.89,0.86,0.84,0.82,0.8,0.77,0.75,0.74,0.67,0.64,0.63,0.62,0.61,0.57,0.54,0.53,0.53,0.52,0.52,0.51,0.5,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5
07/12/2021,6.64,5.87,4.38,3.48,2.55,1.16,1.1,1.06,0.95,0.96,0.94,0.9,0.89,0.9,0.85,0.81,0.8,0.75,0.75,0.73,0.65,0.65,0.62,0.63,0.6,0.57,0.55,0.53,0.54,0.52,0.52,0.5,0.51,0.47,0.49,0.48,0.48,0.48,0.48,0.45,0.47,0.48,0.46,0.44,0.44,0.45,0.45,0.44,0.43,0.42,0.43,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.35,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6
07/13/2021,6.64,5.87,4.38,3.48,2.55,1.16,1.1,1.06,0.95,0.96,0.94,0.9,0.89,0.9,0.85,0.81,0.8,0.75,0.75,0.73,0.65,0.65,0.62,0.63,0.6,0.57,0.55,0.53,0.54,0.52,0.52,0.5,0.51,0.47,0.49,0.48,0.48,0.48,0.48,0.45,0.47,0.48,0.46,0.44,0.44,0.45,0.45,0.44,0.43,0.42,0.43,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.35,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6
07/14/2021,6.65,5.82,4.34,3.49,2.54,1.16,1.1,1.07,0.94,0.96,0.95,0.89,0.88,0.92,0.85,0.81,0.8,0.75,0.74,0.71,0.66,0.65,0.63,0.63,0.59,0.57,0.54,0.53,0.54,0.52,0.52,0.5,0.51,0.47,0.49,0.48,0.48,0.48,0.48,0.45,0.46,0.48,0.45,0.44,0.45,0.44,0.45,0.44,0.43,0.42,0.43,0.41,0.4,0.42,0.41,0.4,0.39,0.4,0.4,0.37,0.38,0.38,0.37,0.37,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.31,0.29,0.29,0.31,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58
07/15/2021,6.65,5.82,4.34,3.49,2.54,1.16,1.1,1.07,0.94,0.96,0.95,0.89,0.88,0.92,0.85,0.81,0.8,0.75,0.74,0.71,0.66,0.65,0.63,0.63,0.59,0.57,0.54,0.53,0.54,0.52,0.52,0.5,0.51,0.47,0.49,0.48,0.48,0.48,0.48,0.45,0.46,0.48,0.45,0.44,0.45,0.44,0.45,0.44,0.43,0.42,0.43,0.41,0.4,0.42,0.41,0.4,0.39,0.4,0.4,0.37,0.38,0.38,0.37,0.37,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.3,0.31,0.29,0.29,0.31,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58
07/16/2021,6.6,5.79,4.38,3.48,2.56,1.17,1.09,1.08,0.95,0.96,0.94,0.88,0.88,0.91,0.85,0.81,0.81,0.76,0.74,0.71,0.66,0.65,0.63,0.63,0.6,0.57,0.54,0.53,0.54,0.52,0.51,0.5,0.51,0.48,0.48,0.47,0.47,0.48,0.46,0.47,0.45,0.48,0.46,0.44,0.45,0.44,0.45,0.44,0.43,0.42,0.44,0.42,0.39,0.42,0.41,0.4,0.39,0.4,0.4,0.37,0.38,0.37,0.37,0.37,0.36,0.36,0.34,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.33,0.31,0.32,0.32,0.31,0.31,0.29,0.31,0.3,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.56
07/19/2021,6.84,5.92,4.43,3.46,2.53,1.17,1.11,1.07,0.95,0.96,0.96,0.88,0.88,0.92,0.85,0.81,0.81,0.73,0.74,0.71,0.67,0.65,0.62,0.62,0.6,0.56,0.55,0.54,0.54,0.54,0.51,0.49,0.51,0.47,0.49,0.48,0.47,0.49,0.45,0.47,0.44,0.48,0.45,0.44,0.44,0.44,0.45,0.45,0.44,0.42,0.44,0.42,0.39,0.42,0.41,0.4,0.39,0.4,0.39,0.37,0.39,0.37,0.36,0.37,0.35,0.34,0.35,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.32,0.32,0.31,0.31,0.29,0.31,0.29,0.29,0.31,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.3,0.28,0.27,0.27,0.27,0.28,0.28,0.26,0.25,0.25,0.25,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.25,0.25,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.2,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.21,0.19,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.66
07/20/2021,6.77,5.93,4.43,3.39,2.5,1.15,1.11,1.05,0.94,0.96,0.96,0.88,0.89,0.92,0.88,0.81,0.83,0.72,0.75,0.72,0.66,0.65,0.63,0.63,0.57,0.57,0.54,0.55,0.55,0.55,0.52,0.51,0.52,0.47,0.49,0.48,0.48,0.49,0.46,0.46,0.45,0.5,0.45,0.45,0.43,0.44,0.46,0.45,0.43,0.4,0.44,0.41,0.37,0.42,0.42,0.41,0.39,0.42,0.39,0.38,0.41,0.37,0.35,0.38,0.35,0.32,0.35,0.35,0.34,0.33,0.34,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.32,0.29,0.28,0.31,0.29,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.36,0.27,0.26,0.28,0.28,0.28,0.28,0.26,0.25,0.25,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.25,0.27,0.27,0.24,0.26,0.25,0.24,0.27,0.25,0.25,0.25,0.25,0.23,0.25,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.22,0.19,0.21,0.22,0.21,0.21,0.22,0.2,0.23,0.21,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.2,0.21,0.18,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.78
07/21/2021,6.77,5.93,4.43,3.39,2.5,1.15,1.11,1.05,0.94,0.96,0.96,0.88,0.89,0.92,0.88,0.81,0.83,0.72,0.75,0.72,0.66,0.65,0.63,0.63,0.57,0.57,0.54,0.55,0.55,0.55,0.52,0.51,0.52,0.47,0.49,0.48,0.48,0.49,0.46,0.46,0.45,0.5,0.45,0.45,0.43,0.44,0.46,0.45,0.43,0.4,0.44,0.41,0.37,0.42,0.42,0.41,0.39,0.42,0.39,0.38,0.41,0.37,0.35,0.38,0.35,0.32,0.35,0.35,0.34,0.33,0.34,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.32,0.29,0.28,0.31,0.29,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.36,0.27,0.26,0.28,0.28,0.28,0.28,0.26,0.25,0.25,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.25,0.27,0.27,0.24,0.26,0.25,0.24,0.27,0.25,0.25,0.25,0.25,0.23,0.25,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.22,0.19,0.21,0.22,0.21,0.21,0.22,0.2,0.23,0.21,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.2,0.21,0.18,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.78
07/22/2021,6.77,5.93,4.43,3.39,2.5,1.15,1.11,1.05,0.94,0.96,0.96,0.88,0.89,0.92,0.88,0.81,0.83,0.72,0.75,0.72,0.66,0.65,0.63,0.63,0.57,0.57,0.54,0.55,0.55,0.55,0.52,0.51,0.52,0.47,0.49,0.48,0.48,0.49,0.46,0.46,0.45,0.5,0.45,0.45,0.43,0.44,0.46,0.45,0.43,0.4,0.44,0.41,0.37,0.42,0.42,0.41,0.39,0.42,0.39,0.38,0.41,0.37,0.35,0.38,0.35,0.32,0.35,0.35,0.34,0.33,0.34,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.32,0.29,0.28,0.31,0.29,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.36,0.27,0.26,0.28,0.28,0.28,0.28,0.26,0.25,0.25,0.25,0.26,0.27,0.27,0.27,0.25,0.25,0.25,0.27,0.27,0.24,0.26,0.25,0.24,0.27,0.25,0.25,0.25,0.25,0.23,0.25,0.23,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.22,0.19,0.21,0.22,0.21,0.21,0.22,0.2,0.23,0.21,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.2,0.21,0.18,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.78
