,AAPL,XOM,MSFT,JPM,WFC,T,BRK.B,CVX,VZ,BAC,C,INTC,JNJ,WMT,UNH,CSCO,PFE,CMCSA,GE,IBM,PG,CVS,DIS,GOOG,GOOGL,HD,F,GM,FB,MRK,GME,GILD,ORCL,VLO,ABBV,PSX,AMZN,BA,GS,PEP,COF,AIG,COP,PM,WBA,ANTM,TGT,MPC,COST,AMGN,UNP,KO,RTX,MDT,AXP,MCD,QCOM,MMM,MO,HON,SLB,MS,LOW,USB,TXN,CAT,ADM,KR,OXY,V,PNC,TRV,MU,DUK,FDX,SBUX,ACN,NKE,MDLZ,DD,MCK,PRU,DFS,EXC,LIN,UPS,HUM,AMAT,SYF,MET,HPE,BMY,AVGO,TJX,ABT,DE,LMT,CHTR,GD,ALL,NEE,ETN,SO,MA,BK,HCA,NUE,CSX,LLY,LUMN,EMR,LYB,BKNG,KMI,CAH,BLK,M,CB,CI,KSS,AFL,EOG,TMO,NSC,NOC,ITW,GLW,HPQ,BIIB,JCI,EBAY,D,TSN,WDC,NVDA,DG,WM,AEP,ALLY,TFC,IP,BG,CMI,BKR,MMC,CTSH,SYY,SPG,ADP,CL,PPG,AMP,CCL,DHR,FITB,PYPL,CNC,DXC,TMUS,BBY,TROW,STX,AON,VIAC,TEL,LRCX,NXPI,DOW,PCAR,HAL,MRO,KHC,WMB,S+p500 Emini Fut Sep21 Xcme 20210917,PGR,OKE,CARR,GIS,SCHW,ADBE,FE,SYK,ED,PEG,HIG,WRK,SRE,APTV,BBBY,PPL,WELL,INTU,AVT,SPGI,PH,TT,AMT,STT,YUM,XEL,031330.KQ,CCI,ECL,ORLY,URI,ABC,002270.KS,GE.,581.HK,BTU,ROST,806.HK,KMB,688180.SS,ADI,n/a,NTAP,AA,CAR,GT,WY,BHGE,APD,SUM
07/09/2021,3.88,2.58,1.94,1.68,1.58,1.54,1.43,1.38,1.19,1.11,1.1,1.09,1.09,1.01,1.01,0.93,0.93,0.84,0.81,0.76,0.75,0.75,0.71,0.71,0.71,0.7,0.69,0.68,0.64,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.5,0.5,0.49,0.49,0.48,0.47,0.47,0.46,0.46,0.45,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.06
07/12/2021,4.05,2.49,1.98,1.67,1.54,1.54,1.44,1.36,1.21,1.08,1.07,1.08,1.1,1.02,1.02,0.94,0.93,0.85,0.79,0.76,0.77,0.75,0.7,0.73,0.72,0.71,0.66,0.66,0.64,0.59,0.54,0.57,0.6,0.52,0.56,0.51,0.57,0.52,0.52,0.53,0.52,0.51,0.48,0.5,0.49,0.49,0.48,0.45,0.48,0.46,0.47,0.46,0.43,0.44,0.43,0.42,0.41,0.41,0.39,0.38,0.35,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.3,0.33,0.31,0.32,0.3,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11
07/13/2021,4.05,2.49,1.98,1.67,1.54,1.54,1.44,1.36,1.21,1.08,1.07,1.08,1.1,1.02,1.02,0.94,0.93,0.85,0.79,0.76,0.77,0.75,0.7,0.73,0.72,0.71,0.66,0.66,0.64,0.59,0.54,0.57,0.6,0.52,0.56,0.51,0.57,0.52,0.52,0.53,0.52,0.51,0.48,0.5,0.49,0.49,0.48,0.45,0.48,0.46,0.47,0.46,0.43,0.44,0.43,0.42,0.41,0.41,0.39,0.38,0.35,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.3,0.33,0.31,0.32,0.3,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11
07/14/2021,4.04,2.51,1.95,1.68,1.55,1.5,1.44,1.36,1.19,1.08,1.07,1.08,1.1,1.01,1.02,0.94,0.93,0.84,0.8,0.77,0.76,0.74,0.71,0.72,0.71,0.7,0.67,0.68,0.63,0.58,0.54,0.56,0.61,0.51,0.56,0.51,0.56,0.53,0.52,0.52,0.53,0.51,0.48,0.5,0.48,0.49,0.48,0.45,0.48,0.46,0.45,0.46,0.43,0.44,0.43,0.42,0.41,0.41,0.4,0.38,0.35,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.3,0.32,0.31,0.32,0.3,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.02000000000001
07/15/2021,4.04,2.51,1.95,1.68,1.55,1.5,1.44,1.36,1.19,1.08,1.07,1.08,1.1,1.01,1.02,0.94,0.93,0.84,0.8,0.77,0.76,0.74,0.71,0.72,0.71,0.7,0.67,0.68,0.63,0.58,0.54,0.56,0.61,0.51,0.56,0.51,0.56,0.53,0.52,0.52,0.53,0.51,0.48,0.5,0.48,0.49,0.48,0.45,0.48,0.46,0.45,0.46,0.43,0.44,0.43,0.42,0.41,0.41,0.4,0.38,0.35,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.3,0.32,0.31,0.32,0.3,0.31,0.3,0.31,0.31,0.29,0.29,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.02000000000001
07/16/2021,4.07,2.51,1.98,1.69,1.53,1.5,1.44,1.37,1.2,1.08,1.08,1.1,1.1,1.02,1.04,0.94,0.93,0.84,0.78,0.77,0.77,0.75,0.74,0.73,0.72,0.7,0.67,0.68,0.64,0.58,0.51,0.56,0.61,0.5,0.57,0.51,0.56,0.51,0.53,0.54,0.54,0.51,0.48,0.49,0.49,0.51,0.49,0.44,0.48,0.46,0.45,0.46,0.43,0.43,0.43,0.43,0.41,0.41,0.39,0.38,0.35,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.3,0.33,0.31,0.32,0.3,0.32,0.3,0.32,0.31,0.29,0.29,0.28,0.28,0.27,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.17,0.19,0.19,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.21000000000001
07/19/2021,4.17,2.44,1.99,1.69,1.6,1.51,1.45,1.34,1.21,1.06,1.08,1.08,1.1,1.03,1.04,0.94,0.95,0.85,0.78,0.77,0.78,0.76,0.75,0.73,0.72,0.71,0.65,0.66,0.63,0.59,0.47,0.57,0.6,0.48,0.57,0.48,0.56,0.5,0.53,0.55,0.54,0.52,0.46,0.5,0.48,0.51,0.49,0.42,0.49,0.46,0.45,0.48,0.43,0.43,0.44,0.43,0.41,0.41,0.4,0.4,0.33,0.37,0.36,0.36,0.34,0.34,0.33,0.33,0.27,0.34,0.31,0.33,0.3,0.32,0.3,0.32,0.31,0.29,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.28,0.25,0.26,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.18,0.19,0.17,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.17,0.18,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.13,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.11,0.17,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.31000000000002
07/20/2021,4.15,2.39,2.01,1.67,1.59,1.53,1.45,1.32,1.22,1.05,1.07,1.08,1.11,1.04,1.05,0.96,0.96,0.85,0.77,0.77,0.8,0.76,0.74,0.75,0.73,0.72,0.64,0.65,0.63,0.59,0.49,0.58,0.62,0.47,0.58,0.47,0.55,0.5,0.52,0.56,0.53,0.52,0.45,0.5,0.48,0.51,0.5,0.42,0.49,0.47,0.46,0.48,0.43,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.32,0.37,0.37,0.36,0.34,0.33,0.33,0.34,0.26,0.34,0.31,0.33,0.3,0.33,0.3,0.32,0.31,0.29,0.3,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.22,0.23,0.21,0.22,0.22,0.2,0.22,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.18,0.19,0.17,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.19,0.17,0.18,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.13,0.15,0.14,0.13,0.14,0.15,0.15,0.14,0.14,0.11,0.15,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.17,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.32
07/21/2021,4.15,2.39,2.01,1.67,1.59,1.53,1.45,1.32,1.22,1.05,1.07,1.08,1.11,1.04,1.05,0.96,0.96,0.85,0.77,0.77,0.8,0.76,0.74,0.75,0.73,0.72,0.64,0.65,0.63,0.59,0.49,0.58,0.62,0.47,0.58,0.47,0.55,0.5,0.52,0.56,0.53,0.52,0.45,0.5,0.48,0.51,0.5,0.42,0.49,0.47,0.46,0.48,0.43,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.32,0.37,0.37,0.36,0.34,0.33,0.33,0.34,0.26,0.34,0.31,0.33,0.3,0.33,0.3,0.32,0.31,0.29,0.3,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.22,0.23,0.21,0.22,0.22,0.2,0.22,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.18,0.19,0.17,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.19,0.17,0.18,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.13,0.15,0.14,0.13,0.14,0.15,0.15,0.14,0.14,0.11,0.15,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.17,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.32
07/22/2021,4.15,2.39,2.01,1.67,1.59,1.53,1.45,1.32,1.22,1.05,1.07,1.08,1.11,1.04,1.05,0.96,0.96,0.85,0.77,0.77,0.8,0.76,0.74,0.75,0.73,0.72,0.64,0.65,0.63,0.59,0.49,0.58,0.62,0.47,0.58,0.47,0.55,0.5,0.52,0.56,0.53,0.52,0.45,0.5,0.48,0.51,0.5,0.42,0.49,0.47,0.46,0.48,0.43,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.32,0.37,0.37,0.36,0.34,0.33,0.33,0.34,0.26,0.34,0.31,0.33,0.3,0.33,0.3,0.32,0.31,0.29,0.3,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.28,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.22,0.23,0.21,0.22,0.22,0.2,0.22,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.18,0.19,0.17,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.19,0.17,0.18,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.13,0.15,0.14,0.13,0.14,0.15,0.15,0.14,0.14,0.11,0.15,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.17,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.32
