,n/a,UNIT 7.875 02.15.25 144A,UCGIM V7.296 04.02.34 144A,HBGCN 7 05.01.26 144A,ISPIM 5.017 06.26.24 144A,NFP 6.875 08.15.28 144A,OMF 6.125 03.15.24,ISPIM 5.71 01.15.26,IEP 6.25 05.15.26,DB 4.5 04.01.25,SBAC 3.125 02.01.29,IEP 4.75 09.15.24,CMZB 8.151 06.30.31 144A,MPW 5 10.15.27,DB V4.296 05.24.28,OMF 4 09.15.30,DHC 9.75 06.15.25,IEP 5.25 05.15.27,FREMOR 6.625 01.15.27 144A,MPW 3.5 03.15.31,OMF 7.125 03.15.26,RHP 4.5 02.15.29 144A,MSCI 3.625 09.01.30 144A,BPR 5.75 05.15.26 144A,IRM 5 07.15.32 144A,SBAC 3.875 02.15.27,ALLY 5.75 11.20.25,DB V3.729 01.14.32,OMF 6.875 03.15.25,IRM 5.25 07.15.30 144A,FTAI 5.5 05.01.28 144A,UCGIM V5.861 06.19.32 144A,SQ 3.5 06.01.31 144A,GSYCN 4.375 05.01.26 144A,RKTRM 3.875 03.01.31 144A,CMZB 8.125 09.19.23 144A,ALIANT 6.75 10.15.27 144A,DB V3.742 01.07.33,MSCI 3.875 02.15.31 144A,VICI 5.625 05.01.24 144A,STANLN V7.014 PERP 144A,RKTRM 2.875 10.15.26 144A,IRM 4.5 02.15.31 144A,ACRISU 7 11.15.25 144A,OMF 3.875 09.15.28,IRM 4.875 09.15.27 144A,ACRISU 6 08.01.29 144A,FTAI 6.5 10.01.25 144A,PFSI 5.375 10.15.25 144A,COIN 3.625 10.01.31 144A,DB V4.875 12.01.32,NSM 5.5 08.15.28 144A,HASI 3.375 06.15.26 144A,LPLA 4 03.15.29 144A,JEFFIN 5 08.15.28,UCGIM V5.459 06.30.35 144A,FSEN 7.5 08.15.23 144A,NSM 5.125 12.15.30 144A,UNIT 4.75 04.15.28 144A,NAVI 6.125 03.25.24 MTN,ASSPAR 5.625 01.15.29 144A,NAVI 4.875 03.15.28,GNW 6.5 08.15.25 144A,NAVI 6.75 06.25.25,NAVI 5.875 10.25.24,ENVA 8.5 09.15.25 144A,LIBMUT 4.3 02.01.61 144A,RKTRM 3.625 03.01.29 144A,LNDPT 6.125 04.01.28 144A,SVC 7.5 09.15.25,STAR 4.75 10.01.24,VICI 4.625 06.15.25 144A,OMF 6.625 01.15.28,UNIT 6.5 02.15.29 144A,AER V5.875 10.10.79,ATSG 4.75 02.01.28 144A,IRM 5 07.15.28 144A,ALIANT 4.25 10.15.27 144A,NAVI 5 03.15.27,SVC 4.5 03.15.25,LIBMUT V4.125 12.15.51 144A,IRM 4.875 09.15.29 144A,CODI 5.25 04.15.29 144A,VICI 3.875 02.15.29 144A,AMWINS 4.875 06.30.29 144A,OMF 8.875 06.01.25,NMIH 7.375 06.01.25 144A,CURO 7.5 08.01.28 144A,MIDCAP 6.5 05.01.28,RDN 6.625 03.15.25,BROPAR 5.875 04.15.29 144A,STWD 4.75 03.15.25,ADVGRO 6.25 03.01.28 144A,STAR 4.25 08.01.25,FOUR 4.625 11.01.26 144A,RKTRM 4 10.15.33 144A,PFSI 4.25 02.15.29 144A,IRM 5.25 03.15.28 144A,FREMOR 8.25 04.15.25 144A,MTG 5.25 08.15.28,RLJ 3.75 07.01.26 144A,OUT 5 08.15.27 144A,VICI 4.5 01.15.28 144A,MSCI 4 11.15.29 144A,MPW 4.625 08.01.29,LPLA 4.375 05.15.31 144A,LADR 4.25 02.01.27 144A,SQ 2.75 06.01.26 144A,PRAA 5 10.01.29 144A,SLM 3.125 11.02.26,ISPIM V4.95 06.01.42,FCFS 4.625 09.01.28 144A,LADR 4.75 06.15.29 144A,UWMLLC 5.75 06.15.27 144A,ALIANT 5.875 11.01.29 144A,SVC 5.5 12.15.27,NSM 5.75 11.15.31 144A,SVC 5.25 02.15.26,OUT 4.25 01.15.29 144A,GBLATL V4.7 10.15.51 144A,MSCI 3.625 11.01.31 144A,OMF 3.5 01.15.27,IEP 4.375 02.01.29,UWMLLC 5.5 04.15.29 144A,ISPIM V4.198 06.01.32,CXW 8.25 04.15.26,CACC 6.625 03.15.26,MPW 5.25 08.01.26,ASSPAR 7 08.15.25 144A,SVC 4.5 06.15.23,RDN 4.5 10.01.24,DB V5.882 07.08.31,COMINV 6.875 05.01.25 144A,STWD 3.75 12.31.24 144A,COIN 3.375 10.01.28 144A,VICI 4.5 09.01.26 144A,UWMLLC 5.5 11.15.25 144A,SVC 4.35 10.01.24,XHR 4.875 06.01.29 144A,STWD 3.625 07.15.26 144A,ESGR V5.5 01.15.42,GNL 3.75 12.15.27 144A,RLJ 4 09.15.29 144A,PRG 6 11.15.29 144A,OUT 4.625 03.15.30 144A,NAVI 5.5 03.15.29,ARI 4.625 06.15.29 144A,AFIN 4.5 09.30.28 144A,GEO 6 04.15.26,DHC 4.75 02.15.28,UNIT 6 01.15.30 144A,MIDCAP 5.625 01.15.30,XHR 6.375 08.15.25 144A,HMPT 5 02.01.26 144A,VICI 5.75 02.01.27 144A,IEP 6.375 12.15.25,TMXFIN 11.125 04.01.23 144A,GLBL 6.125 03.01.26 144A,DHC 4.375 03.01.31,BSTA 9.75 10.15.25 144A,AER V6.5 06.15.45,LADR 5.25 10.01.25 144A,TCBI V4 05.06.31,SVC 4.375 02.15.30,ESGR V5.75 09.01.40,EQNLN 8.5 11.15.29 144A,NRZ 6.25 10.15.25 144A,CETERA 7.5 04.01.29 144A,FCFS 5.625 01.01.30 144A,JANEST 4.5 11.15.29 144A,BXMT 3.75 01.15.27 144A,FIAMER 7.875 11.15.25 144A,BPR 4.5 04.01.27 144A,NFP 4.875 08.15.28 144A,ILOGIC 5 05.01.28 144A,CASAVI 5 04.15.27 144A,CXW 4.75 10.15.27,ACRISU 4.25 02.15.29 144A,FLY 7 10.15.24 144A,HASI 3.75 09.15.30 144A,CODI 5 01.15.32 144A,CPICAR 8.625 03.15.26 144A,MSCI 3.25 08.15.33 144A,SVC 4.75 10.01.26,NAVI 5.625 08.01.33 MTN,SVC 4.95 10.01.29,ADVGRO 10.75 08.01.27 144A,SNEX 8.625 06.15.25 144A,BPOP 6.125 09.14.23,SNV V5.9 02.07.29,AIZ V7 03.27.48,HASI 6 04.15.25 144A,ACIW 5.75 08.15.26 144A,MGI 5.375 08.01.26 144A,OXDFLL 6.375 02.01.27,STAR 5.5 02.15.26,NAVI 6.75 06.15.26,SLM 4.2 10.29.25,VATE 8.5 02.01.26 144A,RDN 4.875 03.15.27,IRM 5.625 07.15.32 144A,SUM
05/13/2022,2.15,1.57,1.27,1.26,1.24,1.14,1.09,1.08,1.07,1.07,1.0,0.98,0.97,0.95,0.89,0.88,0.85,0.84,0.83,0.83,0.82,0.8,0.79,0.79,0.78,0.76,0.75,0.74,0.73,0.73,0.72,0.68,0.67,0.67,0.66,0.66,0.66,0.66,0.65,0.64,0.63,0.63,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.0,97.38
05/30/2022,2.09,1.57,1.26,1.25,1.25,1.13,1.09,1.08,1.08,1.06,1.03,0.98,0.93,0.97,0.86,0.9,0.85,0.87,0.82,0.86,0.82,0.83,0.82,0.79,0.79,0.79,0.74,0.75,0.73,0.77,0.76,0.68,0.7,0.64,0.69,0.66,0.66,0.66,0.67,0.64,0.6,0.65,0.64,0.6,0.61,0.62,0.62,0.61,0.61,0.54,0.57,0.58,0.58,0.58,0.55,0.56,0.55,0.56,0.55,0.54,0.53,0.54,0.54,0.54,0.54,0.48,0.53,0.55,0.56,0.52,0.54,0.53,0.54,0.51,0.5,0.51,0.51,0.5,0.49,0.47,0.46,0.5,0.48,0.49,0.49,0.47,0.46,0.45,0.46,0.46,0.44,0.44,0.42,0.44,0.42,0.45,0.45,0.43,0.42,0.43,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.42,0.4,0.41,0.41,0.41,0.4,0.41,0.39,0.4,0.41,0.38,0.38,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.32,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.28,0.28,0.27,0.29,0.27,0.27,0.27,0.26,0.28,0.26,0.25,0.26,0.26,0.27,0.25,0.24,0.25,0.24,0.26,0.25,0.24,0.23,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.0,0.17,0.17,97.48000000000002
