,AMT,EXR,SUI,ELS,VICI,VTR,EQIX,INVH,CUBE,REXR,AMH,CCI,TRNO,ARE,SBAC,DRH,VAC,MPW,HTA,GVMXX,WELL,DLR,n/a,SUM
06/10/2022,6.97,6.42,6.29,6.21,6.21,6.13,6.13,6.03,5.9,5.77,5.73,5.64,5.4,4.98,3.67,3.08,3.05,2.58,2.52,1.28,0.0,0.0,0.0,99.99
07/05/2022,6.68,6.84,6.77,4.45,6.72,6.88,4.36,6.87,4.55,6.74,4.58,4.4,4.43,4.55,4.47,2.94,3.01,3.1,0.0,1.79,3.04,2.83,0.0,100.0
