,AMZN,GOOG,MC.PA,2454.TW,2330.TW,NKE,AMT,NEE,MA,ULTA,FB,MELI,MONC.MI,700.HK,BLL,DIS,SHOP,EXPN.L,LYV,CPR.MI,MTCH,FTCH,PYPL,NTES,2382.HK,ILMN,DSM.AS,NVDA,SNAP,EDPR.LS,TMUS,035420.KS,BMBL,EA,3690.HK,ETSY,ADE.OL,SE,EVD.DE,GH,OCDO.L,BILI,LWSA3.SA,9618.HK,SUM
12/27/2021,6.87,6.38,3.73,3.44,3.2,3.09,3.07,2.91,2.86,2.85,2.72,2.69,2.68,2.6,2.45,2.37,2.32,2.31,2.25,2.24,2.22,2.22,2.2,2.11,2.11,2.11,2.09,2.0,1.96,1.9,1.69,1.59,1.47,1.44,1.37,1.31,1.27,1.24,1.13,1.12,0.95,0.8,0.67,0.0,100.0
12/28/2021,6.87,6.38,3.73,3.44,3.2,3.09,3.07,2.91,2.86,2.85,2.72,2.69,2.68,2.6,2.45,2.37,2.32,2.31,2.25,2.24,2.22,2.22,2.2,2.11,2.11,2.11,2.09,2.0,1.96,1.9,1.69,1.59,1.47,1.44,1.37,1.31,1.27,1.24,1.13,1.12,0.95,0.8,0.67,0.0,100.0
01/11/2022,6.88,6.25,3.91,3.66,3.54,3.08,3.1,2.92,3.09,3.03,2.83,2.44,2.76,2.62,2.59,2.57,1.94,2.33,2.32,2.24,2.2,2.09,2.27,2.27,1.98,2.15,2.11,1.93,1.76,1.79,1.63,1.48,1.39,1.51,1.3,1.12,1.3,1.1,1.27,1.07,0.96,0.7,0.53,0.0,100.01
01/13/2022,6.9,6.38,3.86,3.68,3.62,2.98,3.1,2.88,3.07,2.94,2.83,2.39,2.75,2.71,2.6,2.57,1.93,2.23,2.33,2.27,2.24,2.07,2.23,2.3,1.98,2.12,2.06,1.96,1.79,1.79,1.58,1.49,1.44,1.49,1.33,1.12,1.24,1.11,1.26,1.13,0.96,0.75,0.52,0.0,99.98
01/18/2022,6.99,6.46,3.78,3.62,3.82,2.95,2.96,2.86,3.16,2.91,2.88,2.56,2.63,2.86,2.64,2.51,1.9,2.15,2.34,2.19,2.16,1.96,2.2,2.39,1.99,2.4,2.04,1.94,1.64,1.81,1.64,1.55,1.5,1.52,1.43,1.01,1.24,1.04,1.32,0.96,0.92,0.72,0.48,0.0,100.03
01/19/2022,6.99,6.46,3.78,3.62,3.82,2.95,2.96,2.86,3.16,2.91,2.88,2.56,2.63,2.86,2.64,2.51,1.9,2.15,2.34,2.19,2.16,1.96,2.2,2.39,1.99,2.4,2.04,1.94,1.64,1.81,1.64,1.55,1.5,1.52,1.43,1.01,1.24,1.04,1.32,0.96,0.92,0.72,0.48,0.0,100.03
01/25/2022,6.53,6.36,4.11,3.84,3.85,3.02,3.06,3.01,2.89,2.88,2.79,2.55,2.81,3.04,2.72,2.41,1.61,2.25,2.37,2.29,2.19,1.65,2.13,2.37,2.01,2.29,2.13,1.79,1.47,1.91,1.63,1.59,1.43,1.71,1.63,0.97,1.2,0.98,1.3,0.92,0.95,0.71,0.56,0.09,100.0
