,CRH.L,FLTR.L,KRZ.IR,KRX.IR,SK3.IR,GFTU.L,RYAAY,ICLR,GL9.IR,BIRG.IR,A5G.IR,T7O.IR,HBRN.IR,DHG.IR,CRN.L,UPR.IR,IR5B.IR,GVR.IR,IRES.IR,OIZ.IR,ARD,FLY,EUR,EG7.IR,IL0A,XTSLA,SGAFT,GBP,VGU1,EUR.1,IL0A.IR,EG7,USD,SUM
07/09/2021,20.33,15.47,10.35,4.92,4.62,4.47,4.33,4.21,3.98,3.76,2.83,2.34,2.31,2.28,2.2,2.02,2.0,1.99,1.91,1.21,1.12,0.93,0.16,0.15,0.12,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/12/2021,20.5,14.85,10.58,5.02,4.6,4.56,4.26,4.24,3.92,3.68,2.75,2.32,2.36,2.37,2.14,2.08,2.05,2.01,1.98,1.21,1.13,0.94,0.15,0.15,0.13,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/13/2021,20.5,14.85,10.58,5.02,4.6,4.56,4.26,4.24,3.92,3.68,2.75,2.32,2.36,2.37,2.14,2.08,2.05,2.01,1.98,1.21,1.13,0.94,0.15,0.15,0.13,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/14/2021,20.73,14.8,10.4,5.03,4.67,4.52,4.29,4.21,3.97,3.76,2.83,2.27,2.36,2.35,2.11,2.03,2.0,1.99,1.98,1.2,1.12,0.93,0.15,0.15,0.13,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,20.73,14.8,10.4,5.03,4.67,4.52,4.29,4.21,3.97,3.76,2.83,2.27,2.36,2.35,2.11,2.03,2.0,1.99,1.98,1.2,1.12,0.93,0.15,0.15,0.13,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,20.75,14.45,10.59,5.07,4.71,4.51,4.22,4.25,4.05,3.66,2.77,2.3,2.42,2.29,2.16,2.0,2.09,2.01,1.97,1.26,1.12,0.94,0.15,0.15,0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,20.47,14.2,10.91,5.22,4.71,4.29,4.11,4.58,4.3,3.55,2.61,2.43,2.42,2.1,2.1,2.1,2.11,2.04,1.98,1.27,1.11,0.98,0.14,0.15,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/23/2021,20.67,14.11,10.92,5.25,4.71,4.34,4.18,4.54,4.29,3.59,2.58,2.4,2.38,2.07,2.12,2.09,2.04,2.04,1.99,1.18,1.12,0.98,0.14,0.15,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/29/2021,20.37,14.48,10.67,5.27,4.72,4.52,4.28,4.34,4.06,3.73,2.82,2.29,2.38,2.16,2.11,2.24,1.96,2.01,1.92,1.25,1.05,0.94,0.13,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.15,0.14,0.0,100.03
07/30/2021,20.27,14.4,10.73,5.31,4.78,4.52,4.34,4.49,4.01,3.71,2.8,2.12,2.37,2.17,2.17,2.27,1.98,2.02,1.93,1.2,1.05,0.94,0.13,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.14,0.14,0.0,100.03
08/06/2021,20.94,13.84,10.87,5.46,4.78,4.77,4.37,4.92,4.2,4.13,2.97,0.0,2.4,2.15,2.23,2.25,1.95,2.12,1.92,1.26,1.06,0.0,0.11,0.0,0.0,0.09,0.01,0.03,0.0,0.0,0.14,0.14,0.9,100.01
08/13/2021,20.93,15.87,10.4,5.44,4.77,4.63,4.31,4.69,3.98,4.19,3.08,0.0,2.32,2.24,2.18,2.32,1.93,2.04,1.9,1.19,1.16,0.0,0.12,0.0,0.0,0.06,0.01,0.01,0.0,0.0,0.13,0.13,0.0,100.03000000000002
