,SHOP,ZM,ZS,TWLO,DBX,COUP,PAYC,FSLY,PCTY,CRM,NFLX,AKAM,EVBG,WDAY,DLR,PLAN,PFPT,WK,XRO.AX,BOX,QLYS,SPSC,MIME,CSOD,TWOU,MSFT,AMZN,VNET,GOOGL,BABA,CONE,COR,QTS,BNFT,IBM,3888.HK,CASH,Benefitfocus Inc,Cash,4165.T,n/a,FRGXX,KD WI,KD,FIVN,WIX,VMEO,FRSH,PUBM,KC,SUM
07/09/2021,4.85,4.71,4.62,4.48,4.33,4.08,4.08,4.04,3.96,3.95,3.73,3.66,3.63,3.51,3.5,3.49,3.48,3.4,3.22,2.88,2.81,2.48,2.36,2.33,2.18,1.92,1.91,1.52,1.34,1.02,0.77,0.51,0.46,0.3,0.24,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,4.68,4.6,4.74,4.44,4.39,4.04,4.08,3.97,3.98,3.94,3.71,3.73,3.58,3.54,3.61,3.45,3.52,3.47,3.34,2.79,2.85,2.44,2.43,2.33,2.2,1.95,1.97,1.38,1.35,0.98,0.78,0.52,0.46,0.29,0.25,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,4.68,4.6,4.74,4.44,4.39,4.04,4.08,3.97,3.98,3.94,3.71,3.73,3.58,3.54,3.61,3.45,3.52,3.47,3.34,2.79,2.85,2.44,2.43,2.33,2.2,1.95,1.97,1.38,1.35,0.98,0.78,0.52,0.46,0.29,0.25,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,4.75,4.55,4.72,4.49,4.39,3.95,4.06,4.04,3.99,3.89,3.72,3.71,3.56,3.56,3.61,3.45,3.5,3.52,3.28,2.76,2.83,2.45,2.47,2.31,2.22,1.94,1.95,1.44,1.34,1.0,0.79,0.52,0.46,0.29,0.25,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,4.79,4.52,4.76,4.54,4.38,3.95,4.01,3.92,3.95,3.89,3.75,3.66,3.55,3.53,3.68,3.4,3.53,3.56,3.38,2.74,2.8,2.42,2.45,2.34,2.21,1.95,1.96,1.43,1.37,1.0,0.8,0.53,0.46,0.29,0.25,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,4.87,4.52,4.75,4.51,4.41,3.89,3.98,3.89,3.94,3.92,3.79,3.66,3.51,3.49,3.64,3.51,3.53,3.57,3.36,2.69,2.8,2.41,2.43,2.33,2.23,1.98,1.94,1.48,1.37,1.03,0.79,0.52,0.46,0.29,0.25,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/19/2021,4.78,4.4,4.74,4.38,4.41,3.5,4.09,3.67,4.03,3.94,3.93,3.82,3.45,3.54,3.8,3.5,3.67,3.49,3.41,2.69,2.73,2.44,2.45,2.34,2.23,2.04,1.98,1.43,1.41,1.08,0.82,0.54,0.48,0.29,0.25,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/20/2021,4.78,4.4,4.74,4.38,4.41,3.5,4.09,3.67,4.03,3.94,3.93,3.82,3.45,3.54,3.8,3.5,3.67,3.49,3.41,2.69,2.73,2.44,2.45,2.34,2.23,2.04,1.98,1.43,1.41,1.08,0.82,0.54,0.48,0.29,0.25,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/21/2021,4.77,4.46,4.77,4.47,4.43,3.36,4.11,3.73,4.06,3.94,3.83,3.83,3.43,3.51,3.79,3.55,3.65,3.55,3.46,2.69,2.75,2.44,2.45,2.32,2.22,2.04,1.94,1.36,1.41,1.07,0.81,0.54,0.48,0.29,0.25,0.21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,4.87,4.36,4.8,4.52,4.38,3.42,4.05,3.81,4.07,3.93,3.84,3.83,3.54,3.49,3.77,3.51,3.66,3.6,3.46,2.63,2.74,2.43,2.46,2.29,2.27,2.01,1.92,1.34,1.38,1.05,0.8,0.54,0.48,0.29,0.25,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/23/2021,4.94,4.29,4.84,4.56,4.39,3.41,4.09,3.76,4.2,3.89,3.76,3.77,3.58,3.49,3.71,3.56,3.59,3.66,3.44,2.67,2.76,2.45,2.47,2.27,2.29,1.98,1.9,1.32,1.37,1.04,0.8,0.53,0.47,0.29,0.25,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,5.11,4.31,4.92,4.68,4.35,3.34,4.11,3.78,4.17,3.98,3.58,3.71,3.66,3.56,3.6,3.64,3.56,3.67,3.39,2.59,2.67,2.43,2.47,2.21,2.34,2.01,1.91,1.35,1.38,1.04,0.76,0.51,0.46,0.29,0.25,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,5.11,4.31,4.92,4.68,4.35,3.34,4.11,3.78,4.17,3.98,3.58,3.71,3.66,3.56,3.6,3.64,3.56,3.67,3.39,2.59,2.67,2.43,2.47,2.21,2.34,2.01,1.91,1.35,1.38,1.04,0.76,0.51,0.46,0.29,0.25,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/28/2021,5.24,4.26,4.95,4.7,4.38,3.35,4.2,3.58,4.16,3.95,3.58,3.77,3.62,3.57,3.6,3.63,3.53,3.71,3.44,2.66,2.67,2.45,2.46,2.2,2.31,2.02,1.91,1.15,1.42,1.0,0.78,0.52,0.46,0.0,0.25,0.18,0.0,0.29,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
