,NLY,AGNC,STWD,NRZ,HASI,CIM,BXMT,ABR,ARI,PMT,MFA,TWO,NYMT,STAR,BRMK,RWT,LADR,USD,RC,IVR,ARR,GPMT,TRTX,BRSP,EFC,KREF,CMO,DX,ACRE,ORC,AJX,WMC,CHMI,EARN,MLPFT,XTSLA,DJEU1,DJEZ1,FBRT,SUM
07/09/2021,16.04,11.48,9.25,5.76,5.38,4.64,4.28,3.46,3.36,3.14,3.1,3.09,2.57,2.26,2.07,2.07,1.98,1.51,1.42,1.34,1.24,1.23,1.23,1.21,1.19,1.06,0.9,0.87,0.86,0.75,0.43,0.28,0.25,0.15,0.1,0.06,0.0,0.0,0.0,100.01000000000002
07/12/2021,16.16,11.52,9.25,5.76,5.19,4.6,4.29,3.49,3.3,3.14,3.14,3.11,2.6,2.34,2.08,2.09,1.95,1.56,1.36,1.35,1.25,1.21,1.21,1.21,1.16,1.06,0.9,0.87,0.86,0.75,0.43,0.28,0.25,0.15,0.1,0.04,0.0,0.0,0.0,100.01
07/13/2021,16.16,11.52,9.25,5.76,5.19,4.6,4.29,3.49,3.3,3.14,3.14,3.11,2.6,2.34,2.08,2.09,1.95,1.56,1.36,1.35,1.25,1.21,1.21,1.21,1.16,1.06,0.9,0.87,0.86,0.75,0.43,0.28,0.25,0.15,0.1,0.04,0.0,0.0,0.0,100.01
07/14/2021,16.04,11.4,9.27,5.81,5.18,4.6,4.29,3.51,3.35,3.13,3.19,3.06,2.62,2.46,2.07,2.09,1.97,1.54,1.36,1.35,1.25,1.21,1.22,1.21,1.14,1.05,0.9,0.86,0.86,0.76,0.43,0.29,0.25,0.15,0.1,0.02,0.0,0.0,0.0,99.98999999999998
07/15/2021,16.04,11.4,9.27,5.81,5.18,4.6,4.29,3.51,3.35,3.13,3.19,3.06,2.62,2.46,2.07,2.09,1.97,1.54,1.36,1.35,1.25,1.21,1.22,1.21,1.14,1.05,0.9,0.86,0.86,0.76,0.43,0.29,0.25,0.15,0.1,0.02,0.0,0.0,0.0,99.98999999999998
07/16/2021,15.87,11.4,9.44,5.68,5.37,4.65,4.36,3.6,3.41,3.16,3.16,2.87,2.6,2.59,2.09,2.09,1.99,0.91,1.38,1.32,1.26,1.23,1.25,1.28,1.16,1.07,0.91,0.86,0.89,0.75,0.43,0.29,0.25,0.15,0.1,0.16,0.0,0.0,0.0,99.98
07/19/2021,15.82,11.32,9.47,5.59,5.15,4.61,4.4,3.56,3.39,3.04,3.2,3.18,2.62,2.61,2.1,2.1,2.0,1.08,1.37,1.34,1.22,1.24,1.26,1.33,1.16,1.08,0.91,0.87,0.89,0.76,0.45,0.29,0.25,0.15,0.07,0.1,0.0,0.0,0.0,99.98
07/20/2021,15.82,11.32,9.47,5.59,5.15,4.61,4.4,3.56,3.39,3.04,3.2,3.18,2.62,2.61,2.1,2.1,2.0,1.08,1.37,1.34,1.22,1.24,1.26,1.33,1.16,1.08,0.91,0.87,0.89,0.76,0.45,0.29,0.25,0.15,0.07,0.1,0.0,0.0,0.0,99.98
07/22/2021,15.86,11.38,9.32,5.52,5.32,4.6,4.37,3.56,3.4,3.08,3.21,3.14,2.64,2.54,2.11,2.11,1.98,1.06,1.38,1.33,1.23,1.22,1.25,1.29,1.2,1.09,0.92,0.87,0.89,0.76,0.45,0.3,0.26,0.16,0.07,0.12,0.0,0.0,0.0,99.99
07/23/2021,15.94,11.36,9.38,5.48,5.31,4.64,4.4,3.56,3.42,3.02,3.21,3.14,2.62,2.63,2.08,2.08,1.97,1.06,1.37,1.37,1.22,1.22,1.24,1.28,1.18,1.07,0.92,0.85,0.89,0.76,0.45,0.29,0.25,0.16,0.07,0.11,0.0,0.0,0.0,100.0
07/27/2021,15.8,11.38,9.45,5.47,5.45,4.66,4.46,3.54,3.42,3.03,3.2,3.13,2.62,2.64,2.1,2.1,1.97,0.95,1.38,1.36,1.2,1.21,1.22,1.26,1.17,1.08,0.92,0.84,0.89,0.76,0.44,0.29,0.25,0.16,0.07,0.12,0.0,0.0,0.0,99.99
07/29/2021,15.72,11.26,9.46,5.48,5.32,4.65,4.47,3.59,3.45,3.03,3.25,3.19,2.63,2.67,2.11,2.12,2.0,0.95,1.36,1.35,1.17,1.21,1.24,1.28,1.17,1.08,0.96,0.84,0.9,0.76,0.45,0.29,0.25,0.16,0.06,0.12,0.0,0.0,0.0,100.0
07/30/2021,15.82,11.33,9.51,5.46,5.35,4.65,4.5,3.6,3.42,3.04,3.25,3.18,2.63,2.66,2.12,2.1,2.0,0.69,1.36,1.34,1.16,1.21,1.24,1.27,1.18,1.08,0.96,0.84,0.9,0.76,0.45,0.3,0.25,0.15,0.07,0.16,0.0,0.0,0.0,99.98999999999998
08/02/2021,15.93,11.22,9.55,5.65,5.44,4.73,4.57,3.6,3.37,3.05,3.27,3.18,2.65,2.71,2.1,2.15,2.04,0.1,1.38,1.35,1.16,1.22,1.25,1.28,1.17,1.1,0.97,0.85,0.91,0.76,0.44,0.3,0.25,0.15,0.01,0.15,0.0,0.0,0.0,100.01
08/03/2021,15.89,11.14,9.56,5.66,5.45,4.72,4.61,3.68,3.38,3.06,3.27,3.19,2.63,2.72,2.11,2.12,2.05,0.08,1.38,1.35,1.16,1.22,1.25,1.27,1.18,1.09,0.96,0.84,0.9,0.74,0.44,0.29,0.25,0.15,0.01,0.16,0.0,0.0,0.0,99.96
08/04/2021,15.89,11.14,9.56,5.66,5.45,4.72,4.61,3.68,3.38,3.06,3.27,3.19,2.63,2.72,2.11,2.12,2.05,0.08,1.38,1.35,1.16,1.22,1.25,1.27,1.18,1.09,0.96,0.84,0.9,0.74,0.44,0.29,0.25,0.15,0.01,0.16,0.0,0.0,0.0,99.96
08/05/2021,15.89,11.14,9.56,5.66,5.45,4.72,4.61,3.68,3.38,3.06,3.27,3.19,2.63,2.72,2.11,2.12,2.05,0.08,1.38,1.35,1.16,1.22,1.25,1.27,1.18,1.09,0.96,0.84,0.9,0.74,0.44,0.29,0.25,0.15,0.01,0.16,0.0,0.0,0.0,99.96
08/06/2021,15.81,11.14,9.59,5.65,5.56,4.69,4.64,3.61,3.42,3.07,3.27,3.17,2.62,2.8,2.12,2.13,1.97,0.07,1.39,1.35,1.17,1.23,1.26,1.27,1.19,1.08,0.97,0.84,0.87,0.74,0.44,0.29,0.25,0.15,0.01,0.17,0.0,0.0,0.0,100.0
08/10/2021,15.79,11.22,9.42,5.66,5.55,4.84,4.61,3.69,3.41,2.98,3.25,3.17,2.59,2.86,2.15,2.19,2.03,0.05,1.39,1.25,1.17,1.22,1.24,1.33,1.19,1.09,0.96,0.84,0.87,0.74,0.47,0.27,0.25,0.16,0.01,0.08,0.0,0.0,0.0,99.99
08/11/2021,15.79,11.22,9.42,5.66,5.55,4.84,4.61,3.69,3.41,2.98,3.25,3.17,2.59,2.86,2.15,2.19,2.03,0.05,1.39,1.25,1.17,1.22,1.24,1.33,1.19,1.09,0.96,0.84,0.87,0.74,0.47,0.27,0.25,0.16,0.01,0.08,0.0,0.0,0.0,99.99
08/13/2021,15.88,11.28,9.44,5.68,5.73,4.8,4.6,3.72,3.41,2.91,3.25,3.18,2.61,2.84,2.11,2.18,2.03,0.03,1.38,1.24,1.18,1.12,1.22,1.26,1.19,1.07,0.96,0.84,0.88,0.74,0.48,0.27,0.24,0.15,0.01,0.1,0.0,0.0,0.0,100.01000000000002
08/16/2021,15.97,11.39,9.41,5.72,5.64,4.81,4.58,3.74,3.37,2.9,3.23,3.2,2.58,2.9,2.1,2.18,2.0,0.03,1.36,1.22,1.19,1.12,1.21,1.21,1.19,1.05,0.97,0.84,0.87,0.75,0.48,0.27,0.24,0.16,0.01,0.11,0.0,0.0,0.0,100.0
08/17/2021,15.98,11.35,9.42,5.71,5.55,4.81,4.59,3.67,3.35,2.9,3.21,3.21,2.57,2.92,2.11,2.21,2.02,0.07,1.36,1.24,1.17,1.15,1.22,1.23,1.19,1.06,0.97,0.84,0.88,0.75,0.47,0.26,0.24,0.16,0.01,0.12,0.0,0.0,0.0,99.97
