,BNTNF 10 01/01/27 NTNF,"REPUBLIC OF SOUTH AFRICA N/C, 10.50%, due 12/21/2026",BNTNF 10 01/01/25 NTNF,US Dollar,SAGB 8.875 02/28/35 2035,"INDONESIA GOVERNMENT N/C, 8.375%, due 03/15/2034",ASIA 6.2 10/06/26 GMTN,POLGB 2.75 04/25/28 0428,COLTES 7.75 09/18/30 B,"HUNGARY GOVERNMENT BOND N/C, 6.75%, due 10/22/2028","TITULOS DE TESORERIA B N/C, 7.50%, due 08/26/2026","BONOS DE TESORERIA N/C, 6.95%, due 08/12/2031",BTPCL 4.7 09/01/30,"MEX BONOS DESARR FIX RT N/C, 7.50%, due 06/03/2027","MEX BONOS DESARR FIX RT N/C, 8.50%, due 05/31/2029",MGS 3.885 08/15/29 0219,BTPCL 4.5 03/01/26,BNTNF 10 01/01/23 NTNF,COLTES 6 04/28/28 B,"MEX BONOS DESARR FIX RT 7.75%, due 05/29/2031",CZGB 2.4 09/17/25 89,ROMGB 5.85 04/26/23 10Y,"THAILAND GOVERNMENT BOND N/C, 3.65%, due 06/20/2031",BNTNF 10 01/01/29 NTNF,IFC 6.3 11/25/24 GMTN,SAGB 9 01/31/40 2040,PHILIP 6.25 01/14/36,ROMGB 4.5 06/17/24 5Y,TURKGB 9 05/04/22,"MALAYSIA GOVERNMENT 4.181%, due 07/15/2024",INDOGB 9 03/15/29 FR71,INDOGB 7 09/15/30 FR82,TURKGB 10.6 02/11/26,"MEX BONOS DESARR FIX RT N/C, 10%, due 11/20/2036","INDONESIA GOVERNMENT N/C, 8.375%, due 09/15/2026","ISRAEL FIXED BOND 6.25%, due 10/30/2026",INDOGB 8.25 05/15/36 FR72,SAGB 8.25 03/31/32 2032,"BONOS DE TESORERIA N/C, 6.90%, due 08/12/2037",BTPCL 5 03/01/35,SAGB 8.5 01/31/37 2037,ILGOV 2.25 09/28/28 0928,"BONOS DE TESORERIA N/C, 8.20%, due 08/12/2026",THAIGB 1.6 12/17/29,"THAILAND GOVERNMENT BOND N/C, 3.625%, due 06/16/2023",CZGB 2.5 08/25/28 78,SAGB 8 01/31/30 2030,ROMGB 5.8 07/26/27 15YR,HGB 3 08/21/30 30/A,PHILIP 3.9 11/26/22,"INTL FINANCE CORP 0%, due 02/22/2038",COLTES 7 05/04/22 B,AFDB 0 04/05/46 EMTN,IFC 5.85 11/25/22,POLGB 4 10/25/23 1023,SUM
07/09/2021,5.66,5.24,4.58,3.91,3.84,3.82,3.54,3.35,3.27,3.15,2.87,2.8,2.62,2.56,2.55,2.46,2.42,2.4,2.22,2.03,1.94,1.74,1.74,1.67,1.66,1.59,1.45,1.42,1.41,1.38,1.34,1.33,1.27,1.26,1.24,1.11,1.08,1.0,0.92,0.9,0.8,0.79,0.74,0.59,0.56,0.53,0.47,0.47,0.43,0.43,0.42,0.41,0.31,0.25,0.05,99.99
07/12/2021,5.63,5.32,4.53,3.85,3.87,3.81,3.55,3.35,3.26,3.16,2.83,2.73,2.7,2.59,2.6,2.44,2.42,2.37,2.2,2.08,1.94,1.75,1.73,1.65,1.66,1.6,1.44,1.43,1.42,1.36,1.34,1.33,1.27,1.29,1.23,1.12,1.08,1.01,0.9,0.93,0.81,0.79,0.72,0.59,0.56,0.53,0.47,0.47,0.43,0.43,0.44,0.4,0.32,0.25,0.05,100.03000000000002
07/13/2021,5.63,5.32,4.53,3.85,3.87,3.81,3.55,3.35,3.26,3.16,2.83,2.73,2.7,2.59,2.6,2.44,2.42,2.37,2.2,2.08,1.94,1.75,1.73,1.65,1.66,1.6,1.44,1.43,1.42,1.36,1.34,1.33,1.27,1.29,1.23,1.12,1.08,1.01,0.9,0.93,0.81,0.79,0.72,0.59,0.56,0.53,0.47,0.47,0.43,0.43,0.44,0.4,0.32,0.25,0.05,100.03000000000002
07/20/2021,5.81,5.22,4.65,2.65,3.78,3.88,3.55,3.32,3.26,3.11,2.83,2.82,3.23,2.58,2.58,2.42,2.43,2.44,2.2,2.06,1.95,1.73,1.72,1.7,1.66,1.56,1.43,1.41,1.43,1.35,1.35,1.34,1.3,1.27,1.24,1.11,1.09,0.99,1.4,1.43,0.79,0.78,0.73,0.58,0.55,0.53,0.0,0.46,0.43,0.43,0.43,0.4,0.31,0.25,0.05,100.0
07/21/2021,5.81,5.22,4.65,2.65,3.78,3.88,3.55,3.32,3.26,3.11,2.83,2.82,3.23,2.58,2.58,2.42,2.43,2.44,2.2,2.06,1.95,1.73,1.72,1.7,1.66,1.56,1.43,1.41,1.43,1.35,1.35,1.34,1.3,1.27,1.24,1.11,1.09,0.99,1.4,1.43,0.79,0.78,0.73,0.58,0.55,0.53,0.0,0.46,0.43,0.43,0.43,0.4,0.31,0.25,0.05,100.0
07/22/2021,5.7,5.2,4.58,2.62,3.74,3.9,3.59,3.36,3.27,3.15,2.83,2.8,3.27,2.57,2.58,2.43,2.44,2.39,2.21,2.06,1.95,1.75,1.73,1.67,1.67,1.54,1.44,1.42,1.44,1.36,1.36,1.36,1.29,1.27,1.25,1.11,1.1,0.98,1.39,1.44,0.78,0.79,0.73,0.59,0.56,0.53,0.0,0.46,0.43,0.43,0.42,0.4,0.31,0.25,0.05,99.94
08/03/2021,5.67,4.69,4.61,9.26,3.8,3.95,3.6,3.42,3.25,3.2,2.82,2.62,3.23,0.0,1.02,2.44,0.23,2.4,2.19,2.08,1.99,1.77,1.75,1.68,1.69,1.57,1.44,1.44,1.47,1.37,1.37,1.37,1.34,1.27,1.26,1.14,1.11,0.99,1.27,1.42,0.79,0.81,0.71,0.59,0.56,0.54,0.0,0.47,0.44,0.43,0.44,0.4,0.32,0.25,0.05,99.99
